coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature1,ODMature4
0x0,0.0,0.0,0.0,2.840696592,0.0,2.273030106,0.0,0.568266986,0.0,0.0,0.0,0.0,3.409506631,0.0,0.0,1.704767878,13.067088418,0.0,0.0,0.0,0.568266986,16.475004616,0.0,0.0,0.0,0.0,0.0,5.681438881,0.568266986,2.840696592,1.136534943,0.568266986,27.275796581,7.387257951,0.0,0.0,0.0,2.840696592,0.568266986,0.0,0.0,5.681438881,2.273030106,0.0,3.408963578,0.0,2.840696592,5.681438881,4.54546447,98.29357287799999,2.840696592,0.568266986,0.568266986,2.840696592,2.840696592,12.50205896,2.840696592,0.568266986,0.0,0.0,0.0,1.136534943,11.930587526,3.408963578,3.408963578,0.568266986,0.568266986,0.0,0.0,0.0,0.0,33.520823296,0.0,0.0,13.636942217,0.0,0.0,0.568266986,1.136534943,8.522259222,0.0,2.840696592,2.840696592,0.0,1.136534943,0.0,1.704767878,0.0,0.0,1.136534943,0.0,15.340149844,0.0,11.930587526,1.704767878,49.440205812,0.568266986,0.0,5.681438881,3.977829304,0.0,0.0,4.54546447,2.840696592,0.0,0.0,3.408963578,12.50205896,0.0,10.795289328,0.0,0.0,3.409506631,0.0,1.136534943,0.568266986,0.0,0.0,0.0,3.977829304,4.546001721,12.50205896,0.568266986,2.840696592,0.568266986,19.88334196,0.0,0.568266986,1.136534943,0.0,5.682012281,15.342755552,0.0,0.0,0.0,0.007551839,0.0,0.020422204,0.047976434,0.0,0.0,0.052046655,0.0,0.0,0.0,0.024325537,0.014365337,0.0,0.0,0.0,0.006830122,0.563152887,0.0,0.010261959,0.223626855,1.0,1.0
1x1,0.0,0.0,0.0,0.0,0.0,4.1206367660000005,0.615883328,2.415873646,0.0,0.0,0.615883328,0.0,4.025389959,0.0,0.615883328,1.704767878,2.936540779,0.0,0.0,0.0,0.568266986,2.888913434,1.231772901,0.615883328,0.0,0.0,1.231772901,0.0,0.568266986,0.0,1.752418271,0.568266986,24.057896044,8.003141279,0.0,0.0,0.615883328,0.0,0.568266986,0.615883328,20.32553818,0.0,4.73656845,1.231772901,0.568266986,1.231772901,1.231772901,0.615883328,1.704767878,1.704767878,0.0,1.800039887,0.568266986,0.0,0.0,29.74521614,0.0,0.568266986,0.0,0.0,0.0,6.063604174,1.184150314,1.184150314,0.568266986,1.800039887,0.568266986,0.615883328,0.0,0.0,10.4709662,39.838621896,0.0,0.0,10.41904168,0.0,1.231772901,20.893805166,2.3683078440000003,0.0,0.0,0.0,0.0,0.0,1.136534943,0.0,6.015935401,3.695263824,6.158796218,1.136534943,0.0,3.977829304,0.0,1.800039887,2.936540779,40.91794659,0.568266986,1.231772901,0.0,3.977829304,0.0,0.0,1.704767878,1.84760666,0.0,0.615883328,0.568266986,12.50205896,1.84760666,79.25604115600001,0.0,0.0,25.583453131,0.0,1.136534943,0.568266986,0.0,0.0,0.615883328,5.825435964,4.546001721,18.044954700999998,0.568266986,0.615883328,0.568266986,0.0,0.615883328,1.800039887,1.136534943,0.0,4.07308859,12.50205896,0.0,0.0,10.4709662,0.007551839,0.058490586,0.052710492,0.0735972,0.0,0.036217685,5.365463028,0.0,0.0,0.0,0.0437196,0.0,0.016035073,0.0,0.075905184,0.00685771,0.290060269,0.0,0.023849351999999997,0.0,1.0,1.0
2x2,0.0,0.0,0.0,0.0,0.0,2.273030106,0.0,0.568266986,0.0,0.0,0.0,0.0,3.409506631,0.0,0.0,1.704767878,1.704767878,0.0,0.0,0.0,0.568266986,2.273030106,0.0,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,21.5943577,7.387257951,0.0,0.0,0.0,0.0,0.568266986,0.0,16.95560323,0.0,2.273030106,0.0,0.568266986,0.0,0.0,0.0,1.704767878,1.704767878,0.0,0.568266986,0.568266986,0.0,0.0,29.45766219,0.0,0.568266986,0.0,0.0,0.0,1.136534943,3.3940470520000003,0.568266986,0.568266986,0.568266986,0.568266986,0.0,0.0,0.0,2.825780066,41.833221906,0.0,0.0,7.955503336,0.0,0.0,3.3940470520000003,1.136534943,0.0,0.0,0.0,0.0,0.0,1.136534943,0.0,1.704767878,0.0,5.651659355,1.136534943,0.0,3.977829304,0.0,3.3940470520000003,1.704767878,40.91794659,0.568266986,2.825780066,0.0,3.977829304,0.0,0.0,1.704767878,0.0,0.0,0.0,0.568266986,12.50205896,0.0,118.142210906,0.0,0.0,23.192112430999998,0.0,1.136534943,0.568266986,0.0,0.0,0.0,3.977829304,4.546001721,15.327839026,0.568266986,0.0,3.3940470520000003,0.0,0.0,0.568266986,1.136534943,0.0,8.492975044,12.50205896,0.0,0.0,2.825780066,0.007551839,0.089065499,0.045557059,0.065272652,0.0,0.023764345,4.851268133,0.0,0.0,0.0,0.07088040000000001,0.0,0.0,0.0,0.058003246,0.066026498,0.290060269,0.0,0.038789677,0.0,1.0,1.0
3x3,0.0,0.0,2.867675238,0.0,0.0,3.7068587610000003,1.433828655,1.28518675,0.0,0.0,0.0,0.0,3.409506631,0.0,0.0,2.421687642,5.28935257,0.716919764,0.716919764,0.716919764,1.28518675,3.7068587610000003,0.0,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,22.311277464,7.387257951,0.0,1.433828655,0.0,0.0,0.568266986,0.0,6.452294345,0.0,2.273030106,4.301515067,0.568266986,0.0,0.0,0.716919764,2.421687642,1.704767878,0.0,0.568266986,0.568266986,0.0,0.0,24.69069854,0.0,1.28518675,0.0,0.716919764,0.0,1.853454707,1.28518675,0.568266986,0.568266986,0.568266986,0.568266986,0.0,0.0,0.0,14.33910428,25.217211836,0.0,0.716919764,10.823178574,0.716919764,0.716919764,0.568266986,1.853454707,2.150793929,0.0,0.0,0.0,0.0,1.136534943,0.0,5.28935257,3.584584692,10.7543874,1.853454707,0.0,3.977829304,0.0,1.28518675,1.704767878,40.91794659,0.568266986,0.0,0.0,5.411657959,0.0,0.0,1.704767878,0.716919764,0.0,0.0,0.568266986,12.50205896,0.0,143.50590880599998,0.0,0.0,4.126426395,0.0,1.136534943,1.28518675,0.716919764,0.0,0.716919764,7.562413996,4.546001721,23.256446359999998,1.28518675,0.0,0.568266986,1.433828655,0.716919764,0.568266986,1.853454707,0.0,2.841315689,12.50205896,0.0,0.0,0.0,0.007551839,0.02629686,0.054137637,0.072946892,0.0,0.039747776,4.400699333,0.0,0.0,0.002651482,0.041115382000000006,0.0,0.0,0.00462805,0.0,0.026313402,0.323371144,0.0,0.039251594,0.0,1.0,1.0
4x4,0.0,0.0,0.0,0.0,0.0,2.273030106,14.21948651,0.568266986,0.0,0.0,0.0,0.0,3.409506631,0.0,0.0,1.704767878,6.44421422,0.0,0.0,0.0,0.568266986,2.273030106,0.0,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,5.875981285,0.568266986,21.5943577,7.387257951,0.0,0.0,0.0,14.21948651,0.568266986,0.0,37.91347363,0.0,7.012476448,0.0,0.568266986,4.739446342,0.0,0.0,1.704767878,11.183289165,0.0,0.568266986,0.568266986,14.21948651,0.0,31.4592769,4.739446342,10.046788272999999,0.0,0.0,0.0,1.136534943,0.568266986,5.307713328,0.568266986,0.568266986,0.568266986,0.0,0.0,0.0,4.739446342,2.273030106,0.0,0.0,7.955503336,0.0,0.0,33.742596295999995,1.136534943,4.739446342,0.0,0.0,0.0,0.0,5.875981285,0.0,30.142205217999997,0.0,23.69448651,1.136534943,0.0,3.977829304,0.0,5.307713328,1.704767878,40.91794659,5.307713328,9.478521287,0.0,3.977829304,0.0,0.0,6.44421422,0.0,0.0,0.0,0.568266986,12.50205896,0.0,11.751551393,0.0,0.0,41.322980261,0.0,5.875981285,0.568266986,0.0,0.0,0.0,3.977829304,4.546001721,26.72154547,0.568266986,0.0,0.568266986,4.739446342,0.0,0.568266986,1.136534943,0.0,2.841315689,12.50205896,4.739446342,0.0,9.478521287,0.025854316000000002,0.002922097,0.020422204,0.111830401,0.0,0.0,0.842934924,0.223855094,0.0,0.0,0.064736692,0.0,1.447597495,0.0,0.102216733,0.0,0.337811066,0.095721037,0.010261959,0.0,1.0,1.0
5x5,0.0,0.0,0.685660073,5.583267178,2.056961717,0.0,0.0,12.34135683,0.0,0.0,1.371264502,0.0,2.056961717,0.0,0.685660073,0.0,17.533160005,0.685660073,0.0,5.485149617,0.685660073,14.887634582999999,0.0,0.685660073,0.0,0.685660073,0.0,6.367098954,0.685660073,2.840696592,0.685660073,0.685660073,29.679135901000002,0.0,0.0,0.0,0.685660073,4.211961094,0.0,0.685660073,0.0,6.367098954,0.685660073,0.685660073,3.526356665,0.0,3.526356665,15.966398261,4.211961094,115.1007247,2.840696592,0.685660073,0.0,2.840696592,2.840696592,13.02813705,3.526356665,6.170839465,0.0,0.0,0.0,2.056961717,11.36232054,4.211961094,2.840696592,0.685660073,0.0,0.0,0.0,0.0,0.0,33.990363776,0.685660073,1.371264502,9.109667149,0.0,0.0,4.113873726,0.0,9.207919295,0.0,2.840696592,2.840696592,0.0,0.0,0.0,1.371264502,0.0,0.685660073,0.685660073,1.371264502,21.647279920000003,0.0,15.476194266,13.71295816,33.202553732,1.371264502,1.371264502,5.681438881,0.685660073,0.0,0.685660073,3.526356665,3.526356665,0.0,0.685660073,3.526356665,0.685660073,0.0,14.007408839,0.0,0.685660073,8.913339965,1.371264502,3.428228268,0.0,0.0,0.0,0.685660073,0.685660073,4.113873726,15.08421982,0.0,2.840696592,8.913339965,28.796681925,0.0,0.685660073,0.0,0.685660073,6.954570318,11.068322931,1.371264502,0.0,0.0,0.0,0.00491609,0.0,0.044913164000000005,0.0,0.0,0.071768211,0.0,0.0,0.0,0.028648507,0.014365337,0.236260519,0.0,0.024693544,0.006830122,0.50140831,0.0,0.0,0.223626855,1.0,1.0
6x6,0.0,0.0,0.685660073,2.742570586,2.056961717,1.84760666,0.615883328,14.18896349,0.0,0.0,1.98714783,0.0,2.672845045,0.0,1.301543401,0.0,7.4026123660000005,0.685660073,0.0,5.485149617,0.685660073,1.301543401,1.231772901,1.301543401,0.0,0.685660073,1.231772901,0.685660073,0.685660073,0.0,1.301543401,0.685660073,26.461235364,0.615883328,0.0,0.0,1.301543401,1.371264502,0.0,1.301543401,20.32553818,0.685660073,3.149198417,1.917432974,0.685660073,1.231772901,1.917432974,10.900842708,1.371264502,18.5119197,0.0,1.917432974,0.0,0.0,0.0,30.271294230000002,0.685660073,6.170839465,0.0,0.0,0.0,6.984030948,0.615883328,1.98714783,0.0,1.917432974,0.0,0.615883328,0.0,0.0,10.4709662,40.308162376,0.685660073,1.371264502,5.891766612,0.0,1.231772901,24.439411905999997,1.231772901,0.685660073,0.0,0.0,0.0,0.0,0.0,0.0,5.682432025,3.695263824,6.844456291,0.685660073,1.371264502,10.28495938,0.0,5.345646627,14.944731060999999,24.68029451,1.371264502,2.603037403,0.0,0.685660073,0.0,0.685660073,0.685660073,2.533266733,0.0,1.301543401,0.685660073,0.685660073,1.84760666,82.468160667,0.0,0.685660073,31.087286465,1.371264502,3.428228268,0.0,0.0,0.0,1.301543401,2.533266733,4.113873726,20.627115561,0.0,0.615883328,8.913339965,8.913339965,0.615883328,1.917432974,0.0,0.685660073,5.345646627,8.227626339,1.371264502,0.0,10.4709662,0.0,0.063406676,0.032288288,0.07053393,0.0,0.036217685,5.385184584,0.0,0.0,0.0,0.04804257,0.0,0.252295592,0.0,0.100598728,0.00685771,0.228315692,0.0,0.013587393,0.0,1.0,1.0
7x7,0.0,0.0,0.685660073,2.742570586,2.056961717,0.0,0.0,12.34135683,0.0,0.0,1.371264502,0.0,2.056961717,0.0,0.685660073,0.0,6.170839465,0.685660073,0.0,5.485149617,0.685660073,0.685660073,0.0,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,23.99769702,0.0,0.0,0.0,0.685660073,1.371264502,0.0,0.685660073,16.95560323,0.685660073,0.685660073,0.685660073,0.685660073,0.0,0.685660073,10.28495938,1.371264502,18.5119197,0.0,0.685660073,0.0,0.0,0.0,29.98374028,0.685660073,6.170839465,0.0,0.0,0.0,2.056961717,2.825780066,1.371264502,0.0,0.685660073,0.0,0.0,0.0,0.0,2.825780066,42.302762386,0.685660073,1.371264502,3.428228268,0.0,0.0,6.939653792,0.0,0.685660073,0.0,0.0,0.0,0.0,0.0,0.0,1.371264502,0.0,6.337319428,0.685660073,1.371264502,10.28495938,0.0,6.939653792,13.71295816,24.68029451,1.371264502,4.197044568,0.0,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.0,121.354330417,0.0,0.685660073,28.695945764999998,1.371264502,3.428228268,0.0,0.0,0.0,0.685660073,0.685660073,4.113873726,17.909999886,0.0,0.0,11.739120031,8.913339965,0.0,0.685660073,0.0,0.685660073,9.765533081,8.227626339,1.371264502,0.0,2.825780066,0.0,0.093981589,0.025134855,0.062209381999999994,0.0,0.023764345,4.870989689,0.0,0.0,0.0,0.07520337,0.0,0.236260519,0.0,0.08269679,0.066026498,0.228315692,0.0,0.028527718,0.0,1.0,1.0
8x8,0.0,0.0,3.5533353109999997,2.742570586,2.056961717,1.433828655,1.433828655,13.058276594,0.0,0.0,1.371264502,0.0,2.056961717,0.0,0.685660073,0.716919764,9.755424157,1.402579837,0.716919764,6.202069381,1.402579837,2.119488728,0.0,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,24.714616784,0.0,0.0,1.433828655,0.685660073,1.371264502,0.0,0.685660073,6.452294345,0.685660073,0.685660073,4.987175140000001,0.685660073,0.0,0.685660073,11.001879144,2.088184266,18.5119197,0.0,0.685660073,0.0,0.0,0.0,25.21677663,0.685660073,6.887759229,0.0,0.716919764,0.0,2.773881481,0.716919764,1.371264502,0.0,0.685660073,0.0,0.0,0.0,0.0,14.33910428,25.686752316,0.685660073,2.088184266,6.295903506,0.716919764,0.716919764,4.113873726,0.716919764,2.836454002,0.0,0.0,0.0,0.0,0.0,0.0,4.955849194,3.584584692,11.440047473,1.402579837,1.371264502,10.28495938,0.0,4.83079349,13.71295816,24.68029451,1.371264502,1.371264502,0.0,2.119488728,0.0,0.685660073,0.685660073,1.402579837,0.0,0.685660073,0.685660073,0.685660073,0.0,146.71802831699998,0.0,0.685660073,9.630259729,1.371264502,3.428228268,0.716919764,0.716919764,0.0,1.402579837,4.270244765,4.113873726,25.83860722,0.716919764,0.0,8.913339965,10.34716862,0.716919764,0.685660073,0.716919764,0.685660073,4.113873726,8.227626339,1.371264502,0.0,0.0,0.0,0.031212949999999996,0.033715433,0.069883622,0.0,0.039747776,4.420420889000001,0.0,0.0,0.002651482,0.045438352,0.0,0.236260519,0.00462805,0.024693544,0.026313402,0.261626567,0.0,0.028989635,0.0,1.0,1.0
9x9,0.0,0.0,0.685660073,2.742570586,2.056961717,0.0,14.21948651,12.34135683,0.0,0.0,1.371264502,0.0,2.056961717,0.0,0.685660073,0.0,10.910285807000001,0.685660073,0.0,5.485149617,0.685660073,0.685660073,0.0,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,5.425106415,0.685660073,23.99769702,0.0,0.0,0.0,0.685660073,15.590751012,0.0,0.685660073,37.91347363,0.685660073,5.425106415,0.685660073,0.685660073,4.739446342,0.685660073,10.28495938,1.371264502,27.990440987,0.0,0.685660073,0.0,14.21948651,0.0,31.985354989999998,5.425106415,15.649360752,0.0,0.0,0.0,2.056961717,0.0,6.110710844,0.0,0.685660073,0.0,0.0,0.0,0.0,4.739446342,2.742570586,0.685660073,1.371264502,3.428228268,0.0,0.0,37.288203036,0.0,5.425106415,0.0,0.0,0.0,0.0,4.739446342,0.0,29.808701841999998,0.0,24.380146583000002,0.685660073,1.371264502,10.28495938,0.0,8.853320067999999,13.71295816,24.68029451,6.110710844,10.849785789,0.0,0.685660073,0.0,0.685660073,5.425106415,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.0,14.963670904,0.0,0.685660073,46.826813595,1.371264502,8.167674609999999,0.0,0.0,0.0,0.685660073,0.685660073,4.113873726,29.303706329999997,0.0,0.0,8.913339965,13.652786307,0.0,0.685660073,0.0,0.685660073,4.113873726,8.227626339,6.110710844,0.0,9.478521287,0.018302477,0.007838187,0.0,0.108767131,0.0,0.0,0.8626564800000001,0.223855094,0.0,0.0,0.069059662,0.0,1.683858014,0.0,0.12691027700000002,0.0,0.27606648899999997,0.095721037,0.0,0.0,1.0,1.0
