coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature2,Endothelial2
0x0,0.690985953,1.381990362,15.816364992,4.758863658,0.34548853,9.807669194,2.072981884,2.206684177,0.0,0.0,4.491487508,0.0,8.292017092,0.0,0.0,0.0,5.10427498,0.690985953,0.824693815,1.381990362,0.0,33.064490461,4.948123813,0.34548853,1.994842582,1.727470111,0.0,3.109509606,2.81957001,0.34548853,1.0364793,0.0,4.625122254,8.080129532,0.0,0.0,0.34548853,0.824693815,0.824693815,0.0,0.690985953,0.0,2.206684177,0.34548853,0.0,5.182441277,0.0,0.0,1.727470111,11.880603895,0.0,0.0,0.0,0.34548853,0.0,0.0,0.690985953,4.6807186960000005,0.0,0.824693815,0.0,14.434139152,2.206684177,0.34548853,0.0,0.34548853,1.8611731150000002,1.1701823450000002,0.0,2.206684177,1.0364793,9.918829858999999,0.0,26.39050251,34.96053864,6.909881914,0.0,6.218882949,1.381990362,0.0,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,0.690985953,0.0,1.0364793,1.515679768,0.824693815,2.340340005,1.0364793,5.929002408000001,0.690985953,15.123735051999999,0.0,4.067810097000001,2.418456045,3.0313444140000003,0.824693815,0.0,3.165067433,40.77341687,3.109509606,0.34548853,0.0,51.000747933,1.0364793,5.9846031129999995,0.34548853,1.1701823450000002,13.751023502,1.994842582,2.47408148,0.0,1.1701823450000002,0.690985953,14.50957867,6.196402364,6.965568987999999,2.764003339,0.34548853,0.34548853,5.639109766,0.690985953,1.0364793,0.690985953,1.0364793,2.072981884,2.340340005,0.34548853,0.0,0.0,3.9342034210000003,0.025115972,0.0,0.044830306,0.048260127,0.00197471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331925703,0.0,0.0,0.000979608,0.30552064900000003,0.028037602,0.003393076,0.0,1.0,1.0
1x1,0.0,2.599813489,2.949259595,1.649354052,0.0,2.124599358,1.299905543,2.124599358,0.0,0.0,7.799540612,0.0,10.39987266,1.299905543,0.0,0.0,2.949259595,1.299905543,0.824693815,5.199690368,1.299905543,32.636925893,4.948123813,0.0,1.649354052,0.0,1.299905543,0.0,7.6737718479999995,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,0.0,3.4245073040000005,0.0,0.0,0.0,0.0,0.0,0.0,2.124599358,0.0,0.0,0.0,5.199690368,0.0,0.0,1.299905543,3.298728334,1.299905543,0.824693815,0.0,5.54917263,2.124599358,0.0,0.0,0.0,0.824693815,3.4245073040000005,0.0,0.824693815,6.499632803,8.372640763,0.0,26.39050251,18.393533458,0.0,0.0,0.0,1.299905543,1.299905543,0.0,0.0,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,0.824693815,0.824693815,1.649354052,0.0,2.47408148,0.0,75.742448302,0.0,2.949259595,2.599813489,1.649354052,0.824693815,0.0,2.47408148,22.0993628,2.599813489,0.0,0.0,50.30976198,0.0,4.948123813,0.0,3.4245073040000005,27.96872399,1.649354052,2.47408148,0.0,0.824693815,0.0,0.0,5.4233260229999996,2.47408148,1.299905543,0.0,0.0,4.948123813,0.0,0.0,0.0,0.0,5.199690368,2.949259595,0.0,0.0,0.0,0.824693815,0.025115972,0.044039668,0.037102936,0.027509865,0.00197471,0.032209852,0.0,0.119185307,0.0,0.0,0.0,0.0,0.717789722,0.0,0.0,0.000979608,0.286737624,0.028037602,0.003393076,0.0,1.0,1.0
2x2,0.0,3.883261708,4.238242834,4.238242834,0.0,0.824693815,3.883261708,3.4135825970000004,1.294457406,0.0,2.588888782,0.0,15.53484012,0.0,0.0,0.0,2.943811458,0.0,2.119151221,10.35533628,0.0,31.33702035,4.948123813,0.0,1.649354052,0.0,0.0,1.294457406,2.47408148,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,0.0,3.4135825970000004,0.824693815,0.0,0.0,0.0,12.474969784999999,0.0,0.0,1.294457406,0.0,2.588888782,1.294457406,9.88474059,0.0,1.294457406,1.294457406,1.294457406,0.0,0.0,0.0,11.06530429,0.0,0.824693815,0.0,17.184194172,0.824693815,2.588888782,0.0,0.0,4.707955523,0.824693815,0.0,3.4135825970000004,2.588888782,8.361716056,0.0,26.39050251,19.666069111,29.77513736,0.0,1.294457406,0.0,0.0,0.0,2.588888782,1.294457406,0.0,0.0,0.0,1.294457406,2.588888782,0.0,0.824693815,0.824693815,1.649354052,0.0,5.062970262,1.294457406,40.478408842,3.883261708,4.238242834,0.0,2.943811458,4.707955523,0.0,2.47408148,62.13933449,0.0,0.0,0.0,51.604219386,0.0,4.948123813,0.0,0.824693815,12.36903314,1.649354052,2.47408148,0.0,0.824693815,0.0,0.0,4.12342048,2.47408148,6.472226021,0.0,0.0,4.948123813,3.883261708,1.294457406,0.0,1.294457406,2.588888782,1.649354052,0.0,0.0,0.0,6.00243913,0.025115972,0.025621225,0.031561203,0.060045383,0.00197471,0.019981277,0.0,0.13991377,0.0,0.0,0.0,0.0,1.015672636,0.0,0.0,0.000979608,0.286737624,0.028037602,0.003393076,0.0,1.0,1.0
3x3,0.0,0.0,2.490634748,4.173225039,0.0,3.3485648020000003,2.523870987,1.665974511,0.0,0.0,3.365158322,0.0,21.03433764,0.0,0.0,0.841280696,3.331917483,0.841280696,0.824693815,0.841280696,0.0,31.33702035,4.948123813,0.0,1.649354052,0.0,0.841280696,0.0,2.47408148,0.0,0.0,0.0,3.3485648020000003,3.3485648020000003,0.0,0.0,0.0,1.665974511,0.824693815,0.0,0.0,0.0,4.189852137,0.0,0.0,0.0,0.841280696,0.0,0.0,1.665974511,0.841280696,0.0,0.841280696,0.0,0.0,0.0,0.0,5.822599321,0.0,0.824693815,0.0,8.379541052,1.665974511,0.0,0.0,0.841280696,0.824693815,0.824693815,0.0,0.824693815,2.523870987,9.137985596,0.0,27.231783206,24.13097519,0.841280696,0.0,2.523870987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841280696,0.0,0.824693815,0.824693815,2.490634748,0.0,3.3153621760000003,0.0,39.509103852,0.0,10.062179387999999,0.841280696,1.649354052,0.824693815,0.0,2.47408148,15.14358557,3.365158322,0.0,0.0,51.151042675999996,0.841280696,7.471994799999999,0.841280696,1.665974511,14.892904127000001,1.649354052,3.3153621760000003,0.0,0.824693815,0.0,1.682563431,4.12342048,3.3153621760000003,0.0,0.0,0.0,4.948123813,0.0,0.0,0.841280696,1.682563431,0.0,1.649354052,0.841280696,0.0,0.0,1.665974511,0.025115972,0.033536932,0.06881492,0.079573477,0.00197471,0.051233035,0.0,0.157436037,0.0,0.0,0.0,0.0,1.105086761,0.0,0.0,0.000979608,0.286737624,0.028037602,0.012556264,0.0,1.0,1.0
4x4,0.628845904,1.886556084,6.051297086,4.793642736000001,0.0,6.4843222659999995,0.628845904,2.082413398,0.0,0.0,2.515442509,0.0,18.86552285,0.628845904,0.0,0.0,2.907073635,0.628845904,1.4535397190000001,1.886556084,0.0,35.738963384,5.576969717,0.0,1.649354052,0.628845904,0.0,0.0,5.618370164,0.0,0.0,0.0,2.7112498990000002,7.113224725999999,0.0,0.628845904,1.886556084,0.824693815,0.824693815,1.257719583,0.628845904,0.628845904,1.4535397190000001,0.0,0.0,22.63741608,0.628845904,0.628845904,0.628845904,7.7420466569999995,0.0,0.0,0.0,1.886556084,0.0,0.628845904,0.0,7.700671368,0.0,0.824693815,1.257719583,11.710496872,3.3401363240000004,3.773094139,0.0,0.0,3.3401363240000004,0.824693815,0.0,7.113224725999999,5.030870458,5.772827274,0.0,26.39050251,32.05936594,28.9295371,1.257719583,8.803925446,0.628845904,0.628845904,0.0,5.659628451,1.257719583,0.0,0.0,0.0,0.0,0.628845904,0.0,1.4535397190000001,1.4535397190000001,4.164796561,0.0,3.7318010630000003,1.257719583,14.226234692,1.886556084,6.68022451,0.0,3.535910136,2.082413398,0.0,2.47408148,84.90135215,8.803925446,0.0,0.628845904,50.30976198,0.628845904,6.205843396,0.628845904,1.4535397190000001,14.255589224000001,2.278199956,2.47408148,0.0,0.824693815,0.628845904,3.773094139,6.638862989,3.7318010630000003,1.257719583,0.0,0.0,4.948123813,0.0,0.628845904,0.0,0.628845904,3.773094139,1.649354052,1.257719583,0.0,0.0,3.3401363240000004,0.025115972,0.019814776,0.031561203,0.076069173,0.00197471,0.0,0.0,0.032514121,0.0,0.0,0.0,0.0,0.768682994,0.0,0.028612979,0.009998041,0.286737624,0.028037602,0.003393076,0.0,1.0,1.0
5x5,0.690985953,1.381990362,25.43857729,3.109509606,0.34548853,31.528046139000004,2.072981884,1.381990362,0.0,0.0,10.127542861999999,0.0,13.928072446,0.0,0.0,0.0,3.454920928,0.690985953,0.0,1.381990362,0.0,1.727470111,0.0,0.34548853,0.34548853,1.727470111,0.0,3.109509606,0.34548853,0.34548853,1.0364793,0.0,15.071994789000001,29.800506477000003,0.0,0.0,5.981543884,0.0,0.0,0.0,0.690985953,0.0,1.381990362,0.34548853,0.0,5.182441277,0.0,0.0,1.727470111,16.691965434,0.0,0.0,0.0,0.34548853,0.0,0.0,0.690985953,1.381990362,0.0,0.0,0.0,12.7847851,1.381990362,0.34548853,0.0,0.34548853,1.0364793,5.981543884,0.0,1.381990362,1.0364793,4.146002585,0.0,11.27156635,38.676877590000004,6.909881914,0.0,6.218882949,1.381990362,0.0,5.981543884,2.764003339,0.0,1.0364793,0.34548853,0.0,0.690985953,0.0,1.0364793,0.690985953,0.0,6.327041307,1.0364793,3.454920928,0.690985953,13.474381,0.0,2.418456045,2.418456045,1.381990362,0.0,0.0,0.690985953,40.77341687,3.109509606,0.34548853,0.0,0.690985953,1.0364793,1.0364793,5.981543884,5.981543884,1.381990362,0.34548853,0.0,0.0,0.34548853,0.690985953,14.50957867,2.072981884,10.127542861999999,14.035569689,0.34548853,0.34548853,0.690985953,0.690985953,1.0364793,0.690985953,1.0364793,13.344548234000001,0.690985953,0.34548853,0.0,0.0,3.109509606,0.0,0.0,0.016118459,0.024224205999999998,0.0,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.787485327,0.0,0.0,0.022361296,0.02667062,0.490390247,0.0,0.0,1.0,1.0
6x6,0.0,2.599813489,12.571471893,0.0,0.0,23.844976303000003,1.299905543,1.299905543,0.0,0.0,13.435595966000001,0.0,16.035928014,1.299905543,0.0,0.0,1.299905543,1.299905543,0.0,5.199690368,1.299905543,1.299905543,0.0,0.0,0.0,0.0,1.299905543,0.0,5.199690368,0.0,0.0,0.0,11.27156635,22.54507076,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,0.0,0.0,0.0,0.0,6.935960896999999,0.0,0.0,0.0,5.199690368,0.0,0.0,1.299905543,0.0,1.299905543,0.0,0.0,3.899818578,1.299905543,0.0,0.0,0.0,0.0,8.235868843,0.0,0.0,6.499632803,2.599813489,0.0,11.27156635,22.109872407999998,0.0,0.0,0.0,1.299905543,1.299905543,5.636055354,0.0,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,74.09309425,0.0,1.299905543,2.599813489,0.0,0.0,0.0,0.0,22.0993628,2.599813489,0.0,0.0,0.0,0.0,0.0,5.636055354,8.235868843,15.59969085,0.0,0.0,0.0,0.0,0.0,0.0,1.299905543,5.636055354,12.571471893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.471256718,1.299905543,0.0,0.0,0.0,0.0,0.0,0.044039668,0.008391089000000001,0.003473944,0.0,0.074114559,0.0,0.119185307,0.0,0.0,0.0,0.0,1.173349346,0.0,0.0,0.022361296,0.007887595,0.490390247,0.0,0.0,1.0,1.0
7x7,0.0,3.883261708,13.860455132,2.588888782,0.0,22.54507076,3.883261708,2.588888782,1.294457406,0.0,8.224944136,0.0,21.170895473999998,0.0,0.0,0.0,1.294457406,0.0,1.294457406,10.35533628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294457406,0.0,0.0,0.0,0.0,11.27156635,22.54507076,0.0,0.0,5.636055354,2.588888782,0.0,0.0,0.0,0.0,11.65027597,0.0,0.0,1.294457406,0.0,2.588888782,1.294457406,14.696102129,0.0,1.294457406,1.294457406,1.294457406,0.0,0.0,0.0,7.766575956,0.0,0.0,0.0,15.53484012,0.0,2.588888782,0.0,0.0,3.883261708,5.636055354,0.0,2.588888782,2.588888782,2.588888782,0.0,11.27156635,23.382408061,29.77513736,0.0,1.294457406,0.0,0.0,5.636055354,2.588888782,1.294457406,0.0,0.0,0.0,1.294457406,2.588888782,0.0,0.0,0.0,5.636055354,0.0,2.588888782,1.294457406,38.82905479,3.883261708,2.588888782,0.0,1.294457406,3.883261708,0.0,0.0,62.13933449,0.0,0.0,0.0,1.294457406,0.0,0.0,5.636055354,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,17.743792371,0.0,0.0,0.0,3.883261708,1.294457406,0.0,1.294457406,13.860455132,0.0,0.0,0.0,0.0,5.177745315,0.0,0.025621225,0.002849356,0.036009462,0.0,0.061885984,0.0,0.13991377,0.0,0.0,0.0,0.0,1.4712322599999998,0.0,0.0,0.022361296,0.007887595,0.490390247,0.0,0.0,1.0,1.0
8x8,0.0,0.0,12.112847046,2.523870987,0.0,25.068941747,2.523870987,0.841280696,0.0,0.0,9.001213675999999,0.0,26.670392994,0.0,0.0,0.841280696,1.682563431,0.841280696,0.0,0.841280696,0.0,0.0,0.0,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,0.0,0.0,13.795437337000001,25.068941747,0.0,0.0,5.636055354,0.841280696,0.0,0.0,0.0,0.0,3.365158322,0.0,0.0,0.0,0.841280696,0.0,0.0,6.47733605,0.841280696,0.0,0.841280696,0.0,0.0,0.0,0.0,2.523870987,0.0,0.0,0.0,6.730187,0.841280696,0.0,0.0,0.841280696,0.0,5.636055354,0.0,0.0,2.523870987,3.365158322,0.0,12.112847046,27.847314139999998,0.841280696,0.0,2.523870987,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,6.47733605,0.0,0.841280696,0.0,37.8597498,0.0,8.412825336,0.841280696,0.0,0.0,0.0,0.0,15.14358557,3.365158322,0.0,0.0,0.841280696,0.841280696,2.523870987,6.47733605,6.47733605,2.523870987,0.0,0.841280696,0.0,0.0,0.0,1.682563431,0.0,6.47733605,11.27156635,0.0,0.0,0.0,0.0,0.0,0.841280696,1.682563431,11.27156635,0.0,0.841280696,0.0,0.0,0.841280696,0.0,0.033536932,0.040103072999999996,0.055537556,0.0,0.093137742,0.0,0.157436037,0.0,0.0,0.0,0.0,1.5606463849999999,0.0,0.0,0.022361296,0.007887595,0.490390247,0.009163188,0.0,1.0,1.0
9x9,0.628845904,1.886556084,15.673509384,3.144288684,0.0,28.204699211,0.628845904,1.257719583,0.0,0.0,8.151497863,0.0,24.501578204,0.628845904,0.0,0.0,1.257719583,0.628845904,0.628845904,1.886556084,0.0,4.401943034,0.628845904,0.0,0.0,0.628845904,0.0,0.0,3.144288684,0.0,0.0,0.0,13.158122434000001,28.833601671,0.0,0.628845904,7.522611438,0.0,0.0,1.257719583,0.628845904,0.628845904,0.628845904,0.0,0.0,22.63741608,0.628845904,0.628845904,0.628845904,12.553408196,0.0,0.0,0.0,1.886556084,0.0,0.628845904,0.0,4.401943034,0.0,0.0,1.257719583,10.06114282,2.515442509,3.773094139,0.0,0.0,2.515442509,5.636055354,0.0,6.288530911,5.030870458,0.0,0.0,11.27156635,35.77570489,28.9295371,1.257719583,8.803925446,0.628845904,0.628845904,5.636055354,5.659628451,1.257719583,0.0,0.0,0.0,0.0,0.628845904,0.0,0.628845904,0.628845904,8.151497863,0.0,1.257719583,1.257719583,12.57688064,1.886556084,5.030870458,0.0,1.886556084,1.257719583,0.0,0.0,84.90135215,8.803925446,0.0,0.628845904,0.0,0.628845904,1.257719583,6.264901258,6.264901258,1.886556084,0.628845904,0.0,0.0,0.0,0.628845904,3.773094139,2.515442509,6.893774937,12.529285933,0.0,0.0,0.0,0.0,0.628845904,0.0,0.628845904,15.044660489,0.0,1.257719583,0.0,0.0,2.515442509,0.0,0.019814776,0.002849356,0.052033252,0.0,0.041904707,0.0,0.032514121,0.0,0.0,0.0,0.0,1.224242618,0.0,0.028612979,0.031379728999999995,0.007887595,0.490390247,0.0,0.0,1.0,1.0
10x10,0.690985953,1.381990362,15.021951510000001,6.529282967,0.34548853,9.837915949000001,11.476973654999998,32.158046932000005,0.0,0.0,7.056245078,1.709879628,9.146957662,0.0,14.53459731,0.0,9.439496167,0.690985953,1.709879628,3.09186999,8.549266197,1.727470111,2.56475757,1.2004291,0.34548853,2.582410681,0.85494057,3.964450176,0.34548853,0.34548853,1.0364793,0.85494057,19.187449049,8.110376287,0.0,0.0,1.2004291,2.56475757,0.0,0.0,0.690985953,0.0,3.09186999,0.34548853,0.0,5.182441277,0.85494057,7.694407673,1.727470111,12.765789708,0.0,0.85494057,0.0,1.2004291,0.85494057,1.709879628,1.5459265229999999,9.076398035,0.0,0.85494057,0.0,17.059390803,8.221519886,8.039896203,0.0,1.2004291,1.0364793,0.34548853,0.85494057,1.381990362,1.89141987,5.000943155,0.85494057,6.839529524,23.476575178,6.909881914,0.85494057,13.058412473,1.381990362,0.85494057,0.34548853,3.618943909,24.79288964,1.0364793,0.34548853,0.0,2.4008655809999997,0.0,1.0364793,0.690985953,1.709879628,5.8205558250000005,1.0364793,12.858912699,8.385393625999999,40.8339744,2.56475757,2.418456045,3.2733966150000002,1.381990362,5.984575239,0.0,1.5459265229999999,40.77341687,4.819389234,2.055368158,0.0,0.690985953,1.0364793,7.8760088239999995,0.34548853,2.055368158,2.236930932,0.34548853,20.5179057,0.0,0.34548853,0.690985953,14.50957867,3.7828615119999998,4.491487508,8.748578578,1.2004291,0.34548853,0.690985953,7.530515477,1.89141987,0.690985953,1.0364793,2.072981884,2.4008655809999997,3.7652618909999997,0.0,0.0,3.964450176,0.011601815,0.0,0.013269103,0.041247186,0.0,0.0,0.0,0.0,0.0,0.0,0.07633881,0.0,0.676454165,0.0,0.07065118,0.019910117,0.124721584,0.0,0.0,0.0,1.0,1.0
11x11,0.0,2.599813489,2.154846113,3.419773361,0.0,2.154846113,10.703897313999999,32.075962113,0.0,0.0,10.364298182,1.709879628,11.25481323,1.299905543,14.53459731,0.0,7.284480781999999,1.299905543,1.709879628,6.909569996,9.84917174,1.299905543,2.56475757,0.85494057,0.0,0.85494057,2.154846113,0.85494057,5.199690368,0.0,0.0,0.85494057,15.38702061,0.85494057,0.0,0.0,0.85494057,2.56475757,0.0,0.0,0.0,0.0,4.309693117,0.0,0.0,0.0,0.85494057,7.694407673,0.0,3.009785171,0.0,0.85494057,0.0,6.054630938,0.85494057,1.709879628,2.154846113,7.694407673,1.299905543,0.85494057,0.0,8.174424281,8.139435066999999,7.694407673,0.0,0.85494057,0.0,2.599813489,0.85494057,0.0,7.354573373,3.4547540590000003,0.85494057,6.839529524,6.909569996,0.0,0.85494057,6.839529524,1.299905543,2.154846113,0.0,0.85494057,24.79288964,0.0,0.0,0.0,4.309693117,0.0,0.0,0.0,1.709879628,5.129569872,0.0,9.403991771,7.694407673,101.45268765,2.56475757,1.299905543,3.4547540590000003,0.0,5.984575239,0.0,0.85494057,22.0993628,4.309693117,1.709879628,0.0,0.0,0.0,6.839529524,0.0,4.309693117,16.45463142,0.0,20.5179057,0.0,0.0,0.0,0.0,3.009785171,0.0,7.284480781999999,0.85494057,0.0,0.0,6.839529524,0.85494057,0.0,0.0,5.199690368,3.009785171,3.419773361,0.0,0.0,0.85494057,0.011601815,0.044039668,0.005541733,0.020496924,0.0,0.032209852,0.0,0.119185307,0.0,0.0,0.07633881,0.0,1.062318184,0.0,0.07065118,0.019910117,0.105938559,0.0,0.0,0.0,1.0,1.0
12x12,0.0,3.883261708,3.4438293520000003,6.0086621430000005,0.0,0.85494057,13.287253479,33.364945352,1.294457406,0.0,5.153646352,1.709879628,16.38978069,0.0,14.53459731,0.0,7.279032645,0.0,3.0043370339999997,12.065215907999999,8.549266197,0.0,2.56475757,0.85494057,0.0,0.85494057,0.85494057,2.149397976,0.0,0.0,0.0,0.85494057,15.38702061,0.85494057,0.0,0.0,0.85494057,5.153646352,0.0,0.0,0.0,0.0,13.360155597999999,0.0,0.0,1.294457406,0.85494057,10.283296455,1.294457406,10.769926403,0.0,2.149397976,1.294457406,2.149397976,0.85494057,1.709879628,0.85494057,15.460983629,0.0,0.85494057,0.0,19.809445823,6.839529524,10.283296455,0.0,0.85494057,3.883261708,0.0,0.85494057,2.588888782,3.4438293520000003,3.4438293520000003,0.85494057,6.839529524,8.182105649,29.77513736,0.85494057,8.133986929999999,0.0,0.85494057,0.0,3.4438293520000003,26.087347045999998,0.0,0.0,0.0,3.0043370339999997,2.588888782,0.0,0.0,1.709879628,5.129569872,0.0,11.992880552999999,8.988865079,66.18864819000001,6.448019278,2.588888782,0.85494057,1.294457406,9.867836947,0.0,0.85494057,62.13933449,1.709879628,1.709879628,0.0,1.294457406,0.0,6.839529524,0.0,1.709879628,0.85494057,0.0,20.5179057,0.0,0.0,0.0,0.0,1.709879628,0.0,12.456801259999999,0.85494057,0.0,0.0,10.722791231999999,2.149397976,0.0,1.294457406,2.588888782,1.709879628,3.419773361,0.0,0.0,6.032685885,0.011601815,0.025621225,0.0,0.053032442,0.0,0.019981277,0.0,0.13991377,0.0,0.0,0.07633881,0.0,1.3602010979999999,0.0,0.07065118,0.019910117,0.105938559,0.0,0.0,0.0,1.0,1.0
13x13,0.0,0.0,1.696221266,5.943644347999999,0.0,3.378811557,11.927862758,31.617337266,0.0,0.0,5.929915892,1.709879628,21.88927821,0.0,14.53459731,0.841280696,7.66713867,0.841280696,1.709879628,2.551160324,8.549266197,0.0,2.56475757,0.85494057,0.0,0.85494057,1.696221266,0.85494057,0.0,0.0,0.0,0.85494057,17.910891597,3.378811557,0.0,0.0,0.85494057,3.406038266,0.0,0.0,0.0,0.0,5.0750379500000005,0.0,0.0,0.0,1.696221266,7.694407673,0.0,2.551160324,0.841280696,0.85494057,0.841280696,0.85494057,0.85494057,1.709879628,0.85494057,10.21827866,0.0,0.85494057,0.0,11.004792703,7.68081022,7.694407673,0.0,1.696221266,0.0,0.0,0.85494057,0.0,3.378811557,4.220098892,0.85494057,7.68081022,12.647011727999999,0.841280696,0.85494057,9.363400511,0.0,0.85494057,0.0,0.85494057,24.79288964,0.0,0.0,0.0,1.709879628,0.841280696,0.0,0.0,1.709879628,5.970850568,0.0,10.245272467,7.694407673,65.2193432,2.56475757,8.412825336,1.696221266,0.0,5.984575239,0.0,0.85494057,15.14358557,5.0750379500000005,1.709879628,0.0,0.841280696,0.841280696,9.363400511,0.841280696,2.551160324,3.378811557,0.0,21.359186396,0.0,0.0,0.0,1.682563431,1.709879628,0.841280696,5.984575239,0.85494057,0.0,0.0,6.839529524,0.85494057,0.841280696,1.682563431,0.0,1.709879628,4.261054057,0.0,0.0,1.696221266,0.011601815,0.033536932,0.037253717,0.07256053600000001,0.0,0.051233035,0.0,0.157436037,0.0,0.0,0.07633881,0.0,1.449615223,0.0,0.07065118,0.019910117,0.105938559,0.0,0.009163188,0.0,1.0,1.0
