coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature2,Endothelial3,ODImmature2cells,Endothelial3cells
0x0,1.448612149,2.897265563,3.097966201,1.649354052,0.0,0.824693815,0.0,0.824693815,0.0,0.0,2.897265563,0.0,0.0,0.0,0.0,1.448612149,1.649354052,0.0,0.824693815,1.448612149,0.0,31.33702035,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,1.448612149,0.824693815,0.824693815,0.0,0.0,0.0,5.170583591,0.0,0.0,10.14037987,0.0,0.0,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.747340483,0.0,0.824693815,0.0,7.443893118,2.273305964,1.448612149,0.0,0.0,0.824693815,0.824693815,0.0,0.824693815,0.0,5.772827274,0.0,26.39050251,18.988382156,15.93557709,0.0,14.48460032,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,1.448612149,0.824693815,0.824693815,5.9952438279999996,0.0,5.371347043,0.0,1.649354052,0.0,1.649354052,1.448612149,1.649354052,0.824693815,0.0,2.47408148,123.1366439,0.0,0.0,0.0,51.758374128999996,4.345889776,4.948123813,0.0,0.824693815,12.36903314,3.097966201,2.47408148,0.0,0.824693815,0.0,0.0,4.12342048,2.47408148,0.0,0.0,0.0,4.948123813,0.0,0.0,0.0,0.0,0.0,1.649354052,1.448612149,0.0,0.0,5.170583591,0.033317845,0.0,0.056818809,0.065721759,0.00197471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187189372,0.0,0.0,0.000979608,0.505735643,0.028037602,0.003393076,0.0,1.0,1.0,[0],[0]
1x1,2.032145239,0.677374359,3.0041322160000004,3.681499291,0.0,2.856839054,2.032145239,1.5020681740000001,0.0,0.0,0.677374359,1.354778164,0.0,0.677374359,0.0,6.096431255,7.06839284,0.677374359,2.179471979,0.677374359,3.386922882,34.046559851,4.948123813,0.0,1.649354052,0.0,0.0,2.709539501,3.151455839,0.0,0.0,1.354778164,1.5020681740000001,3.534233316,0.0,0.0,2.032145239,1.5020681740000001,0.824693815,0.677374359,0.677374359,0.0,1.5020681740000001,0.677374359,0.0,19.64429232,0.0,0.677374359,0.677374359,2.179471979,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,8.717767122,0.0,1.5020681740000001,0.677374359,11.810274172,0.824693815,2.709539501,0.677374359,0.0,4.889000525,0.824693815,0.0,2.179471979,1.354778164,10.514520701,0.0,26.39050251,18.612881878,0.0,0.0,8.80595735,1.354778164,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,0.0,1.354778164,0.0,1.5020681740000001,2.179471979,3.681499291,0.0,3.151455839,3.386922882,1.649354052,0.0,2.326728411,0.0,2.326728411,2.179471979,1.354778164,2.47408148,42.67169015,0.0,0.0,0.0,50.30976198,4.06430671,6.302901976999999,0.0,2.179471979,16.433339850000003,3.0041322160000004,3.8288596440000005,0.0,0.824693815,0.0,21.67775192,4.12342048,2.47408148,0.0,0.0,1.354778164,4.948123813,0.0,0.0,0.677374359,0.0,0.0,2.326728411,0.0,0.0,0.677374359,0.824693815,0.107927822,0.0,0.031561203,0.027509865,0.00197471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000979608,0.33957671100000003,0.275004716,0.003393076,0.0,1.0,1.0,[0],[1]
2x2,12.91874249,12.91874249,1.649354052,1.649354052,0.0,2.116669468,0.0,0.824693815,0.0,0.0,1.291975653,1.291975653,0.0,0.0,0.0,0.0,2.9413297050000002,0.0,0.824693815,0.0,1.291975653,31.33702035,4.948123813,0.0,1.649354052,0.0,2.583933973,0.0,2.47408148,0.0,0.0,0.0,5.992631821,0.824693815,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,1.291975653,2.116669468,0.0,0.0,0.0,0.0,0.0,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,3.298728334,0.0,0.824693815,0.0,9.401206761,4.7006523080000004,0.0,0.0,0.0,0.824693815,0.824693815,0.0,2.116669468,0.0,5.772827274,0.0,26.39050251,18.361781096,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824693815,0.824693815,1.649354052,0.0,2.47408148,0.0,1.649354052,0.0,1.649354052,1.291975653,1.649354052,0.824693815,0.0,2.47408148,25.84108084,0.0,0.0,0.0,50.30976198,1.291975653,4.948123813,0.0,0.824693815,14.952967113000001,1.649354052,3.7660571330000003,0.0,0.824693815,0.0,0.0,4.12342048,2.47408148,0.0,0.0,0.0,4.948123813,1.291975653,2.583933973,0.0,1.291975653,0.0,1.649354052,3.875958493,0.0,0.0,2.116669468,0.046828456000000004,0.0,0.045034009,0.041587723,0.00197471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111754766,0.0,0.0,0.000979608,0.33637430700000004,0.080954268,0.003393076,0.0,1.0,1.0,[0],[2]
3x3,5.100283239,7.650475889,2.9244514830000004,2.9244514830000004,1.275097431,0.824693815,0.0,0.824693815,0.0,0.0,7.650475889,0.0,1.275097431,0.0,0.0,0.0,4.1995310020000005,1.275097431,0.824693815,2.55017695,2.55017695,33.8871973,6.223221243999999,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,3.374870765,4.649945822,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,0.0,7.199999071,0.0,0.0,6.375305256,0.0,0.0,0.0,2.099791246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.298728334,0.0,0.824693815,0.0,6.749637291000001,0.824693815,0.0,0.0,0.0,2.099791246,0.824693815,0.0,2.099791246,0.0,5.772827274,0.0,26.39050251,27.21834212,14.02449903,0.0,8.925445294,0.0,0.0,0.0,2.55017695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824693815,0.824693815,4.1995310020000005,0.0,2.47408148,0.0,6.749637291000001,0.0,1.649354052,1.275097431,1.649354052,0.824693815,0.0,2.47408148,113.4721922,3.825252007,0.0,0.0,50.30976198,2.55017695,4.948123813,0.0,0.824693815,12.36903314,1.649354052,3.7491789110000004,0.0,0.824693815,0.0,0.0,4.12342048,2.47408148,0.0,0.0,1.275097431,4.948123813,0.0,0.0,0.0,0.0,0.0,1.649354052,0.0,1.275097431,0.0,2.099791246,0.025115972,0.008373212,0.054643807,0.06294524400000001,0.00197471,0.005364625,0.0,0.0,0.0,0.0,0.021680725,0.0,0.281297563,0.0,0.0,0.032274817,0.3524328,0.034571254999999995,0.003393076,0.0,1.0,1.0,[0],[3]
4x4,4.746454866,0.0,1.649354052,1.649354052,0.0,0.824693815,2.373261425,0.824693815,0.0,2.373261425,7.119700307,0.0,0.0,0.0,0.0,0.0,1.649354052,0.0,0.824693815,0.0,0.0,36.083475216,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,3.1979552399999998,0.824693815,0.0,0.0,0.0,0.824693815,0.824693815,0.0,2.373261425,0.0,3.1979552399999998,0.0,0.0,33.22157552,0.0,0.0,0.0,0.824693815,0.0,2.373261425,0.0,0.0,0.0,0.0,2.373261425,3.298728334,0.0,0.824693815,2.373261425,18.261002182,0.824693815,9.493007904,0.0,0.0,7.944394121999999,0.824693815,0.0,0.824693815,2.373261425,5.772827274,0.0,26.39050251,17.940297956,0.0,2.373261425,11.86470998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824693815,0.824693815,1.649354052,0.0,2.47408148,0.0,1.649354052,0.0,1.649354052,7.119700307,1.649354052,0.824693815,0.0,2.47408148,23.73432141,0.0,0.0,0.0,50.30976198,4.746454866,4.948123813,0.0,0.824693815,19.488733447,1.649354052,2.47408148,0.0,0.824693815,0.0,33.22157552,6.496681905,2.47408148,0.0,0.0,0.0,4.948123813,4.746454866,0.0,0.0,0.0,0.0,1.649354052,0.0,0.0,0.0,3.1979552399999998,0.025115972,0.020032478,0.047149529,0.046963785,0.00197471,0.004387271,0.011314421,0.0,0.0,0.0,0.0,0.0,0.0,0.006760343,0.0,0.028920162,0.389523004,0.045186657,0.003393076,0.0,1.0,1.0,[0],[4]
5x5,1.448612149,2.897265563,12.720178499000001,0.0,0.0,22.54507076,0.0,0.0,0.0,0.0,8.533320917,0.0,5.636055354,0.0,0.0,1.448612149,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,22.54507076,0.0,0.0,7.0846675029999995,0.0,0.0,0.0,0.0,0.0,4.345889776,0.0,0.0,10.14037987,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,5.794539066,1.448612149,1.448612149,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,11.27156635,22.704721105999997,15.93557709,0.0,14.48460032,0.0,0.0,5.636055354,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,9.98194513,0.0,2.897265563,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,123.1366439,0.0,0.0,0.0,1.448612149,4.345889776,0.0,5.636055354,5.636055354,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,11.27156635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,0.0,1.448612149,0.0,0.0,4.345889776,0.008201873,0.0,0.028106962,0.041685838,0.0,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.642748996,0.0,0.0,0.022361296,0.22688561399999999,0.490390247,0.0,0.0,1.0,1.0,[1],[0]
6x6,2.032145239,0.677374359,12.626344514000001,2.032145239,0.0,24.577215999000003,2.032145239,0.677374359,0.0,0.0,6.313429713,1.354778164,5.636055354,0.677374359,0.0,6.096431255,5.419038788,0.677374359,1.354778164,0.677374359,3.386922882,2.709539501,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,11.948940709,25.254610261000003,0.0,0.0,7.668200593,0.677374359,0.0,0.677374359,0.677374359,0.0,0.677374359,0.677374359,0.0,19.64429232,0.0,0.677374359,0.677374359,6.990833518,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,5.419038788,0.0,0.677374359,0.677374359,10.16092012,0.0,2.709539501,0.677374359,0.0,4.06430671,5.636055354,0.0,1.354778164,1.354778164,4.741693427,0.0,11.27156635,22.329220827999997,0.0,0.0,8.80595735,1.354778164,0.677374359,5.636055354,0.0,0.0,0.677374359,0.0,0.0,0.0,1.354778164,0.0,0.677374359,1.354778164,7.668200593,0.0,0.677374359,3.386922882,0.0,0.0,0.677374359,0.0,0.677374359,1.354778164,1.354778164,0.0,42.67169015,0.0,0.0,0.0,0.0,4.06430671,1.354778164,5.636055354,6.990833518,4.06430671,1.354778164,1.354778164,0.0,0.0,0.0,21.67775192,0.0,5.636055354,11.27156635,0.0,1.354778164,0.0,0.0,0.0,0.677374359,0.0,11.27156635,0.677374359,0.0,0.0,0.677374359,0.0,0.08281185,0.0,0.002849356,0.003473944,0.0,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.455559624,0.0,0.0,0.022361296,0.060726682000000004,0.7373573609999999,0.0,0.0,1.0,1.0,[1],[1]
7x7,12.91874249,12.91874249,11.27156635,0.0,0.0,23.837046413000003,0.0,0.0,0.0,0.0,6.9280310069999995,1.291975653,5.636055354,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,0.0,2.583933973,0.0,0.0,0.0,0.0,0.0,16.439504356,22.54507076,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,1.291975653,1.291975653,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,7.751852709,3.875958493,0.0,0.0,0.0,0.0,5.636055354,0.0,1.291975653,0.0,0.0,0.0,11.27156635,22.078120046,0.0,0.0,0.0,0.0,1.291975653,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,25.84108084,0.0,0.0,0.0,0.0,1.291975653,0.0,5.636055354,5.636055354,2.583933973,0.0,1.291975653,0.0,0.0,0.0,0.0,0.0,5.636055354,11.27156635,0.0,0.0,0.0,1.291975653,2.583933973,0.0,1.291975653,11.27156635,0.0,3.875958493,0.0,0.0,1.291975653,0.021712484,0.0,0.016322162,0.017551802000000002,0.0,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.56731439,0.0,0.0,0.022361296,0.057524278,0.543306913,0.0,0.0,1.0,1.0,[1],[2]
8x8,5.100283239,7.650475889,12.546663781000001,1.275097431,1.275097431,22.54507076,0.0,0.0,0.0,0.0,13.286531242999999,0.0,6.911152785,0.0,0.0,0.0,2.55017695,1.275097431,0.0,2.55017695,2.55017695,2.55017695,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.821743300000001,26.370322767,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,6.375305256,0.0,0.0,6.375305256,0.0,0.0,0.0,6.911152785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.100283239,0.0,0.0,0.0,0.0,1.275097431,5.636055354,0.0,1.275097431,0.0,0.0,0.0,11.27156635,30.934681069999996,14.02449903,0.0,8.925445294,0.0,0.0,5.636055354,2.55017695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.186232304,0.0,0.0,0.0,5.100283239,0.0,0.0,1.275097431,0.0,0.0,0.0,0.0,113.4721922,3.825252007,0.0,0.0,0.0,2.55017695,0.0,5.636055354,5.636055354,0.0,0.0,1.275097431,0.0,0.0,0.0,0.0,0.0,5.636055354,11.27156635,0.0,1.275097431,0.0,0.0,0.0,0.0,0.0,11.27156635,0.0,0.0,1.275097431,0.0,1.275097431,0.0,0.008373212,0.02593196,0.038909323,0.0,0.047269332,0.0,0.0,0.0,0.0,0.021680725,0.0,0.736857187,0.0,0.0,0.05365650499999999,0.07358277099999999,0.4969239,0.0,0.0,1.0,1.0,[1],[3]
9x9,4.746454866,0.0,11.27156635,0.0,0.0,22.54507076,2.373261425,0.0,0.0,2.373261425,12.755755660999998,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.746454866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.644827775,22.54507076,0.0,0.0,5.636055354,0.0,0.0,0.0,2.373261425,0.0,2.373261425,0.0,0.0,33.22157552,0.0,0.0,0.0,5.636055354,0.0,2.373261425,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,2.373261425,16.61164813,0.0,9.493007904,0.0,0.0,7.119700307,5.636055354,0.0,0.0,2.373261425,0.0,0.0,11.27156635,21.656636906,0.0,2.373261425,11.86470998,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,7.119700307,0.0,0.0,0.0,0.0,23.73432141,0.0,0.0,0.0,0.0,4.746454866,0.0,5.636055354,5.636055354,7.119700307,0.0,0.0,0.0,0.0,0.0,33.22157552,2.373261425,5.636055354,11.27156635,0.0,0.0,0.0,4.746454866,0.0,0.0,0.0,11.27156635,0.0,0.0,0.0,0.0,2.373261425,0.0,0.020032478,0.018437682,0.022927864,0.0,0.046291978,0.011314421,0.0,0.0,0.0,0.0,0.0,0.455559624,0.006760343,0.0,0.050301849999999995,0.11067297499999999,0.507539302,0.0,0.0,1.0,1.0,[1],[4]
