coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature2,Microglia
0x0,0.891907941,0.0,16.811536312,1.649354052,0.0,19.553463375,0.0,2.608506439,0.0,0.0,1.783812624,0.891907941,0.0,0.0,0.0,0.891907941,3.433166676,0.891907941,0.824693815,0.0,0.0,33.120832974,4.948123813,0.0,1.649354052,0.0,0.0,0.0,3.365989421,0.0,0.0,0.0,10.636543521,9.743742,0.0,0.0,0.0,1.7166017560000002,0.824693815,0.0,0.0,0.891907941,0.824693815,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.824693815,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,10.434148731,0.891907941,1.7166017560000002,0.0,5.216974411000001,1.7166017560000002,0.0,0.0,0.0,1.7166017560000002,0.824693815,0.0,0.824693815,0.0,7.556639898,0.0,26.39050251,32.81438147,0.0,0.0,0.0,0.0,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.0,0.824693815,0.824693815,5.216974411000001,0.0,5.149865624,1.783812624,1.649354052,1.783812624,5.216974411000001,0.0,4.325138196,0.824693815,0.0,2.47408148,0.0,0.0,0.0,0.0,96.69030131,0.0,12.975467975,0.891907941,0.824693815,21.288081325,1.649354052,6.041701839,0.0,1.7166017560000002,0.0,0.0,13.042468665,6.933671108,7.135420397,0.0,0.0,4.948123813,1.783812624,0.0,0.0,0.891907941,0.0,2.541261993,0.0,0.0,0.891907941,13.311216895,0.051464822,0.005579243,0.056424641000000005,0.06838108400000001,0.00197471,0.0,0.0,0.0,0.0,0.0,0.014238051,0.0,0.029409093,0.0,0.0,0.001742423,0.502484046,0.028037602,0.003393076,0.0,1.0,1.0
1x1,0.0,0.0,1.649354052,1.649354052,0.0,6.846842163,0.0,0.824693815,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,13.693029972,0.0,0.824693815,0.0,0.0,31.33702035,4.948123813,0.0,1.649354052,6.022148348,0.0,0.0,2.47408148,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,0.0,12.868369735,0.0,0.0,0.0,6.022148348,0.0,0.0,0.824693815,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,3.298728334,0.0,6.846842163,0.0,1.649354052,0.824693815,0.0,0.0,6.022148348,0.824693815,0.824693815,0.0,0.824693815,0.0,29.862789064,0.0,26.39050251,13.19384309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.824693815,0.824693815,1.649354052,0.0,2.47408148,0.0,1.649354052,0.0,1.649354052,0.0,1.649354052,0.824693815,6.022148348,14.5177574,0.0,0.0,0.0,0.0,152.68106717999999,0.0,4.948123813,0.0,0.824693815,12.36903314,1.649354052,8.496229828,0.0,0.824693815,0.0,0.0,10.145568828,2.47408148,0.0,0.0,0.0,4.948123813,12.04367592,6.022148348,0.0,0.0,0.0,1.649354052,0.0,0.0,0.0,0.824693815,0.027503374,0.0,0.051239792000000006,0.044476723,0.004421894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000979608,0.44123779100000005,0.033605036,0.003784177,0.0,1.0,1.0
2x2,0.0,2.889914001,1.649354052,4.539268053000001,0.0,0.824693815,1.444950101,0.824693815,0.0,0.0,1.444950101,0.0,0.0,0.0,1.444950101,7.224888137,11.764111761999999,1.444950101,0.824693815,0.0,0.0,31.33702035,4.948123813,0.0,3.0943041530000004,0.0,1.444950101,1.444950101,3.9190315810000005,0.0,0.0,0.0,3.714607816,3.714607816,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,2.269643916,0.0,0.0,0.0,4.334945658,1.444950101,0.0,0.0,7.633673992,0.0,9.494549663999999,0.0,1.649354052,0.824693815,2.889914001,0.0,0.0,0.824693815,2.269643916,0.0,0.824693815,0.0,5.772827274,0.0,27.835452611,14.638793191,0.0,0.0,0.0,4.334945658,0.0,0.0,0.0,2.889914001,0.0,0.0,0.0,0.0,1.444950101,0.0,0.824693815,0.824693815,7.429202718000001,0.0,3.9190315810000005,0.0,3.0943041530000004,0.0,3.0943041530000004,0.0,1.649354052,0.824693815,0.0,12.58883919,0.0,0.0,0.0,0.0,115.33348344999999,0.0,20.844750153,0.0,0.824693815,21.038888989,1.649354052,5.363995481,0.0,0.824693815,1.444950101,0.0,7.013334481,2.47408148,1.444950101,0.0,0.0,4.948123813,4.334945658,0.0,0.0,1.444950101,1.444950101,3.0943041530000004,1.444950101,0.0,0.0,0.824693815,0.025115972,0.0,0.043770449,0.041129466,0.00197471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287508189,0.0,0.0,0.10423993200000001,0.31614197600000005,0.338878552,0.003393076,0.0,1.0,1.0
3x3,0.0,0.96942751,25.884161772,2.618781562,0.484704415,20.698420855,0.0,2.278837578,0.484704415,0.0,0.96942751,0.484704415,3.392987829,0.96942751,0.0,0.0,3.588153841,0.484704415,0.824693815,0.484704415,0.0,32.791164113,4.948123813,0.484704415,1.649354052,0.0,0.0,0.0,4.897657691,0.0,0.0,0.96942751,7.125822448,11.972560014999999,0.0,0.0,1.454143763,1.30939823,0.824693815,0.0,0.484704415,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,1.938799789,0.824693815,0.0,0.0,0.0,0.0,0.484704415,0.0,0.484704415,5.722304545,0.0,0.824693815,0.0,9.889312112999999,0.824693815,0.484704415,0.484704415,0.0,1.794121325,1.30939823,0.0,0.824693815,0.484704415,6.742254784,0.0,27.35993002,47.12395685,0.0,0.0,0.0,0.96942751,0.0,0.0,0.96942751,0.0,0.0,0.484704415,0.0,1.454143763,0.484704415,0.484704415,1.30939823,0.824693815,1.649354052,0.0,4.412881269,1.938799789,2.134058467,0.0,4.557583025,0.0,6.9811950419999995,1.30939823,0.0,2.958785895,0.0,0.0,0.96942751,0.0,88.11586212,0.0,10.764601226,0.0,0.824693815,14.307832929,2.618781562,2.958785895,0.0,1.30939823,0.484704415,0.96942751,7.031649453,6.35172436,2.908228973,0.0,0.0,4.948123813,0.484704415,0.0,0.0,0.484704415,2.423576211,3.588153841,0.0,0.484704415,0.0,10.517704479999999,0.025115972,0.041643241,0.047653128,0.06910513700000001,0.00197471,0.023056926,0.0,0.085128075,0.0,0.0,0.0,0.0,0.641572243,0.0,0.0,0.000979608,0.29648817800000005,0.028037602,0.003393076,0.0,1.0,1.0
4x4,0.0,0.0,1.649354052,1.649354052,1.168652664,3.162030328,0.0,0.824693815,0.0,1.168652664,0.0,0.0,0.0,0.0,0.0,0.0,6.324016068000001,0.0,0.824693815,4.674662016,2.337336513,31.33702035,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,4.330681495,0.824693815,0.0,0.0,0.0,1.993346479,6.667905902,0.0,1.168652664,0.0,1.993346479,0.0,0.0,4.674662016,1.168652664,2.337336513,0.0,0.824693815,0.0,0.0,0.0,1.168652664,0.0,0.0,0.0,6.804716014,0.0,0.824693815,0.0,8.661336699,0.824693815,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.824693815,1.168652664,10.44748929,0.0,26.39050251,16.69983077,0.0,0.0,1.168652664,1.168652664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168652664,0.0,1.993346479,0.824693815,1.649354052,0.0,4.811417993,1.168652664,1.649354052,0.0,1.649354052,0.0,1.649354052,0.824693815,0.0,3.6427341440000003,26.88046418,0.0,0.0,0.0,133.27509214,1.168652664,11.960106459999999,0.0,0.824693815,20.549610616000002,3.986690565,2.47408148,0.0,0.824693815,0.0,3.50598768,18.14791951,2.47408148,0.0,0.0,0.0,4.948123813,0.0,0.0,0.0,0.0,0.0,1.649354052,0.0,0.0,0.0,0.824693815,0.041068932,0.0,0.06474122500000001,0.09324675800000001,0.00197471,0.001917426,0.0,0.0,0.0,0.0,0.0,0.0,0.35975292,0.0,0.0,0.015964552,0.360551471,0.028780207999999998,0.004453403,0.0,1.0,1.0
5x5,0.891907941,0.0,26.433748610000002,0.0,0.0,41.273840320000005,0.0,1.783812624,0.0,0.0,7.419867978,0.891907941,5.636055354,0.0,0.0,0.891907941,1.783812624,0.891907941,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,21.083416056,31.464118945000003,0.0,0.0,5.636055354,0.891907941,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,5.636055354,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,7.135420397,0.891907941,0.891907941,0.0,3.567620359,0.891907941,0.0,0.0,0.0,0.891907941,5.636055354,0.0,0.0,0.0,1.783812624,0.0,11.27156635,36.530720419999994,0.0,0.0,0.0,0.0,15.16218226,5.636055354,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,9.203675712999999,0.0,2.675784144,1.783812624,0.0,1.783812624,3.567620359,0.0,2.675784144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.38053933,0.0,8.027344162,6.527963295,5.636055354,8.919048185,0.0,3.567620359,0.0,0.891907941,0.0,0.0,8.919048185,10.095644982,18.406986747,0.0,0.0,0.0,1.783812624,0.0,0.0,0.891907941,11.27156635,0.891907941,0.0,0.0,0.891907941,12.48652308,0.02634885,0.005579243,0.027712794000000002,0.044345163,0.0,0.041904707,0.0,0.0,0.0,0.0,0.014238051,0.0,0.484968717,0.0,0.0,0.023124111,0.223634017,0.490390247,0.0,0.0,1.0,1.0
6x6,0.0,0.0,11.27156635,0.0,0.0,28.567219108000003,0.0,0.0,0.0,0.0,5.636055354,6.022148348,5.636055354,0.0,0.0,0.0,12.04367592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,22.54507076,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,0.0,6.022148348,0.0,0.0,5.636055354,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,5.636055354,0.0,0.0,0.0,24.08996179,0.0,11.27156635,16.91018204,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,12.04367592,0.0,0.0,0.0,0.0,102.3713052,0.0,0.0,5.636055354,5.636055354,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,6.022148348,5.636055354,11.27156635,0.0,0.0,0.0,12.04367592,6.022148348,0.0,0.0,11.27156635,0.0,0.0,0.0,0.0,0.0,0.002387402,0.0,0.022527945,0.020440802,0.002447184,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.455559624,0.0,0.0,0.022361296,0.162387762,0.495957681,0.000391101,0.0,1.0,1.0
7x7,0.0,2.889914001,11.27156635,2.889914001,0.0,22.54507076,1.444950101,0.0,0.0,0.0,7.081005455,0.0,5.636055354,0.0,1.444950101,7.224888137,10.11475771,1.444950101,0.0,0.0,0.0,0.0,0.0,0.0,1.444950101,0.0,1.444950101,1.444950101,1.444950101,0.0,0.0,0.0,14.161480351000002,25.434984761000003,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.081005455,0.0,0.0,0.0,4.334945658,1.444950101,0.0,0.0,4.334945658,0.0,8.669855849,0.0,0.0,0.0,2.889914001,0.0,0.0,0.0,7.081005455,0.0,0.0,0.0,0.0,0.0,12.716516451,18.355132141,0.0,0.0,0.0,4.334945658,0.0,5.636055354,0.0,2.889914001,0.0,0.0,0.0,0.0,1.444950101,0.0,0.0,0.0,11.41590402,0.0,1.444950101,0.0,1.444950101,0.0,1.444950101,0.0,0.0,0.0,0.0,10.11475771,0.0,0.0,0.0,0.0,65.02372147,0.0,15.89662634,5.636055354,5.636055354,8.669855849,0.0,2.889914001,0.0,0.0,1.444950101,0.0,2.889914001,5.636055354,12.716516451,0.0,0.0,0.0,4.334945658,0.0,0.0,1.444950101,12.716516451,1.444950101,1.444950101,0.0,0.0,0.0,0.0,0.0,0.015058602,0.017093545,0.0,0.041904707,0.0,0.0,0.0,0.0,0.0,0.0,0.743067813,0.0,0.0,0.12562162,0.037291947000000006,0.801231197,0.0,0.0,1.0,1.0
8x8,0.0,0.96942751,35.50637407,0.96942751,0.484704415,42.4187978,0.0,1.454143763,0.484704415,0.0,6.605482864,0.484704415,9.029043182999999,0.96942751,0.0,0.0,1.938799789,0.484704415,0.0,0.484704415,0.0,1.454143763,0.0,0.484704415,0.0,0.0,0.0,0.0,2.423576211,0.0,0.0,0.96942751,17.572694983,33.69293696,0.0,0.0,7.090199117,0.484704415,0.0,0.0,0.484704415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.938799789,5.636055354,0.0,0.0,0.0,0.0,0.484704415,0.0,0.484704415,2.423576211,0.0,0.0,0.0,8.239958061,0.0,0.484704415,0.484704415,0.0,0.96942751,6.120759769,0.0,0.0,0.484704415,0.96942751,0.0,12.24099386,50.84029579999999,0.0,0.0,0.0,0.96942751,0.0,5.636055354,0.96942751,0.0,0.0,0.484704415,0.0,1.454143763,0.484704415,0.484704415,0.484704415,0.0,5.636055354,0.0,1.938799789,1.938799789,0.484704415,0.0,2.908228973,0.0,5.33184099,0.484704415,0.0,0.484704415,0.0,0.0,0.96942751,0.0,37.80610014,0.0,5.816477413,5.636055354,5.636055354,1.938799789,0.96942751,0.484704415,0.0,0.484704415,0.484704415,0.96942751,2.908228973,9.513698234,14.179795323,0.0,0.0,0.0,0.484704415,0.0,0.0,0.484704415,13.695142561,1.938799789,0.0,0.484704415,0.0,9.693010665,0.0,0.041643241,0.018941281,0.045069216,0.0,0.06496163299999999,0.0,0.085128075,0.0,0.0,0.0,0.0,1.097131867,0.0,0.0,0.022361296,0.017638149,0.490390247,0.0,0.0,1.0,1.0
9x9,0.0,0.0,11.27156635,0.0,1.168652664,24.882407273000002,0.0,0.0,0.0,1.168652664,5.636055354,0.0,5.636055354,0.0,0.0,0.0,4.674662016,0.0,0.0,4.674662016,2.337336513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.777554030000001,22.54507076,0.0,0.0,5.636055354,1.168652664,5.843212087,0.0,1.168652664,0.0,1.168652664,0.0,0.0,4.674662016,1.168652664,2.337336513,0.0,5.636055354,0.0,0.0,0.0,1.168652664,0.0,0.0,0.0,3.50598768,0.0,0.0,0.0,7.011982647,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,1.168652664,4.674662016,0.0,11.27156635,20.41616972,0.0,0.0,1.168652664,1.168652664,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,1.168652664,0.0,1.168652664,0.0,5.636055354,0.0,2.337336513,1.168652664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168652664,26.88046418,0.0,0.0,0.0,82.96533016,1.168652664,7.011982647,5.636055354,5.636055354,8.180577476,2.337336513,0.0,0.0,0.0,0.0,3.50598768,14.02449903,5.636055354,11.27156635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,0.0,0.0,0.0,0.0,0.0,0.01595296,0.0,0.036029378,0.06921083700000001,0.0,0.043822133,0.0,0.0,0.0,0.0,0.0,0.0,0.815312544,0.0,0.0,0.03734624,0.081701442,0.491132853,0.001060327,0.0,1.0,1.0
