coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature2,ODMature1,ODImmature2 ODMature1
0x0,0.0,0.0,1.649354052,4.307491338,1.329056371,2.153750186,1.993574012,2.818267827,0.0,0.664523765,0.664523765,0.0,0.0,0.0,0.0,0.0,9.623641997,0.0,0.824693815,0.0,0.664523765,35.988732051,4.948123813,0.0,2.313877817,0.0,0.0,0.0,3.138605245,0.0,0.0,0.0,3.4828311010000004,0.824693815,0.664523765,0.0,0.0,1.48921758,0.824693815,0.0,10.63322157,0.0,2.153750186,0.0,0.0,0.0,0.0,1.329056371,0.0,10.792000801,0.0,0.0,0.0,0.664523765,0.0,7.974287945,0.664523765,4.627784705,0.0,2.153750186,1.993574012,4.307491338,0.824693815,5.316260017,0.664523765,0.0,0.824693815,0.824693815,0.0,0.824693815,1.329056371,7.766401286,0.0,26.39050251,19.174559576,0.0,0.664523765,7.309789068,0.664523765,4.651711701,0.664523765,0.0,0.664523765,0.0,0.0,0.0,1.329056371,1.329056371,5.316260017,0.824693815,1.48921758,6.301065753,0.0,5.132218766,1.329056371,2.313877817,0.0,2.978410423,0.664523765,1.649354052,2.153750186,0.0,3.138605245,0.0,0.0,0.0,0.0,50.30976198,3.987122086,10.26438383,0.0,2.153750186,47.584992989999996,1.649354052,4.4676554920000005,0.0,0.824693815,0.0,0.664523765,4.787944245,2.47408148,3.322649277,0.0,0.664523765,5.612647578,2.658137286,0.0,0.0,0.0,0.0,1.649354052,1.329056371,0.0,0.0,12.787529025,0.025115972,0.011069478,0.031561203,0.027509865,0.225176196,0.0,0.672283867,0.0,0.013825942,0.0,0.0,0.035893242,0.0,0.0,0.0,0.198607771,0.327961217,0.028037602,0.003393076,0.075526214,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,3.106664346,1.649354052,0.0,0.824693815,0.0,0.824693815,0.0,0.0,1.457310294,2.914713648,0.0,0.0,0.0,0.0,3.106664346,0.0,2.282004109,0.0,4.372049429,31.33702035,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,0.824693815,6.654053712,0.0,0.0,0.0,0.824693815,0.824693815,0.0,10.20211431,2.914713648,3.739407463,0.0,0.0,0.0,0.0,0.0,0.0,15.398687705,0.0,0.0,0.0,1.457310294,0.0,7.286669155,0.0,3.298728334,0.0,0.824693815,0.0,3.106664346,2.282004109,7.286669155,0.0,0.0,0.824693815,0.824693815,0.0,0.824693815,7.286669155,5.772827274,0.0,26.39050251,17.565892519,0.0,0.0,24.7750787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457310294,0.0,0.824693815,0.824693815,3.106664346,0.0,5.388795128,0.0,1.649354052,0.0,6.021403481,0.0,1.649354052,2.282004109,0.0,2.47408148,0.0,1.457310294,0.0,0.0,50.30976198,0.0,9.320173242,0.0,0.824693815,57.54329909,1.649354052,3.931391774,0.0,0.824693815,0.0,1.457310294,4.12342048,2.47408148,2.914713648,0.0,0.0,4.948123813,1.457310294,0.0,1.457310294,0.0,0.0,3.106664346,0.0,0.0,0.0,16.854119435,0.025115972,0.0,0.056962825,0.027509865,0.00197471,0.0,1.446639596,0.0,0.031706104,0.0,0.034158248,0.0,0.0,0.0,0.0,0.06165868,0.39440662000000004,0.029555119999999997,0.018626717,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,1.649354052,3.632743848,0.0,3.7998115859999997,0.0,1.816375822,0.0,0.0,0.0,1.983389796,0.0,0.0,1.983389796,2.975117771,3.632743848,0.991682007,0.824693815,0.0,1.983389796,31.33702035,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,5.783235748,0.824693815,0.0,0.0,0.0,1.816375822,0.824693815,0.0,16.86076268,0.0,0.824693815,0.0,0.0,0.0,0.0,1.983389796,0.0,2.808083611,0.0,0.0,0.0,3.966838056,0.0,13.88332619,0.0,9.24897151,0.0,0.824693815,0.0,1.649354052,1.816375822,7.933671932,0.0,0.0,0.824693815,0.824693815,0.0,0.824693815,3.966838056,5.772827274,0.0,26.39050251,17.160681145999998,0.0,0.0,22.8067439,0.0,1.983389796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.816375822,0.824693815,3.632743848,0.0,6.440919536,0.991682007,1.649354052,0.0,5.616192108,1.983389796,1.649354052,0.824693815,0.0,4.457471276,0.0,0.991682007,0.0,0.0,50.30976198,0.0,7.9232415839999994,0.0,0.824693815,27.24353112,1.649354052,6.440919536,0.0,0.824693815,0.0,0.0,4.12342048,2.47408148,0.0,0.991682007,0.0,4.948123813,7.933671932,0.0,0.0,0.0,0.991682007,2.641036059,0.0,0.0,0.0,16.690224065000002,0.025115972,0.0,0.073933834,0.031194556000000002,0.00197471,0.0,0.296492474,0.0,0.0,0.0,0.094992136,0.010784794,0.0,0.010793173,0.0,0.007669945,0.362786504,0.059399303,0.027782296999999997,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.719174655,0.0,1.649354052,3.806902334,0.0,1.54386847,0.0,2.263066025,2.157548282,1.43837221,0.0,0.0,0.0,0.0,0.0,0.0,7.402871092,0.0,0.824693815,1.43837221,0.719174655,32.056195005,4.948123813,0.0,7.402871092,7.191812438,0.719174655,0.719174655,2.47408148,0.0,0.0,1.43837221,2.263066025,0.824693815,0.0,0.0,0.0,1.54386847,0.824693815,0.0,16.54284394,0.0,4.420693603,1.43837221,0.0,0.0,0.0,3.595999788,0.0,14.490299365,0.0,0.719174655,0.0,4.315082378,0.719174655,9.349038438,1.43837221,14.085639214,0.0,0.824693815,1.43837221,3.806902334,1.54386847,1.43837221,0.0,0.719174655,0.824693815,1.54386847,0.0,0.824693815,11.50834928,9.368827062,0.719174655,26.39050251,13.913017745,0.0,0.0,15.10274813,0.0,0.0,0.0,1.43837221,0.719174655,0.0,0.0,0.0,1.43837221,0.0,1.43837221,0.824693815,1.54386847,4.52612373,2.157548282,3.9124536900000004,0.0,1.649354052,0.0,1.649354052,0.0,2.3685287070000003,0.824693815,0.0,2.47408148,1.43837221,0.0,0.719174655,0.0,51.028936635,0.0,8.544123600999999,0.0,0.824693815,59.83088436,1.649354052,8.946823681,1.43837221,0.824693815,0.0,0.0,6.2809687620000005,3.9124536900000004,9.349038438,0.0,0.0,4.948123813,2.876769678,0.0,0.0,0.0,1.43837221,3.0877262620000003,3.595999788,1.43837221,0.0,23.121693835,0.028667092,0.009423474,0.056460039000000004,0.051055004,0.00197471,0.029233705,1.068473684,0.0,0.0,0.0,0.315588292,0.0,0.29720914,0.0,0.020208882,0.000979608,0.33124136600000004,0.028037602,0.00570293,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,7.093123598,1.649354052,0.0,6.268463361,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.649354052,0.0,0.824693815,0.0,0.0,31.33702035,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,6.268463361,11.712453035,0.0,0.0,0.0,0.824693815,6.268463361,0.0,10.88775922,0.0,0.824693815,0.0,0.0,0.0,0.0,5.443769546,0.0,0.824693815,0.0,0.0,0.0,10.88775922,0.0,16.33005735,0.0,8.74249788,0.0,0.824693815,0.0,12.537113272,6.268463361,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.824693815,0.0,5.772827274,0.0,26.39050251,13.19384309,0.0,0.0,5.443769546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.77718242,0.824693815,0.824693815,1.649354052,0.0,2.47408148,21.77718242,1.649354052,0.0,1.649354052,0.0,1.649354052,0.824693815,0.0,2.47408148,0.0,0.0,0.0,0.0,50.30976198,0.0,4.948123813,0.0,0.824693815,28.699090490000003,1.649354052,7.917851026000001,0.0,0.824693815,0.0,0.0,4.12342048,2.47408148,0.0,0.0,0.0,4.948123813,0.0,0.0,5.443769546,0.0,5.443769546,1.649354052,0.0,0.0,0.0,0.824693815,0.041541818,0.0,0.062296148,0.027509865,0.00197471,0.0,0.607792506,0.0,0.0,0.0,0.129522795,0.0,0.0,0.0,0.0,0.007969474,0.524048983,0.032954386,0.021263980000000002,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,11.27156635,2.658137286,1.329056371,23.874127131,1.993574012,1.993574012,0.0,0.664523765,6.300579119,0.0,5.636055354,0.0,0.0,0.0,7.974287945,0.0,0.0,0.0,0.664523765,4.651711701,0.0,0.0,0.664523765,0.0,0.0,0.0,0.664523765,0.0,0.0,0.0,13.929703636000001,22.54507076,0.664523765,0.0,5.636055354,0.664523765,0.0,0.0,10.63322157,0.0,1.329056371,0.0,0.0,0.0,0.0,1.329056371,0.0,15.60336234,0.0,0.0,0.0,0.664523765,0.0,7.974287945,0.664523765,1.329056371,0.0,1.329056371,1.993574012,2.658137286,0.0,5.316260017,0.664523765,0.0,0.0,5.636055354,0.0,0.0,1.329056371,1.993574012,0.0,11.27156635,22.890898526,0.0,0.664523765,7.309789068,0.664523765,4.651711701,6.300579119,0.0,0.664523765,0.0,0.0,0.0,1.329056371,1.329056371,5.316260017,0.0,0.664523765,10.287767055,0.0,2.658137286,1.329056371,0.664523765,0.0,1.329056371,0.664523765,0.0,1.329056371,0.0,0.664523765,0.0,0.0,0.0,0.0,0.0,3.987122086,5.316260017,5.636055354,6.965111725,35.21595985,0.0,1.993574012,0.0,0.0,0.0,0.664523765,0.664523765,5.636055354,14.594215627,0.0,0.664523765,0.664523765,2.658137286,0.0,0.0,0.0,11.27156635,0.0,1.329056371,0.0,0.0,11.96283521,0.0,0.011069478,0.002849356,0.003473944,0.223201486,0.041904707,0.672283867,0.0,0.013825942,0.0,0.0,0.035893242,0.455559624,0.0,0.0,0.219989459,0.049111188,0.490390247,0.0,0.075526214,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,12.728876644,0.0,0.0,22.54507076,0.0,0.0,0.0,0.0,7.093365648,2.914713648,5.636055354,0.0,0.0,0.0,1.457310294,0.0,1.457310294,0.0,4.372049429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,28.374430657,0.0,0.0,5.636055354,0.0,0.0,0.0,10.20211431,2.914713648,2.914713648,0.0,0.0,0.0,0.0,0.0,0.0,20.210049244,0.0,0.0,0.0,1.457310294,0.0,7.286669155,0.0,0.0,0.0,0.0,0.0,1.457310294,1.457310294,7.286669155,0.0,0.0,0.0,5.636055354,0.0,0.0,7.286669155,0.0,0.0,11.27156635,21.282231469,0.0,0.0,24.7750787,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,1.457310294,0.0,0.0,0.0,7.093365648,0.0,2.914713648,0.0,0.0,0.0,4.372049429,0.0,0.0,1.457310294,0.0,0.0,0.0,1.457310294,0.0,0.0,0.0,0.0,4.372049429,5.636055354,5.636055354,45.17426595,0.0,1.457310294,0.0,0.0,0.0,1.457310294,0.0,5.636055354,14.186279998,0.0,0.0,0.0,1.457310294,0.0,1.457310294,0.0,11.27156635,1.457310294,0.0,0.0,0.0,16.02942562,0.0,0.0,0.028250978,0.003473944,0.0,0.041904707,1.446639596,0.0,0.031706104,0.0,0.034158248,0.0,0.455559624,0.0,0.0,0.083040368,0.115556591,0.491907765,0.015233641,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,11.27156635,1.983389796,0.0,25.520188531000002,0.0,0.991682007,0.0,0.0,5.636055354,1.983389796,5.636055354,0.0,1.983389796,2.975117771,1.983389796,0.991682007,0.0,0.0,1.983389796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.230108283,22.54507076,0.0,0.0,5.636055354,0.991682007,0.0,0.0,16.86076268,0.0,0.0,0.0,0.0,0.0,0.0,1.983389796,0.0,7.61944515,0.0,0.0,0.0,3.966838056,0.0,13.88332619,0.0,5.950243176,0.0,0.0,0.0,0.0,0.991682007,7.933671932,0.0,0.0,0.0,5.636055354,0.0,0.0,3.966838056,0.0,0.0,11.27156635,20.877020096,0.0,0.0,22.8067439,0.0,1.983389796,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991682007,0.0,7.61944515,0.0,3.966838056,0.991682007,0.0,0.0,3.966838056,1.983389796,0.0,0.0,0.0,1.983389796,0.0,0.991682007,0.0,0.0,0.0,0.0,2.975117771,5.636055354,5.636055354,14.87449798,0.0,3.966838056,0.0,0.0,0.0,0.0,0.0,5.636055354,11.27156635,0.991682007,0.0,0.0,7.933671932,0.0,0.0,0.0,12.263248357,0.991682007,0.0,0.0,0.0,15.86553025,0.0,0.0,0.045221987,0.007158635,0.0,0.041904707,0.296492474,0.0,0.0,0.0,0.094992136,0.010784794,0.455559624,0.010793173,0.0,0.029051633,0.083936475,0.521751948,0.024389221,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.719174655,0.0,11.27156635,2.157548282,0.0,23.264245415,0.0,1.43837221,2.157548282,1.43837221,5.636055354,0.0,5.636055354,0.0,0.0,0.0,5.75351704,0.0,0.0,1.43837221,0.719174655,0.719174655,0.0,0.0,5.75351704,7.191812438,0.719174655,0.719174655,0.0,0.0,0.0,1.43837221,12.709938560000001,22.54507076,0.0,0.0,5.636055354,0.719174655,0.0,0.0,16.54284394,0.0,3.595999788,1.43837221,0.0,0.0,0.0,3.595999788,0.0,19.301660904000002,0.0,0.719174655,0.0,4.315082378,0.719174655,9.349038438,1.43837221,10.78691088,0.0,0.0,1.43837221,2.157548282,0.719174655,1.43837221,0.0,0.719174655,0.0,6.355230009,0.0,0.0,11.50834928,3.595999788,0.719174655,11.27156635,17.629356695,0.0,0.0,15.10274813,0.0,0.0,5.636055354,1.43837221,0.719174655,0.0,0.0,0.0,1.43837221,0.0,1.43837221,0.0,0.719174655,8.512825032,2.157548282,1.43837221,0.0,0.0,0.0,0.0,0.0,0.719174655,0.0,0.0,0.0,1.43837221,0.0,0.719174655,0.0,0.719174655,0.0,3.595999788,5.636055354,5.636055354,47.46185122,0.0,6.472742201,1.43837221,0.0,0.0,0.0,2.157548282,7.074427564,20.620604788,0.0,0.0,0.0,2.876769678,0.0,0.0,0.0,12.709938560000001,1.43837221,3.595999788,1.43837221,0.0,22.29700002,0.00355112,0.009423474,0.027748192,0.027019083,0.0,0.071138412,1.068473684,0.0,0.0,0.0,0.315588292,0.0,0.752768764,0.0,0.020208882,0.022361296,0.052391336999999996,0.490390247,0.002309854,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,16.715335896,0.0,0.0,27.988840306,0.0,0.0,0.0,0.0,5.636055354,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.715335896,33.43282998,0.0,0.0,5.636055354,0.0,5.443769546,0.0,10.88775922,0.0,0.0,0.0,0.0,0.0,0.0,5.443769546,0.0,5.636055354,0.0,0.0,0.0,10.88775922,0.0,16.33005735,0.0,5.443769546,0.0,0.0,0.0,10.88775922,5.443769546,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,11.27156635,16.91018204,0.0,0.0,5.443769546,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.77718242,0.0,0.0,5.636055354,0.0,0.0,21.77718242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,5.636055354,16.33005735,0.0,5.443769546,0.0,0.0,0.0,0.0,0.0,5.636055354,11.27156635,0.0,0.0,0.0,0.0,0.0,5.443769546,0.0,16.715335896,0.0,0.0,0.0,0.0,0.0,0.016425846,0.0,0.033584301,0.003473944,0.0,0.041904707,0.607792506,0.0,0.0,0.0,0.129522795,0.0,0.455559624,0.0,0.0,0.029351162,0.245198954,0.495307031,0.017870904,0.0,1.0,1.0,"[[1], [4]]"
