coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODImmature2,ODMature3,permutationTracker
0x0,0.0,0.0,1.649354052,1.649354052,1.781762191,0.824693815,0.0,0.824693815,0.0,0.0,1.781762191,1.781762191,0.0,0.0,0.0,0.0,1.649354052,0.0,0.824693815,0.0,0.0,33.118782541,4.948123813,0.0,1.649354052,0.0,1.781762191,0.0,2.47408148,0.0,0.0,0.0,4.388109176,0.824693815,0.0,0.0,0.0,0.824693815,0.824693815,0.0,33.84977672,0.0,0.824693815,0.0,0.0,0.0,0.0,1.781762191,0.0,0.824693815,0.0,1.781762191,0.0,0.0,0.0,51.67444883,0.0,3.298728334,0.0,0.824693815,0.0,3.431116243,0.824693815,0.0,0.0,1.781762191,0.824693815,0.824693815,0.0,0.824693815,7.126995139,7.554589465,0.0,26.39050251,14.975605281,0.0,0.0,33.84977672,0.0,1.781762191,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,3.563415361,7.126995139,0.824693815,0.824693815,3.431116243,0.0,6.037496841,3.563415361,8.776349191,0.0,1.649354052,1.781762191,1.649354052,0.824693815,0.0,4.255843671,0.0,0.0,0.0,0.0,50.30976198,0.0,8.511539174,0.0,2.606456006,112.15498458,1.649354052,2.47408148,0.0,0.824693815,1.781762191,0.0,4.12342048,2.47408148,5.345122338,0.0,0.0,4.948123813,1.781762191,0.0,0.0,0.0,1.781762191,1.649354052,0.0,0.0,0.0,59.624530785000005,0.025115972,0.090031378,0.05255757800000001,0.059926515,0.00197471,0.062355816,2.199779119,0.146045869,0.0,0.0,0.041429798,0.0,0.774066928,0.0,0.109059893,0.005152516,0.29980633,0.028037602,0.011019621,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,1.649354052,2.956951234,0.0,2.78611378,0.653826704,1.478520519,0.653826704,0.0,0.653826704,0.653826704,0.653826704,0.0,0.0,1.307597182,6.225960543999999,0.653826704,1.478520519,1.307597182,0.653826704,33.298440315,4.948123813,1.961419965,2.303180756,0.0,0.0,3.269037797,2.47408148,0.0,0.0,0.0,8.016694878000001,0.824693815,0.0,0.0,0.0,1.478520519,0.824693815,0.0,22.8836116,0.0,1.478520519,0.653826704,0.0,0.0,0.0,0.653826704,2.615263862,0.824693815,0.0,0.0,0.0,0.0,0.0,26.80353394,0.0,7.875334826,0.0,0.824693815,0.653826704,5.572242559,2.78611378,0.0,0.0,0.653826704,0.824693815,1.478520519,0.0,0.824693815,3.269037797,8.388091136,0.653826704,26.39050251,14.501440272,0.653826704,0.0,23.53578741,0.653826704,0.653826704,0.0,4.576606492,0.0,0.0,0.653826704,0.0,1.307597182,0.0,9.806871811,2.132290997,0.824693815,4.2646179140000005,0.0,5.089345342,1.307597182,1.649354052,0.653826704,13.416681592,0.0,1.649354052,0.824693815,0.0,3.781678662,0.653826704,0.0,0.0,0.0,50.963588683999994,7.192001063,12.140124876,1.307597182,1.478520519,46.36354984,1.649354052,4.435501445,0.0,0.824693815,0.0,0.0,4.777247184,2.47408148,7.192001063,0.0,0.0,4.948123813,1.961419965,0.653826704,2.615263862,1.307597182,0.0,2.956951234,0.0,2.615263862,0.0,39.397787205,0.039744105,0.036952827,0.031561203,0.043151042,0.00197471,0.033577389,1.553289152,0.029020436,0.0,0.0,0.015273148,0.0,0.716405905,0.0,0.083639931,0.000979608,0.286737624,0.028037602,0.003393076,0.014299006,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,9.854697574,7.1195882390000005,0.0,3.5597746040000002,0.0,3.5597746040000002,0.0,8.205343522,0.0,2.735080789,0.0,0.0,0.0,0.0,1.649354052,5.470234187,0.824693815,0.0,0.0,31.33702035,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,0.824693815,6.294928002,0.0,0.0,0.0,0.824693815,0.824693815,0.0,21.88231712,2.735080789,3.5597746040000002,0.0,0.0,0.0,0.0,0.0,5.470234187,11.764574855,0.0,2.735080789,0.0,2.735080789,0.0,35.55947916,0.0,6.033809123,0.0,0.824693815,0.0,9.854697574,0.824693815,8.205343522,0.0,2.735080789,0.824693815,3.5597746040000002,0.0,3.5597746040000002,8.205343522,5.772827274,0.0,26.39050251,26.86958278,0.0,0.0,38.29162586,0.0,0.0,0.0,0.0,2.735080789,0.0,0.0,2.735080789,0.0,2.735080789,2.735080789,0.824693815,0.824693815,1.649354052,0.0,16.14982117,0.0,1.649354052,0.0,1.649354052,0.0,1.649354052,0.824693815,0.0,2.47408148,0.0,2.735080789,0.0,0.0,50.30976198,0.0,7.683204602,0.0,0.824693815,88.95800553,1.649354052,2.47408148,0.0,0.824693815,0.0,0.0,4.12342048,5.209162269,8.205343522,0.0,0.0,4.948123813,10.93988104,0.0,0.0,0.0,0.0,1.649354052,2.735080789,0.0,0.0,28.177757935,0.025115972,0.01019799,0.031561203,0.060335479000000004,0.00197471,0.029032284,1.348172513,0.184019895,0.091746982,0.0,0.017823093,0.0,1.412514876,0.0,0.0,0.000979608,0.286737624,0.028037602,0.003393076,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,2.084324048,1.649354052,1.649354052,0.0,0.824693815,0.0,4.9932590249999995,0.0,0.0,2.084324048,0.0,0.0,0.0,2.084324048,0.0,3.7336781,0.0,0.824693815,2.084324048,2.084324048,31.33702035,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,0.824693815,2.909017863,0.0,0.0,0.0,0.824693815,0.824693815,0.0,10.42089135,0.0,0.824693815,2.084324048,0.0,0.0,2.084324048,2.084324048,0.0,13.329862095,0.0,0.0,0.0,4.16856521,0.0,22.92764739,0.0,5.383052382000001,0.0,0.824693815,0.0,3.7336781,2.909017863,0.0,2.084324048,0.0,0.824693815,0.824693815,0.0,0.824693815,12.50516828,5.772827274,0.0,26.39050251,13.19384309,0.0,0.0,22.92764739,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.252871783,0.0,4.16856521,0.824693815,0.824693815,1.649354052,0.0,6.642646689999999,0.0,1.649354052,2.084324048,1.649354052,0.0,1.649354052,2.909017863,0.0,2.47408148,0.0,0.0,0.0,0.0,50.30976198,0.0,7.032447861,0.0,0.824693815,95.74135486,1.649354052,2.47408148,0.0,0.824693815,0.0,2.084324048,4.12342048,2.47408148,2.084324048,0.0,0.0,4.948123813,0.0,2.084324048,0.0,0.0,4.16856521,1.649354052,2.084324048,0.0,0.0,25.838266385,0.025115972,0.0,0.031561203,0.048787215,0.00197471,0.0,0.867583378,0.0,0.0,0.0,0.0,0.0,0.819952277,0.093054962,0.019073715,0.005044773,0.286737624,0.028037602,0.003393076,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,2.8903444719999998,2.8903444719999998,0.0,0.824693815,1.24099042,4.547607407,2.481929712,0.0,1.24099042,0.0,0.0,0.0,1.24099042,2.481929712,6.613249207000001,0.0,0.824693815,0.0,3.722913592,31.33702035,4.948123813,0.0,1.649354052,2.481929712,0.0,2.481929712,2.47408148,0.0,0.0,1.24099042,5.78858897,2.065684235,0.0,0.0,0.0,7.029461803,2.065684235,0.0,31.02580095,1.24099042,3.306623527,1.24099042,0.0,0.0,0.0,0.0,2.481929712,5.78858897,0.0,0.0,0.0,1.24099042,0.0,13.65210425,0.0,9.503496322,0.0,0.824693815,0.0,4.131283764,3.306623527,13.65210425,0.0,1.24099042,0.824693815,0.824693815,0.0,0.824693815,3.722913592,7.013817694,0.0,26.39050251,19.398611078000002,0.0,0.0,40.95657223,1.24099042,7.44578458,0.0,0.0,0.0,0.0,0.0,1.24099042,2.481929712,1.24099042,7.44578458,2.065684235,0.824693815,2.8903444719999998,0.0,13.64154352,0.0,1.649354052,0.0,5.372267644,1.24099042,4.131283764,2.065684235,0.0,2.47408148,0.0,0.0,0.0,0.0,50.30976198,0.0,12.393908393,0.0,0.824693815,78.14189649,1.649354052,3.7150719,1.24099042,0.824693815,0.0,0.0,4.12342048,2.47408148,17.37384295,0.0,0.0,4.948123813,3.722913592,1.24099042,0.0,0.0,0.0,2.8903444719999998,1.24099042,0.0,0.0,31.850494765,0.025115972,0.027519328,0.053709478000000005,0.052219925,0.00197471,0.024115643,2.080704195,0.0,0.000573232,0.0,0.01222929,0.0,0.213835962,0.0,0.011446929,0.019192989,0.286737624,0.06912934,0.023995276000000003,0.013707828,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,11.27156635,0.0,1.781762191,22.54507076,0.0,0.0,0.0,0.0,7.417817545,1.781762191,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,0.0,14.834981711000001,22.54507076,0.0,0.0,5.636055354,0.0,0.0,0.0,33.84977672,0.0,0.0,0.0,0.0,0.0,0.0,1.781762191,0.0,5.636055354,0.0,1.781762191,0.0,0.0,0.0,51.67444883,0.0,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,0.0,5.636055354,0.0,0.0,7.126995139,1.781762191,0.0,11.27156635,18.691944230999997,0.0,0.0,33.84977672,0.0,1.781762191,5.636055354,0.0,1.781762191,0.0,0.0,0.0,1.781762191,3.563415361,7.126995139,0.0,0.0,7.417817545,0.0,3.563415361,3.563415361,7.126995139,0.0,0.0,1.781762191,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,0.0,0.0,0.0,3.563415361,5.636055354,7.417817545,99.78595144,0.0,0.0,0.0,0.0,1.781762191,0.0,0.0,5.636055354,16.616688688,0.0,0.0,0.0,1.781762191,0.0,0.0,0.0,13.053328541,0.0,0.0,0.0,0.0,58.79983697,0.0,0.090031378,0.023845731000000002,0.035890594,0.0,0.104260523,2.199779119,0.146045869,0.0,0.0,0.041429798,0.0,1.229626552,0.0,0.109059893,0.026534204,0.020956301,0.490390247,0.007626545,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,11.27156635,1.307597182,0.0,24.506490725000003,0.653826704,0.653826704,0.653826704,0.0,6.289882058,0.653826704,6.289882058,0.0,0.0,1.307597182,4.576606492,0.653826704,0.653826704,1.307597182,0.653826704,1.961419965,0.0,1.961419965,0.653826704,0.0,0.0,3.269037797,0.0,0.0,0.0,0.0,18.463567413,22.54507076,0.0,0.0,5.636055354,0.653826704,0.0,0.0,22.8836116,0.0,0.653826704,0.653826704,0.0,0.0,0.0,0.653826704,2.615263862,5.636055354,0.0,0.0,0.0,0.0,0.0,26.80353394,0.0,4.576606492,0.0,0.0,0.653826704,3.922888507,1.961419965,0.0,0.0,0.653826704,0.0,6.289882058,0.0,0.0,3.269037797,2.615263862,0.653826704,11.27156635,18.217779221999997,0.653826704,0.0,23.53578741,0.653826704,0.653826704,5.636055354,4.576606492,0.0,0.0,0.653826704,0.0,1.307597182,0.0,9.806871811,1.307597182,0.0,8.251319215999999,0.0,2.615263862,1.307597182,0.0,0.653826704,11.76732754,0.0,0.0,0.0,0.0,1.307597182,0.653826704,0.0,0.0,0.0,0.653826704,7.192001063,7.192001063,6.943652536,6.289882058,33.9945167,0.0,1.961419965,0.0,0.0,0.0,0.0,0.653826704,5.636055354,18.463567413,0.0,0.0,0.0,1.961419965,0.653826704,2.615263862,1.307597182,11.27156635,1.307597182,0.0,2.615263862,0.0,38.57309339,0.014628133,0.036952827,0.002849356,0.019115121,0.0,0.075482096,1.553289152,0.029020436,0.0,0.0,0.015273148,0.0,1.171965529,0.0,0.083639931,0.022361296,0.007887595,0.490390247,0.0,0.014299006,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,19.476909872,5.470234187,0.0,25.280151549000003,0.0,2.735080789,0.0,8.205343522,5.636055354,2.735080789,5.636055354,0.0,0.0,0.0,0.0,5.470234187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,28.015304947,0.0,0.0,5.636055354,0.0,0.0,0.0,21.88231712,2.735080789,2.735080789,0.0,0.0,0.0,0.0,0.0,5.470234187,16.575936394,0.0,2.735080789,0.0,2.735080789,0.0,35.55947916,0.0,2.735080789,0.0,0.0,0.0,8.205343522,0.0,8.205343522,0.0,2.735080789,0.0,8.371136143,0.0,2.735080789,8.205343522,0.0,0.0,11.27156635,30.58592173,0.0,0.0,38.29162586,0.0,0.0,5.636055354,0.0,2.735080789,0.0,0.0,2.735080789,0.0,2.735080789,2.735080789,0.0,0.0,5.636055354,0.0,13.67573969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.735080789,0.0,0.0,0.0,0.0,2.735080789,5.636055354,5.636055354,76.58897239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.371136143,19.476909872,0.0,0.0,0.0,10.93988104,0.0,0.0,0.0,11.27156635,0.0,2.735080789,0.0,0.0,27.35306412,0.0,0.01019799,0.002849356,0.036299558,0.0,0.070936991,1.348172513,0.184019895,0.091746982,0.0,0.017823093,0.0,1.8680744999999999,0.0,0.0,0.022361296,0.007887595,0.490390247,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,2.084324048,11.27156635,0.0,0.0,22.54507076,0.0,4.16856521,0.0,0.0,7.720379402,0.0,5.636055354,0.0,2.084324048,0.0,2.084324048,0.0,0.0,2.084324048,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,24.629394808,0.0,0.0,5.636055354,0.0,0.0,0.0,10.42089135,0.0,0.0,2.084324048,0.0,0.0,2.084324048,2.084324048,0.0,18.141223634,0.0,0.0,0.0,4.16856521,0.0,22.92764739,0.0,2.084324048,0.0,0.0,0.0,2.084324048,2.084324048,0.0,2.084324048,0.0,0.0,5.636055354,0.0,0.0,12.50516828,0.0,0.0,11.27156635,16.91018204,0.0,0.0,22.92764739,2.084324048,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,6.252871783,0.0,4.16856521,0.0,0.0,5.636055354,0.0,4.16856521,0.0,0.0,2.084324048,0.0,0.0,0.0,2.084324048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084324048,5.636055354,5.636055354,83.37232172,0.0,0.0,0.0,0.0,0.0,2.084324048,0.0,5.636055354,13.355890398,0.0,0.0,0.0,0.0,2.084324048,0.0,0.0,15.440131560000001,0.0,2.084324048,0.0,0.0,25.01357257,0.0,0.0,0.002849356,0.024751294,0.0,0.041904707,0.867583378,0.0,0.0,0.0,0.0,0.0,1.275511901,0.093054962,0.019073715,0.026426461,0.007887595,0.490390247,0.0,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,12.51255677,1.24099042,0.0,22.54507076,1.24099042,3.722913592,2.481929712,0.0,6.877045774,0.0,5.636055354,0.0,1.24099042,2.481929712,4.963895155,0.0,0.0,0.0,3.722913592,0.0,0.0,0.0,0.0,2.481929712,0.0,2.481929712,0.0,0.0,0.0,1.24099042,16.235461505,23.78606118,0.0,0.0,5.636055354,6.204767988,1.24099042,0.0,31.02580095,1.24099042,2.481929712,1.24099042,0.0,0.0,0.0,0.0,2.481929712,10.599950509,0.0,0.0,0.0,1.24099042,0.0,13.65210425,0.0,6.204767988,0.0,0.0,0.0,2.481929712,2.481929712,13.65210425,0.0,1.24099042,0.0,5.636055354,0.0,0.0,3.722913592,1.24099042,0.0,11.27156635,23.114950028,0.0,0.0,40.95657223,1.24099042,7.44578458,5.636055354,0.0,0.0,0.0,0.0,1.24099042,2.481929712,1.24099042,7.44578458,1.24099042,0.0,6.877045774,0.0,11.16746204,0.0,0.0,0.0,3.722913592,1.24099042,2.481929712,1.24099042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44578458,5.636055354,5.636055354,65.77286335,0.0,1.24099042,1.24099042,0.0,0.0,0.0,0.0,5.636055354,28.6454093,0.0,0.0,0.0,3.722913592,1.24099042,0.0,0.0,11.27156635,1.24099042,1.24099042,0.0,0.0,31.02580095,0.0,0.027519328,0.024997631,0.028184004,0.0,0.06602035,2.080704195,0.0,0.000573232,0.0,0.01222929,0.0,0.669395586,0.0,0.011446929,0.040574677,0.007887595,0.531481985,0.0206022,0.013707828,1.0,1.0,"[[1], [4]]"
