coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODMature1,Endothelial2,permutationTracker
0x0,0.690985953,1.381990362,14.16701094,5.767646892,1.674544901,10.312031750000001,4.066555896,3.375564374,0.0,0.664523765,5.156011273,0.0,8.292017092,0.0,0.0,0.0,11.429208873,0.690985953,0.0,1.381990362,0.664523765,6.379181812,0.0,0.34548853,1.0100122950000001,1.727470111,0.0,3.109509606,1.0100122950000001,0.34548853,1.0364793,0.0,6.458565725,7.255435717,0.664523765,0.0,0.34548853,0.664523765,0.0,0.0,11.324207523,0.0,2.711046733,0.34548853,0.0,5.182441277,0.0,1.329056371,1.727470111,21.023217066,0.0,0.0,0.0,1.0100122950000001,0.0,7.974287945,1.355509718,2.711046733,0.0,1.329056371,1.993574012,15.442922386000001,1.381990362,5.661748547,0.664523765,0.34548853,1.0364793,0.34548853,0.0,1.381990362,2.365535671,6.139576597,0.0,0.0,27.747412036,6.909881914,0.664523765,13.528672017,2.046514127,4.651711701,1.0100122950000001,2.764003339,0.664523765,1.0364793,0.34548853,0.0,2.0200423240000003,1.329056371,6.352739317,0.690985953,0.664523765,5.342697654,1.0364793,6.1130582140000005,2.0200423240000003,14.138904765,0.0,3.747512416,3.0829798100000003,1.381990362,1.329056371,0.0,1.355509718,40.77341687,3.109509606,0.34548853,0.0,0.690985953,5.023601386,6.352739317,0.34548853,1.674544901,36.597950212,0.34548853,1.993574012,0.0,0.34548853,0.690985953,15.174102435,2.737505649,4.491487508,6.086652616,0.34548853,1.0100122950000001,1.355509718,3.349123239,1.0364793,0.690985953,1.0364793,2.072981884,0.690985953,1.674544901,0.0,0.0,15.072344816,0.0,0.011069478,0.013269103,0.020750262,0.223201486,0.0,0.672283867,0.0,0.013825942,0.0,0.0,0.035893242,0.331925703,0.0,0.0,0.197628163,0.060006618,0.0,0.0,0.075526214,1.0,1.0,"[[0], [0]]"
1x1,0.0,2.599813489,1.299905543,2.658137286,1.329056371,2.628961914,3.2934795550000002,3.2934795550000002,0.0,0.664523765,8.464064377,0.0,10.39987266,1.299905543,0.0,0.0,9.274193488,1.299905543,0.0,5.199690368,1.964429308,5.9516172439999995,0.0,0.0,0.664523765,0.0,1.299905543,0.0,5.864214133,0.0,0.0,0.0,2.658137286,0.0,0.664523765,0.0,0.0,0.664523765,0.0,0.0,10.63322157,0.0,3.9288698600000003,0.0,0.0,0.0,0.0,1.329056371,0.0,11.267212529,0.0,0.0,0.0,5.864214133,0.0,7.974287945,1.964429308,1.329056371,1.299905543,1.329056371,1.993574012,6.557955864,1.299905543,5.316260017,0.664523765,0.0,0.0,2.599813489,0.0,0.0,7.828689174,4.5933875010000005,0.0,0.0,11.180406854000001,0.0,0.664523765,7.309789068,1.964429308,5.9516172439999995,0.664523765,0.0,0.664523765,0.0,0.0,0.0,3.9288698600000003,1.329056371,5.316260017,0.0,0.664523765,4.651711701,0.0,2.658137286,1.329056371,74.75761801499999,0.0,2.628961914,3.264337254,0.0,1.329056371,0.0,0.664523765,22.0993628,2.599813489,0.0,0.0,0.0,3.987122086,5.316260017,0.0,3.9288698600000003,50.8156507,0.0,1.993574012,0.0,0.0,0.0,0.664523765,1.964429308,0.0,4.6225548199999995,0.0,0.664523765,0.664523765,2.658137286,0.0,0.0,0.0,5.199690368,1.299905543,1.329056371,0.0,0.0,11.96283521,0.0,0.055109146,0.005541733,0.0,0.223201486,0.032209852,0.672283867,0.119185307,0.013825942,0.0,0.0,0.035893242,0.717789722,0.0,0.0,0.197628163,0.041223593,0.0,0.0,0.075526214,1.0,1.0,"[[0], [1]]"
2x2,0.0,3.883261708,2.588888782,5.247026068,1.329056371,1.329056371,5.87683572,4.5824627940000005,1.294457406,0.664523765,3.253412547,0.0,15.53484012,0.0,0.0,0.0,9.268745351,0.0,1.294457406,10.35533628,0.664523765,4.651711701,0.0,0.0,0.664523765,0.0,0.0,1.294457406,0.664523765,0.0,0.0,0.0,2.658137286,0.0,0.664523765,0.0,0.0,3.253412547,0.0,0.0,10.63322157,0.0,12.979332341,0.0,0.0,1.294457406,0.0,3.9179451530000002,1.294457406,19.027353761,0.0,1.294457406,1.294457406,1.958981171,0.0,7.974287945,0.664523765,9.095632327,0.0,1.329056371,1.993574012,18.192977406,0.0,7.905148799000001,0.664523765,0.0,3.883261708,0.0,0.0,2.588888782,3.9179451530000002,4.5824627940000005,0.0,0.0,12.452942507,29.77513736,0.664523765,8.604246474,0.664523765,4.651711701,0.664523765,2.588888782,1.958981171,0.0,0.0,0.0,2.6235137770000003,3.9179451530000002,5.316260017,0.0,0.664523765,4.651711701,0.0,5.247026068,2.6235137770000003,39.493578555,3.883261708,3.9179451530000002,0.664523765,1.294457406,5.212318079,0.0,0.664523765,62.13933449,0.0,0.0,0.0,1.294457406,3.987122086,5.316260017,0.0,1.329056371,35.21595985,0.0,1.993574012,0.0,0.0,0.0,0.664523765,0.664523765,0.0,9.794875298000001,0.0,0.664523765,0.664523765,6.541398994,1.294457406,0.0,1.294457406,2.588888782,0.0,1.329056371,0.0,0.0,17.140580525,0.0,0.036690703000000005,0.0,0.032535518,0.223201486,0.019981277,0.672283867,0.13991377,0.013825942,0.0,0.0,0.035893242,1.015672636,0.0,0.0,0.197628163,0.041223593,0.0,0.0,0.075526214,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,0.841280696,5.182008273,1.329056371,3.852927358,4.517444999,2.834854708,0.0,0.664523765,4.029682087,0.0,21.03433764,0.0,0.0,0.841280696,9.656851376,0.841280696,0.0,0.841280696,0.664523765,4.651711701,0.0,0.0,0.664523765,0.0,0.841280696,0.0,0.664523765,0.0,0.0,0.0,5.182008273,2.523870987,0.664523765,0.0,0.0,1.5058044609999999,0.0,0.0,10.63322157,0.0,4.694214693,0.0,0.0,0.0,0.841280696,1.329056371,0.0,10.808587682,0.841280696,0.0,0.841280696,0.664523765,0.0,7.974287945,0.664523765,3.852927358,0.0,1.329056371,1.993574012,9.388324286,0.841280696,5.316260017,0.664523765,0.841280696,0.0,0.0,0.0,0.0,3.852927358,5.358732334,0.0,0.841280696,16.917848585999998,0.841280696,0.664523765,9.833660055,0.664523765,4.651711701,0.664523765,0.0,0.664523765,0.0,0.0,0.0,1.329056371,2.170337067,5.316260017,0.0,0.664523765,5.492992397,0.0,3.499417982,1.329056371,38.524273565,0.0,9.741881707,1.5058044609999999,0.0,1.329056371,0.0,0.664523765,15.14358557,3.365158322,0.0,0.0,0.841280696,4.8284027819999995,7.840131004,0.841280696,2.170337067,37.739830837,0.0,2.834854708,0.0,0.0,0.0,2.347087196,0.664523765,0.841280696,3.322649277,0.0,0.664523765,0.664523765,2.658137286,0.0,0.841280696,1.682563431,0.0,0.0,2.170337067,0.0,0.0,12.804115906,0.0,0.04460641,0.037253717,0.052063612,0.223201486,0.051233035,0.672283867,0.157436037,0.013825942,0.0,0.0,0.035893242,1.105086761,0.0,0.0,0.197628163,0.041223593,0.0,0.009163188,0.075526214,1.0,1.0,"[[0], [3]]"
4x4,0.628845904,1.886556084,4.401943034,5.80242597,1.329056371,6.988684822,2.622419916,3.251293595,0.0,0.664523765,3.179966274,0.0,18.86552285,0.628845904,0.0,0.0,9.232007528,0.628845904,0.628845904,1.886556084,0.664523765,9.053654735,0.628845904,0.0,0.664523765,0.628845904,0.0,0.0,3.8088124490000004,0.0,0.0,0.0,4.54469337,6.288530911,0.664523765,0.628845904,1.886556084,0.664523765,0.0,1.257719583,11.262067474,0.628845904,1.957902275,0.0,0.0,22.63741608,0.628845904,1.957902275,0.628845904,16.884659828,0.0,0.0,0.0,2.5510798489999997,0.0,8.603133849,0.664523765,5.730999405,0.0,1.329056371,3.251293595,12.719280106000001,2.515442509,9.089354156,0.664523765,0.0,2.515442509,0.0,0.0,6.288530911,6.359926829,1.993574012,0.0,0.0,24.846239336000004,28.9295371,1.922243348,16.113714513999998,1.293369669,5.280557605,0.664523765,5.659628451,1.922243348,0.0,0.0,0.0,1.329056371,1.957902275,5.316260017,0.628845904,1.293369669,7.16715421,0.0,3.915856869,2.586775954,13.241404405,1.886556084,6.359926829,0.664523765,1.886556084,2.586775954,0.0,0.664523765,84.90135215,8.803925446,0.0,0.628845904,0.0,4.61596799,6.5739796,0.628845904,1.957902275,37.102515933999996,0.628845904,1.993574012,0.0,0.0,0.628845904,4.437617904,3.179966274,1.257719583,4.58036886,0.0,0.664523765,0.664523765,2.658137286,0.628845904,0.0,0.628845904,3.773094139,0.0,2.586775954,0.0,0.0,14.478277719,0.0,0.030884254,0.0,0.048559308,0.223201486,0.0,0.672283867,0.032514121,0.013825942,0.0,0.0,0.035893242,0.768682994,0.0,0.028612979,0.206646596,0.041223593,0.0,0.0,0.075526214,1.0,1.0,"[[0], [4]]"
5x5,0.690985953,1.381990362,15.624321234,3.109509606,0.34548853,8.982975379,2.072981884,1.381990362,0.0,0.0,5.948797802,2.914713648,8.292017092,0.0,0.0,0.0,4.912231222,0.690985953,1.457310294,1.381990362,4.372049429,1.727470111,0.0,0.34548853,0.34548853,1.727470111,0.0,3.109509606,0.34548853,0.34548853,1.0364793,0.0,3.800428439,13.084795614,0.0,0.0,0.34548853,0.0,0.0,0.0,10.893100263000001,2.914713648,4.29670401,0.34548853,0.0,5.182441277,0.0,0.0,1.727470111,25.62990397,0.0,0.0,0.0,1.802798824,0.0,7.286669155,0.690985953,1.381990362,0.0,0.0,0.0,14.242095394,2.839300656,7.632157685,0.0,0.34548853,1.0364793,0.34548853,0.0,1.381990362,8.323148455,4.146002585,0.0,0.0,26.138744979000002,6.909881914,0.0,30.993961649000003,1.381990362,0.0,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,0.690985953,1.457310294,1.0364793,0.690985953,0.0,2.148296247,1.0364793,6.369634576,0.690985953,13.474381,0.0,6.790505474,2.418456045,1.381990362,1.457310294,0.0,0.690985953,40.77341687,4.5668199000000005,0.34548853,0.0,0.690985953,1.0364793,5.4085287289999995,0.34548853,0.34548853,46.556256312,0.34548853,1.457310294,0.0,0.34548853,0.690985953,15.966888963999999,2.072981884,4.491487508,5.678716987,0.34548853,0.34548853,0.690985953,2.148296247,1.0364793,2.148296247,1.0364793,2.072981884,2.148296247,0.34548853,0.0,0.0,19.138935226,0.0,0.0,0.038670725,0.020750262,0.0,0.0,1.446639596,0.0,0.031706104,0.0,0.034158248,0.0,0.331925703,0.0,0.0,0.060679072,0.126452021,0.001517518,0.015233641,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,2.599813489,2.757215837,0.0,0.0,1.299905543,1.299905543,1.299905543,0.0,0.0,9.256850906,2.914713648,10.39987266,1.299905543,0.0,0.0,2.757215837,1.299905543,1.457310294,5.199690368,5.671954972,1.299905543,0.0,0.0,0.0,0.0,1.299905543,0.0,5.199690368,0.0,0.0,0.0,0.0,5.829359897,0.0,0.0,0.0,0.0,0.0,0.0,10.20211431,2.914713648,5.514527137,0.0,0.0,0.0,0.0,0.0,0.0,15.873899433,0.0,0.0,0.0,6.657000662,0.0,7.286669155,1.299905543,0.0,1.299905543,0.0,0.0,5.3571288720000005,2.757215837,7.286669155,0.0,0.0,0.0,2.599813489,0.0,0.0,13.786301958,2.599813489,0.0,0.0,9.571739797,0.0,0.0,24.7750787,1.299905543,1.299905543,0.0,0.0,0.0,0.0,0.0,0.0,2.599813489,1.457310294,0.0,0.0,0.0,1.457310294,0.0,2.914713648,0.0,74.09309425,0.0,5.671954972,2.599813489,0.0,1.457310294,0.0,0.0,22.0993628,4.057123783,0.0,0.0,0.0,0.0,4.372049429,0.0,2.599813489,60.7739568,0.0,1.457310294,0.0,0.0,0.0,1.457310294,1.299905543,0.0,4.214619191000001,0.0,0.0,0.0,1.457310294,0.0,1.457310294,0.0,5.199690368,2.757215837,0.0,0.0,0.0,16.02942562,0.0,0.044039668,0.030943355,0.0,0.0,0.032209852,1.446639596,0.119185307,0.031706104,0.0,0.034158248,0.0,0.717789722,0.0,0.0,0.060679072,0.107668996,0.001517518,0.015233641,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,3.883261708,4.046199076000001,2.588888782,0.0,0.0,3.883261708,2.588888782,1.294457406,0.0,4.046199076000001,2.914713648,15.53484012,0.0,0.0,0.0,2.7517677000000003,0.0,2.7517677000000003,10.35533628,4.372049429,0.0,0.0,0.0,0.0,0.0,0.0,1.294457406,0.0,0.0,0.0,0.0,0.0,5.829359897,0.0,0.0,0.0,2.588888782,0.0,0.0,10.20211431,2.914713648,14.564989617999998,0.0,0.0,1.294457406,0.0,2.588888782,1.294457406,23.634040665,0.0,1.294457406,1.294457406,2.7517677000000003,0.0,7.286669155,0.0,7.766575956,0.0,0.0,0.0,16.992150414,1.457310294,9.875557937,0.0,0.0,3.883261708,0.0,0.0,2.588888782,9.875557937,2.588888782,0.0,0.0,10.84427545,29.77513736,0.0,26.069536106,0.0,0.0,0.0,2.588888782,1.294457406,0.0,0.0,0.0,1.294457406,4.046199076000001,0.0,0.0,0.0,1.457310294,0.0,5.503602430000001,1.294457406,38.82905479,3.883261708,6.960938211,0.0,1.294457406,5.340572002,0.0,0.0,62.13933449,1.457310294,0.0,0.0,1.294457406,0.0,4.372049429,0.0,0.0,45.17426595,0.0,1.457310294,0.0,0.0,0.0,1.457310294,0.0,0.0,9.386939669,0.0,0.0,0.0,5.340572002,1.294457406,1.457310294,1.294457406,2.588888782,1.457310294,0.0,0.0,0.0,21.207170935,0.0,0.025621225,0.025401622,0.032535518,0.0,0.019981277,1.446639596,0.13991377,0.031706104,0.0,0.034158248,0.0,1.015672636,0.0,0.0,0.060679072,0.107668996,0.001517518,0.015233641,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,2.29859099,2.523870987,0.0,2.523870987,2.523870987,0.841280696,0.0,0.0,4.822468616,2.914713648,21.03433764,0.0,0.0,0.841280696,3.139873725,0.841280696,1.457310294,0.841280696,4.372049429,0.0,0.0,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,0.0,0.0,2.523870987,8.353230884,0.0,0.0,0.0,0.841280696,0.0,0.0,10.20211431,2.914713648,6.27987197,0.0,0.0,0.0,0.841280696,0.0,0.0,15.415274586,0.841280696,0.0,0.841280696,1.457310294,0.0,7.286669155,0.0,2.523870987,0.0,0.0,0.0,8.187497294,2.29859099,7.286669155,0.0,0.841280696,0.0,0.0,0.0,0.0,9.810540142,3.365158322,0.0,0.841280696,15.309181529,0.841280696,0.0,27.298949687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29859099,0.0,0.0,0.0,2.29859099,0.0,3.7559943440000003,0.0,37.8597498,0.0,12.784874764999998,0.841280696,0.0,1.457310294,0.0,0.0,15.14358557,4.822468616,0.0,0.0,0.841280696,0.841280696,6.895920415999999,0.841280696,0.841280696,47.698136937,0.0,2.29859099,0.0,0.0,0.0,3.139873725,0.0,0.841280696,2.914713648,0.0,0.0,0.0,1.457310294,0.0,2.29859099,1.682563431,0.0,1.457310294,0.841280696,0.0,0.0,16.870706316,0.0,0.033536932,0.062655339,0.052063612,0.0,0.051233035,1.446639596,0.157436037,0.031706104,0.0,0.034158248,0.0,1.105086761,0.0,0.0,0.060679072,0.107668996,0.001517518,0.024396829,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.628845904,1.886556084,5.859253328,3.144288684,0.0,5.659628451,0.628845904,1.257719583,0.0,0.0,3.972752803,2.914713648,18.86552285,0.628845904,0.0,0.0,2.715029877,0.628845904,2.086156198,1.886556084,4.372049429,4.401943034,0.628845904,0.0,0.0,0.628845904,0.0,0.0,3.144288684,0.0,0.0,0.0,1.886556084,12.117890807999999,0.0,0.628845904,1.886556084,0.0,0.0,1.257719583,10.830960214000001,3.543559552,3.543559552,0.0,0.0,22.63741608,0.628845904,0.628845904,0.628845904,21.491346732,0.0,0.0,0.0,3.343866378,0.0,7.9155150590000005,0.0,4.401943034,0.0,0.0,1.257719583,11.518453114,3.972752803,11.059763294,0.0,0.0,2.515442509,0.0,0.0,6.288530911,12.317539613000001,0.0,0.0,0.0,23.237572279000002,28.9295371,1.257719583,33.579004146,0.628845904,0.628845904,0.0,5.659628451,1.257719583,0.0,0.0,0.0,0.0,2.086156198,0.0,0.628845904,0.628845904,3.972752803,0.0,4.172433231,1.257719583,12.57688064,1.886556084,9.402919887,0.0,1.886556084,2.715029877,0.0,0.0,84.90135215,10.26123574,0.0,0.628845904,0.0,0.628845904,5.629769012,0.628845904,0.628845904,47.060822034,0.628845904,1.457310294,0.0,0.0,0.628845904,5.230404433,2.515442509,1.257719583,4.172433231,0.0,0.0,0.0,1.457310294,0.628845904,1.457310294,0.628845904,3.773094139,1.457310294,1.257719583,0.0,0.0,18.544868129,0.0,0.019814776,0.025401622,0.048559308,0.0,0.0,1.446639596,0.032514121,0.031706104,0.0,0.034158248,0.0,0.768682994,0.0,0.028612979,0.06969750499999999,0.107668996,0.001517518,0.015233641,0.0,1.0,1.0,"[[1], [4]]"
