coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODMature1,Endothelial3,ODMature1cells,Endothelial3cells
0x0,1.448612149,2.897265563,1.448612149,2.658137286,1.329056371,1.329056371,1.993574012,1.993574012,0.0,0.664523765,3.5617893279999997,0.0,0.0,0.0,0.0,1.448612149,7.974287945,0.0,0.0,1.448612149,0.664523765,4.651711701,0.0,0.0,0.664523765,0.0,0.0,0.0,0.664523765,0.0,0.0,0.0,2.658137286,0.0,0.664523765,0.0,1.448612149,0.664523765,0.0,0.0,10.63322157,0.0,5.674946147,0.0,0.0,10.14037987,0.0,1.329056371,0.0,9.967306986,0.0,0.0,0.0,0.664523765,0.0,7.974287945,0.664523765,2.7776685199999998,0.0,1.329056371,1.993574012,8.452676352,1.448612149,6.764872166,0.664523765,0.0,0.0,0.0,0.0,0.0,1.329056371,1.993574012,0.0,0.0,11.775255552,15.93557709,0.664523765,21.794389388,0.664523765,4.651711701,0.664523765,0.0,0.664523765,1.448612149,0.0,0.0,1.329056371,1.329056371,6.764872166,0.0,0.664523765,8.997601477,0.0,5.555402849,1.329056371,0.664523765,0.0,1.329056371,2.113135914,0.0,1.329056371,0.0,0.664523765,123.1366439,0.0,0.0,0.0,1.448612149,8.333011862,5.316260017,0.0,1.329056371,35.21595985,1.448612149,1.993574012,0.0,0.0,0.0,0.664523765,0.664523765,0.0,3.322649277,0.0,0.664523765,0.664523765,2.658137286,0.0,0.0,0.0,0.0,0.0,2.7776685199999998,0.0,0.0,16.308724986,0.008201873,0.011069478,0.025257606,0.038211894,0.223201486,0.0,0.672283867,0.0,0.013825942,0.0,0.0,0.035893242,0.187189372,0.0,0.0,0.197628163,0.260221612,0.0,0.0,0.075526214,1.0,1.0,[0],[0]
1x1,2.032145239,0.677374359,1.354778164,4.690282525000001,1.329056371,3.36120161,4.025719251,2.670948371,0.0,0.664523765,1.341898124,1.354778164,0.0,0.677374359,0.0,6.096431255,13.393326733,0.677374359,1.354778164,0.677374359,4.051446647,7.361251202,0.0,0.0,0.664523765,0.0,0.0,2.709539501,1.341898124,0.0,0.0,1.354778164,3.335511645,2.709539501,0.664523765,0.0,2.032145239,1.341898124,0.0,0.677374359,11.310595929,0.0,2.00643073,0.677374359,0.0,19.64429232,0.0,2.00643073,0.677374359,11.322085150000001,0.0,0.677374359,0.0,6.083562553,0.677374359,8.651662304,3.3740632660000003,6.748095159,0.0,2.00643073,2.670948371,12.819057406,0.0,8.025799518,1.341898124,0.0,4.06430671,0.0,0.0,1.354778164,2.683834535,6.735267439,0.0,0.0,11.399755274,0.0,0.664523765,16.115746418,2.019301929,5.32908606,0.664523765,0.0,0.664523765,0.677374359,0.0,0.0,1.329056371,2.683834535,5.316260017,0.677374359,2.019301929,6.68385694,0.0,3.335511645,4.715979253,0.664523765,0.0,2.00643073,0.664523765,0.677374359,2.683834535,1.354778164,0.664523765,42.67169015,0.0,0.0,0.0,0.0,8.051428796,6.671038181,0.0,2.683834535,39.28026656,1.354778164,3.348352176,0.0,0.0,0.0,22.342275684999997,0.664523765,0.0,3.322649277,0.0,2.019301929,0.664523765,2.658137286,0.0,0.677374359,0.0,0.0,0.677374359,1.329056371,0.0,0.677374359,11.96283521,0.08281185,0.011069478,0.0,0.0,0.223201486,0.0,0.672283867,0.0,0.013825942,0.0,0.0,0.035893242,0.0,0.0,0.0,0.197628163,0.09406268000000001,0.246967114,0.0,0.075526214,1.0,1.0,[0],[1]
2x2,12.91874249,12.91874249,0.0,2.658137286,1.329056371,2.621032024,1.993574012,1.993574012,0.0,0.664523765,1.956499418,1.291975653,0.0,0.0,0.0,0.0,9.266263598,0.0,0.0,0.0,1.956499418,4.651711701,0.0,0.0,0.664523765,0.0,2.583933973,0.0,0.664523765,0.0,0.0,0.0,7.8260752920000005,0.0,0.664523765,0.0,0.0,0.664523765,0.0,0.0,10.63322157,1.291975653,2.621032024,0.0,0.0,0.0,0.0,1.329056371,0.0,9.967306986,0.0,0.0,0.0,0.664523765,0.0,7.974287945,1.956499418,1.329056371,0.0,1.329056371,1.993574012,10.409989995,3.875958493,5.316260017,0.664523765,0.0,0.0,0.0,0.0,1.291975653,1.329056371,1.993574012,0.0,0.0,11.148654492,0.0,0.664523765,7.309789068,0.664523765,5.943687354,0.664523765,0.0,0.664523765,0.0,0.0,0.0,1.329056371,1.329056371,5.316260017,0.0,0.664523765,4.651711701,0.0,2.658137286,1.329056371,0.664523765,0.0,1.329056371,1.956499418,0.0,1.329056371,0.0,0.664523765,25.84108084,0.0,0.0,0.0,0.0,5.279097739,5.316260017,0.0,1.329056371,37.799893823,0.0,3.285549665,0.0,0.0,0.0,0.664523765,0.664523765,0.0,3.322649277,0.0,0.664523765,0.664523765,3.9501129390000003,2.583933973,0.0,1.291975653,0.0,0.0,5.205014864000001,0.0,0.0,13.254810863,0.021712484,0.011069478,0.013472806,0.014077858,0.223201486,0.0,0.672283867,0.0,0.013825942,0.0,0.0,0.035893242,0.111754766,0.0,0.0,0.197628163,0.090860276,0.052916666,0.0,0.075526214,1.0,1.0,[0],[2]
3x3,5.100283239,7.650475889,1.275097431,3.9332347170000004,2.604153802,1.329056371,1.993574012,1.993574012,0.0,0.664523765,8.314999654,0.0,1.275097431,0.0,0.0,0.0,10.524464895000001,1.275097431,0.0,2.55017695,3.214700715,7.201888651,1.275097431,0.0,0.664523765,0.0,0.0,0.0,0.664523765,0.0,0.0,0.0,5.208314236,3.825252007,0.664523765,0.0,0.0,0.664523765,0.0,0.0,10.63322157,0.0,7.704361627,0.0,0.0,6.375305256,0.0,1.329056371,0.0,11.242404417000001,0.0,0.0,0.0,0.664523765,0.0,7.974287945,0.664523765,1.329056371,0.0,1.329056371,1.993574012,7.758420525,0.0,5.316260017,0.664523765,0.0,1.275097431,0.0,0.0,1.275097431,1.329056371,1.993574012,0.0,0.0,20.005215516,14.02449903,0.664523765,16.235234362,0.664523765,4.651711701,0.664523765,2.55017695,0.664523765,0.0,0.0,0.0,1.329056371,1.329056371,5.316260017,0.0,0.664523765,7.201888651,0.0,2.658137286,1.329056371,5.764807004000001,0.0,1.329056371,1.939621196,0.0,1.329056371,0.0,0.664523765,113.4721922,3.825252007,0.0,0.0,0.0,6.537299036,5.316260017,0.0,1.329056371,35.21595985,0.0,3.268671443,0.0,0.0,0.0,0.664523765,0.664523765,0.0,3.322649277,0.0,1.939621196,0.664523765,2.658137286,0.0,0.0,0.0,0.0,0.0,1.329056371,1.275097431,0.0,13.237932641,0.0,0.01944269,0.023082604,0.035435379,0.223201486,0.005364625,0.672283867,0.0,0.013825942,0.0,0.021680725,0.035893242,0.281297563,0.0,0.0,0.22892337199999999,0.106918769,0.006533653,0.0,0.075526214,1.0,1.0,[0],[3]
4x4,4.746454866,0.0,0.0,2.658137286,1.329056371,1.329056371,4.366835437,1.993574012,0.0,3.03778519,7.784224072,0.0,0.0,0.0,0.0,0.0,7.974287945,0.0,0.0,0.0,0.664523765,9.398166567,0.0,0.0,0.664523765,0.0,0.0,0.0,0.664523765,0.0,0.0,0.0,5.031398711,0.0,0.664523765,0.0,0.0,0.664523765,0.0,0.0,13.006482994999999,0.0,3.702317796,0.0,0.0,33.22157552,0.0,1.329056371,0.0,9.967306986,0.0,2.373261425,0.0,0.664523765,0.0,7.974287945,3.03778519,1.329056371,0.0,1.329056371,4.366835437,19.269785415999998,0.0,14.809267921,0.664523765,0.0,7.119700307,0.0,0.0,0.0,3.702317796,1.993574012,0.0,0.0,10.727171352,0.0,3.03778519,19.174499048,0.664523765,4.651711701,0.664523765,0.0,0.664523765,0.0,0.0,0.0,1.329056371,1.329056371,5.316260017,0.0,0.664523765,4.651711701,0.0,2.658137286,1.329056371,0.664523765,0.0,1.329056371,7.784224072,0.0,1.329056371,0.0,0.664523765,23.73432141,0.0,0.0,0.0,0.0,8.733576952,5.316260017,0.0,1.329056371,42.335660157,0.0,1.993574012,0.0,0.0,0.0,33.886099285,3.03778519,0.0,3.322649277,0.0,0.664523765,0.664523765,7.404592151999999,0.0,0.0,0.0,0.0,0.0,1.329056371,0.0,0.0,14.336096635,0.0,0.031101956,0.015588326,0.01945392,0.223201486,0.004387271,0.683598288,0.0,0.013825942,0.0,0.0,0.035893242,0.0,0.006760343,0.0,0.225568717,0.14400897299999998,0.017149055,0.0,0.075526214,1.0,1.0,[0],[4]
5x5,1.448612149,2.897265563,2.9059224429999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.354575857,2.914713648,0.0,0.0,0.0,1.448612149,1.457310294,0.0,1.457310294,1.448612149,4.372049429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.829359897,0.0,0.0,1.448612149,0.0,0.0,0.0,10.20211431,2.914713648,7.260603424,0.0,0.0,10.14037987,0.0,0.0,0.0,14.57399389,0.0,0.0,0.0,1.457310294,0.0,7.286669155,0.0,1.448612149,0.0,0.0,0.0,7.25184936,2.9059224429999997,8.735281304,0.0,0.0,0.0,0.0,0.0,0.0,7.286669155,0.0,0.0,0.0,10.166588495,15.93557709,0.0,39.25967902,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,1.457310294,1.448612149,0.0,0.0,5.80320007,0.0,5.811979211000001,0.0,0.0,0.0,4.372049429,1.448612149,0.0,1.457310294,0.0,0.0,123.1366439,1.457310294,0.0,0.0,1.448612149,4.345889776,4.372049429,0.0,0.0,45.17426595,1.448612149,1.457310294,0.0,0.0,0.0,1.457310294,0.0,0.0,2.914713648,0.0,0.0,0.0,1.457310294,0.0,1.457310294,0.0,0.0,1.457310294,1.448612149,0.0,0.0,20.375315396,0.008201873,0.0,0.050659228,0.038211894,0.0,0.0,1.446639596,0.0,0.031706104,0.0,0.034158248,0.0,0.187189372,0.0,0.0,0.060679072,0.326667015,0.001517518,0.015233641,0.0,1.0,1.0,[1],[0]
6x6,2.032145239,0.677374359,2.812088458,2.032145239,0.0,2.032145239,2.032145239,0.677374359,0.0,0.0,2.134684653,4.269491812,0.0,0.677374359,0.0,6.096431255,6.876349082,0.677374359,2.812088458,0.677374359,7.758972310999999,2.709539501,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,0.677374359,8.538899398,0.0,0.0,2.032145239,0.677374359,0.0,0.677374359,10.879488669,2.914713648,3.592088007,0.677374359,0.0,19.64429232,0.0,0.677374359,0.677374359,15.928772054000001,0.0,0.677374359,0.0,6.876349082,0.677374359,7.964043514,2.709539501,5.419038788,0.0,0.677374359,0.677374359,11.618230414,1.457310294,9.996208656,0.677374359,0.0,4.06430671,0.0,0.0,1.354778164,8.641447319000001,4.741693427,0.0,0.0,9.791088216999999,0.0,0.0,33.58103605,1.354778164,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,0.0,2.812088458,0.0,0.677374359,1.354778164,3.489455533,0.0,3.592088007,3.386922882,0.0,0.0,5.0494237879999995,0.0,0.677374359,2.812088458,1.354778164,0.0,42.67169015,1.457310294,0.0,0.0,0.0,4.06430671,5.726827592999999,0.0,1.354778164,49.23857266,1.354778164,2.812088458,0.0,0.0,0.0,23.135062213999998,0.0,0.0,2.914713648,0.0,1.354778164,0.0,1.457310294,0.0,2.134684653,0.0,0.0,2.134684653,0.0,0.0,0.677374359,16.02942562,0.08281185,0.0,0.025401622,0.0,0.0,0.0,1.446639596,0.0,0.031706104,0.0,0.034158248,0.0,0.0,0.0,0.0,0.060679072,0.160508083,0.24848463199999998,0.015233641,0.0,1.0,1.0,[1],[1]
7x7,12.91874249,12.91874249,1.457310294,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,2.7492859469999997,4.206689301,0.0,0.0,0.0,0.0,2.7492859469999997,0.0,1.457310294,0.0,5.664025081999999,0.0,0.0,0.0,0.0,0.0,2.583933973,0.0,0.0,0.0,0.0,0.0,5.167938006,5.829359897,0.0,0.0,0.0,0.0,0.0,0.0,10.20211431,4.206689301,4.206689301,0.0,0.0,0.0,0.0,0.0,0.0,14.57399389,0.0,0.0,0.0,1.457310294,0.0,7.286669155,1.291975653,0.0,0.0,0.0,0.0,9.209163003,5.333268787,7.286669155,0.0,0.0,0.0,0.0,0.0,1.291975653,7.286669155,0.0,0.0,0.0,9.539987435,0.0,0.0,24.7750787,0.0,1.291975653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457310294,0.0,0.0,0.0,1.457310294,0.0,2.914713648,0.0,0.0,0.0,4.372049429,1.291975653,0.0,1.457310294,0.0,0.0,25.84108084,1.457310294,0.0,0.0,0.0,1.291975653,4.372049429,0.0,0.0,47.758199923,0.0,2.7492859469999997,0.0,0.0,0.0,1.457310294,0.0,0.0,2.914713648,0.0,0.0,0.0,2.7492859469999997,2.583933973,1.457310294,1.291975653,0.0,1.457310294,3.875958493,0.0,0.0,17.321401273000003,0.021712484,0.0,0.038874428,0.014077858,0.0,0.0,1.446639596,0.0,0.031706104,0.0,0.034158248,0.0,0.111754766,0.0,0.0,0.060679072,0.157305679,0.054434184000000004,0.015233641,0.0,1.0,1.0,[1],[2]
8x8,5.100283239,7.650475889,2.732407725,1.275097431,1.275097431,0.0,0.0,0.0,0.0,0.0,9.107786183,2.914713648,1.275097431,0.0,0.0,0.0,4.007487244,1.275097431,1.457310294,2.55017695,6.922226379,2.55017695,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55017695,9.654611904,0.0,0.0,0.0,0.0,0.0,0.0,10.20211431,2.914713648,9.290018904,0.0,0.0,6.375305256,0.0,0.0,0.0,15.849091321000001,0.0,0.0,0.0,1.457310294,0.0,7.286669155,0.0,0.0,0.0,0.0,0.0,6.557593533,1.457310294,7.286669155,0.0,0.0,1.275097431,0.0,0.0,1.275097431,7.286669155,0.0,0.0,0.0,18.396548458999998,14.02449903,0.0,33.700523994,0.0,0.0,0.0,2.55017695,0.0,0.0,0.0,0.0,0.0,1.457310294,0.0,0.0,0.0,4.007487244,0.0,2.914713648,0.0,5.100283239,0.0,4.372049429,1.275097431,0.0,1.457310294,0.0,0.0,113.4721922,5.2825623010000005,0.0,0.0,0.0,2.55017695,4.372049429,0.0,0.0,45.17426595,0.0,2.732407725,0.0,0.0,0.0,1.457310294,0.0,0.0,2.914713648,0.0,1.275097431,0.0,1.457310294,0.0,1.457310294,0.0,0.0,1.457310294,0.0,1.275097431,0.0,17.304523051,0.0,0.008373212,0.048484226,0.035435379,0.0,0.005364625,1.446639596,0.0,0.031706104,0.0,0.055838973,0.0,0.281297563,0.0,0.0,0.09197428099999999,0.17336417199999998,0.008051171000000001,0.015233641,0.0,1.0,1.0,[1],[3]
9x9,4.746454866,0.0,1.457310294,0.0,0.0,0.0,2.373261425,0.0,0.0,2.373261425,8.577010601,2.914713648,0.0,0.0,0.0,0.0,1.457310294,0.0,1.457310294,0.0,4.372049429,4.746454866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,5.829359897,0.0,0.0,0.0,0.0,0.0,0.0,12.575375735000001,2.914713648,5.287975073,0.0,0.0,33.22157552,0.0,0.0,0.0,14.57399389,0.0,2.373261425,0.0,1.457310294,0.0,7.286669155,2.373261425,0.0,0.0,0.0,2.373261425,18.068958423999998,1.457310294,16.779677059,0.0,0.0,7.119700307,0.0,0.0,0.0,9.659930580000001,0.0,0.0,0.0,9.118504295,0.0,2.373261425,36.63978868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457310294,0.0,0.0,0.0,1.457310294,0.0,2.914713648,0.0,0.0,0.0,4.372049429,7.119700307,0.0,1.457310294,0.0,0.0,23.73432141,1.457310294,0.0,0.0,0.0,4.746454866,4.372049429,0.0,0.0,52.293966257,0.0,1.457310294,0.0,0.0,0.0,34.678885814000004,2.373261425,0.0,2.914713648,0.0,0.0,0.0,6.20376516,0.0,1.457310294,0.0,0.0,1.457310294,0.0,0.0,0.0,18.402687045,0.0,0.020032478,0.040989948,0.01945392,0.0,0.004387271,1.457954017,0.0,0.031706104,0.0,0.034158248,0.0,0.0,0.006760343,0.0,0.088619626,0.210454376,0.018666573,0.015233641,0.0,1.0,1.0,[1],[4]
