coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODMature1,Ependymal,ODMature1 Ependymal
0x0,0.0,6.362579546,0.0,2.658137286,1.329056371,14.053665981,8.356153558,14.718183622,0.0,0.664523765,13.389133375,0.0,0.0,0.0,0.0,0.0,7.974287945,0.0,0.0,19.08630255,7.027103311,11.014291247,0.0,0.0,0.664523765,0.0,0.0,0.0,0.664523765,0.0,0.0,0.0,2.658137286,12.72460961,0.664523765,0.0,6.362579546,0.664523765,0.0,0.0,10.63322157,0.0,1.329056371,0.0,0.0,0.0,0.0,1.329056371,0.0,9.967306986,0.0,0.0,0.0,0.664523765,0.0,7.974287945,0.664523765,1.329056371,12.72460961,1.329056371,1.993574012,2.658137286,0.0,5.316260017,0.664523765,0.0,0.0,0.0,0.0,0.0,14.053665981,1.993574012,0.0,0.0,114.14988438600001,0.0,0.664523765,13.672368614,0.664523765,4.651711701,0.664523765,0.0,0.664523765,0.0,0.0,0.0,1.329056371,1.329056371,5.316260017,0.0,0.664523765,4.651711701,0.0,2.658137286,1.329056371,0.664523765,0.0,20.415358921,0.664523765,6.362579546,1.329056371,0.0,0.664523765,0.0,0.0,6.362579546,0.0,0.0,10.349701632,11.678839563,0.0,1.329056371,35.21595985,0.0,1.993574012,0.0,0.0,0.0,0.664523765,0.664523765,0.0,9.685228823,0.0,0.664523765,0.664523765,2.658137286,0.0,0.0,0.0,0.0,6.362579546,1.329056371,0.0,0.0,18.325414756,0.0,0.138988705,0.0,0.042797545,0.223201486,0.144848449,0.672283867,1.628028072,0.013825942,0.0,0.028340641,0.035893242,1.390451848,0.0,0.0722153,0.197628163,0.049162014000000004,0.0,0.034115386,0.075526214,1.0,1.0,"[[0], [0]]"
1x1,0.274911387,0.41237493,2.886511884,3.620322506,2.566128566,28.267357881,3.2306462070000004,2.818309843,0.0,1.076898695,5.887813203,0.137454413,0.0,0.137454413,0.137454413,0.41237493,10.998306735,1.237072195,7.422480225,0.824735831,30.489304784999998,8.363003461,0.41237493,0.274911387,1.214339265,0.687252188,0.41237493,0.687252188,3.276126723,0.137454413,0.5498155,0.137454413,4.170139397,0.41237493,0.664523765,0.137454413,6.185384288,1.90159596,0.41237493,0.5498155,10.908132957,0.137454413,1.466510784,0.41237493,0.274911387,1.649476062,0.687252188,1.466510784,0.0,11.616783048,0.0,0.274911387,0.0,3.0012455749999996,2.061822428,8.111742358,1.076898695,3.2534107490000004,0.824735831,2.841058482,1.993574012,10.355548419,4.810854485,8.202771901,0.664523765,0.0,0.41237493,0.41237493,0.0,0.274911387,7.376960697,5.292500315,0.41237493,0.687252188,63.164237586,0.0,1.214339265,11.158541383,0.9394351519999999,4.651711701,0.664523765,1.099616611,4.375815525,0.0,0.5498155,0.41237493,2.291241591,1.878871871,5.316260017,0.41237493,0.8019781779999999,5.613896921,0.0,4.719959714,1.878871871,0.664523765,0.5498155,4.902886174000001,1.214339265,3.02401879,1.466510784,0.137454413,1.351775953,0.137454413,3.298926303,0.0,0.0,0.0,3.987122086,7.790421491,0.41237493,1.603967758,36.315576461,0.5498155,2.405948942,0.137454413,0.137454413,0.5498155,1.764140376,6.4376629460000006,3.848752315,6.759042161,0.0,1.076898695,0.664523765,3.757753897,0.824735831,0.0,0.274911387,2.199263417,3.573829803,3.8032178450000003,0.137454413,0.274911387,19.522761008,0.0,0.154284704,0.02337782,0.058341924,0.223201486,0.138245652,0.672283867,1.373558828,0.013825942,0.0,0.018011772,0.035893242,1.528715671,0.0,0.084820791,0.197628163,0.041223593,0.0,0.034255883,0.075526214,1.0,1.0,"[[0], [1]]"
2x2,0.38640463,0.38640463,0.772801049,5.7494247949999995,1.715461001,37.260815971,2.379978642,11.26663816,0.0,1.4373248140000001,6.074257663,0.0,0.0,0.38640463,1.545599049,0.38640463,11.451936465,1.932040737,3.091287509,1.159235441,35.056107725,6.19731075,1.159235441,0.38640463,1.0509283950000001,1.545599049,0.772801049,1.932040737,4.915015752,0.38640463,0.38640463,0.0,5.362981919,1.545599049,0.664523765,0.0,5.796103746,1.4373248140000001,0.0,0.38640463,11.0196262,0.0,2.10185742,0.0,0.0,0.38640463,0.38640463,2.10185742,0.38640463,11.126542427,0.38640463,0.772801049,0.0,2.210122814,0.38640463,9.133523386,1.0509283950000001,4.806704891,0.772801049,1.715461001,3.152809453,7.6813749520000005,4.250491987,7.634669685,0.664523765,1.159235441,0.0,0.38640463,0.0,0.38640463,5.965952083,4.698418645,0.38640463,0.38640463,33.418778696,0.0,0.664523765,10.014633701,0.664523765,5.038116331,1.0509283950000001,0.772801049,3.755811274,0.38640463,0.772801049,0.0,4.0339010040000005,1.715461001,5.316260017,1.159235441,0.664523765,6.19731075,0.0,6.1357858059999995,2.10185742,0.664523765,1.545599049,2.87465542,1.823759206,1.545599049,2.10185742,0.0,2.9829334330000004,0.38640463,4.636895712,0.772801049,0.0,0.772801049,4.373526716,8.793908537,0.38640463,1.715461001,35.988760899,0.0,2.379978642,0.38640463,0.0,0.0,1.4373248140000001,4.528595822,6.56885177,6.0274939100000005,0.0,1.823759206,0.664523765,9.999941643,0.38640463,0.772801049,0.0,1.932040737,1.932040737,1.715461001,0.0,0.0,15.826907267,0.0,0.045387281,0.0,0.070168097,0.223201486,0.043316318,0.672283867,0.581248039,0.013825942,0.0,0.067692028,0.035893242,0.545859432,0.0,0.070020258,0.238118377,0.17066056400000001,0.184977216,0.012632589,0.092497521,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,0.851356265,4.360850718,2.180412636,40.489638561,2.844930277,1.993574012,2.55410292,0.664523765,4.921306163000001,0.851356265,0.0,0.0,0.851356265,0.0,10.528390865,3.405447195,11.0670191,0.851356265,39.825105955,8.057158896,0.851356265,0.0,0.664523765,0.0,0.851356265,0.0,4.921306163000001,0.0,1.702713432,0.0,3.5094935510000003,0.851356265,0.664523765,0.0,4.256782398,4.06997096,0.0,0.851356265,10.63322157,1.702713432,1.329056371,0.0,0.0,2.55410292,0.0,1.329056371,0.0,12.521409906,0.851356265,0.0,0.0,4.921306163000001,0.851356265,7.974287945,0.664523765,3.883159291,2.55410292,2.180412636,2.844930277,10.320373051,1.702713432,7.018973449000001,0.664523765,2.55410292,0.851356265,1.702713432,0.851356265,0.0,6.43721068,2.844930277,0.0,0.0,70.685955586,0.0,2.3672371969999997,11.566571466,1.51588003,5.503067966,0.664523765,4.256782398,2.3672371969999997,0.0,0.851356265,1.702713432,3.031769803,1.329056371,5.316260017,0.0,1.51588003,4.651711701,1.702713432,3.5094935510000003,1.329056371,0.664523765,0.851356265,5.585838769,0.664523765,1.702713432,1.329056371,0.851356265,2.3672371969999997,0.0,2.55410292,0.0,0.0,0.0,3.987122086,7.870362937,0.0,1.329056371,35.21595985,0.0,1.993574012,0.0,0.0,1.702713432,0.664523765,7.475404382,9.365732568,5.0253627089999995,0.0,1.51588003,0.664523765,6.0635844809999995,0.851356265,0.0,0.0,1.702713432,5.108154309,3.883159291,0.851356265,2.55410292,18.773715827,0.0,0.10492257299999999,0.0,0.07204743,0.223201486,0.108339982,0.672283867,1.022320573,0.013825942,0.0,0.047362451,0.035893242,1.135157912,0.0,0.077556373,0.1992332,0.041223593,0.0,0.010256608,0.075526214,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,0.92774684,4.513623054,3.1845421390000004,39.368174621,4.776867214,2.921320852,0.0,1.592270605,9.942319924,0.0,0.92774684,0.0,0.0,0.0,11.685362747000001,1.855485768,7.422092365,0.0,42.410968515,4.651711701,0.0,0.92774684,0.664523765,0.0,0.92774684,0.0,0.664523765,0.0,0.0,0.92774684,2.658137286,0.0,0.664523765,0.0,3.711074802,1.592270605,0.92774684,0.0,10.63322157,2.783293202,1.329056371,0.0,0.0,0.0,1.855485768,2.2568032110000003,0.0,9.967306986,0.0,1.855485768,0.0,1.592270605,0.0,7.974287945,0.664523765,2.2568032110000003,0.92774684,1.329056371,1.993574012,11.007887317,2.783293202,5.316260017,0.664523765,0.92774684,0.0,0.92774684,0.92774684,0.0,8.751148736000001,7.560165509,0.0,0.0,62.577734616,0.0,0.664523765,11.02086387,0.664523765,4.651711701,1.592270605,0.92774684,4.375598567,0.92774684,0.92774684,0.0,6.895647868,2.2568032110000003,5.316260017,1.855485768,0.664523765,4.651711701,0.0,3.585884126,2.2568032110000003,0.664523765,0.0,7.823337836,0.664523765,2.783293202,1.329056371,0.0,2.520009533,0.0,1.855485768,0.0,0.0,0.0,3.987122086,6.2440068570000005,0.0,1.329056371,36.143706689999995,0.92774684,1.993574012,0.0,0.0,0.0,1.592270605,10.869217755000001,5.566591497,4.250396117,0.0,0.664523765,0.664523765,3.585884126,0.0,0.0,0.0,2.783293202,0.92774684,5.967899334,0.0,0.0,19.384927575,0.0,0.136456753,0.034191586,0.075404873,0.223201486,0.129892172,0.672283867,1.185848208,0.013825942,0.0,0.019527161,0.035893242,1.140079959,0.0,0.051228194,0.197628163,0.041223593,0.023021592,0.054721988,0.075526214,1.0,1.0,"[[0], [4]]"
5x5,0.0,6.362579546,1.457310294,0.0,0.0,12.72460961,6.362579546,12.72460961,0.0,0.0,14.181919904,2.914713648,0.0,0.0,0.0,0.0,1.457310294,0.0,1.457310294,19.08630255,10.734628975,6.362579546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.553969506999998,0.0,0.0,6.362579546,0.0,0.0,0.0,10.20211431,2.914713648,2.914713648,0.0,0.0,0.0,0.0,0.0,0.0,14.57399389,0.0,0.0,0.0,1.457310294,0.0,7.286669155,0.0,0.0,12.72460961,0.0,0.0,1.457310294,1.457310294,7.286669155,0.0,0.0,0.0,0.0,0.0,0.0,20.011278765,0.0,0.0,0.0,112.541217329,0.0,0.0,31.137658246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457310294,0.0,0.0,0.0,1.457310294,0.0,2.914713648,0.0,0.0,0.0,23.458351979,0.0,6.362579546,1.457310294,0.0,0.0,0.0,1.457310294,6.362579546,0.0,0.0,6.362579546,10.734628975,0.0,0.0,45.17426595,0.0,1.457310294,0.0,0.0,0.0,1.457310294,0.0,0.0,9.277293194,0.0,0.0,0.0,1.457310294,0.0,1.457310294,0.0,0.0,7.81988984,0.0,0.0,0.0,22.392005166,0.0,0.127919227,0.025401622,0.042797545,0.0,0.144848449,1.446639596,1.628028072,0.031706104,0.0,0.062498889,0.0,1.390451848,0.0,0.0722153,0.060679072,0.115607417,0.001517518,0.049349027,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.274911387,0.41237493,4.343822178,0.96218522,1.237072195,26.93830151,1.237072195,0.824735831,0.0,0.41237493,6.680599732,3.052168061,0.0,0.137454413,0.137454413,0.41237493,4.481329084,1.237072195,8.879790519,0.824735831,34.196830449,3.71129176,0.41237493,0.274911387,0.5498155,0.687252188,0.41237493,0.687252188,2.611602958,0.137454413,0.5498155,0.137454413,1.512002111,6.241734827,0.0,0.137454413,6.185384288,1.237072195,0.41237493,0.5498155,10.477025697,3.052168061,3.052168061,0.41237493,0.274911387,1.649476062,0.687252188,0.137454413,0.0,16.223469952000002,0.0,0.274911387,0.0,3.794032104,2.061822428,7.424123568000001,0.41237493,1.924354378,0.824735831,1.512002111,0.0,9.154721427,6.268164779,10.173181039,0.0,0.0,0.41237493,0.41237493,0.0,0.274911387,13.334573481,3.298926303,0.41237493,0.687252188,61.555570529,0.0,0.5498155,28.623831015,0.274911387,0.0,0.0,1.099616611,3.71129176,0.0,0.5498155,0.41237493,0.96218522,2.0071257940000002,0.0,0.41237493,0.137454413,2.419495514,0.0,4.976536076,0.5498155,0.0,0.5498155,7.945879231999999,0.5498155,3.02401879,1.594764707,0.137454413,0.687252188,0.137454413,4.756236597,0.0,0.0,0.0,0.0,6.846210902999999,0.41237493,0.274911387,46.273882561,0.5498155,1.869685224,0.137454413,0.137454413,0.5498155,2.556926905,5.773139181,3.848752315,6.351106532,0.0,0.41237493,0.0,2.556926905,0.824735831,1.457310294,0.274911387,2.199263417,5.031140097,2.474161474,0.137454413,0.274911387,23.589351418,0.0,0.143215226,0.048779442,0.058341924,0.0,0.138245652,1.446639596,1.373558828,0.031706104,0.0,0.05217002,0.0,1.528715671,0.0,0.084820791,0.060679072,0.107668996,0.001517518,0.049489524,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.38640463,0.38640463,2.230111343,3.091287509,0.38640463,35.9317596,0.38640463,9.273064148,0.0,0.772801049,6.867044192,2.914713648,0.0,0.38640463,1.545599049,0.38640463,4.934958814,1.932040737,4.548597803,1.159235441,38.763633389,1.545599049,1.159235441,0.38640463,0.38640463,1.545599049,0.772801049,1.932040737,4.250491987,0.38640463,0.38640463,0.0,2.704844633,7.374958946,0.0,0.0,5.796103746,0.772801049,0.0,0.38640463,10.58851894,2.914713648,3.687514697,0.0,0.0,0.38640463,0.38640463,0.772801049,0.38640463,15.733229331,0.38640463,0.772801049,0.0,3.002909343,0.38640463,8.445904596,0.38640463,3.47764852,0.772801049,0.38640463,1.159235441,6.48054796,5.707802281,9.605078823,0.0,1.159235441,0.0,0.38640463,0.0,0.38640463,11.923564867,2.704844633,0.38640463,0.38640463,31.810111639,0.0,0.0,27.479923333000002,0.0,0.38640463,0.38640463,0.772801049,3.091287509,0.38640463,0.772801049,0.0,2.704844633,1.843714924,0.0,1.159235441,0.0,3.002909343,0.0,6.392362168,0.772801049,0.0,1.545599049,5.917648477999999,1.159235441,1.545599049,2.230111343,0.0,2.318409668,0.38640463,6.094206006,0.772801049,0.0,0.772801049,0.38640463,7.849697948999999,0.38640463,0.38640463,45.947066999,0.0,1.843714924,0.38640463,0.0,0.0,2.230111343,3.864072057,6.56885177,5.619558281,0.0,1.159235441,0.0,8.799114651,0.38640463,2.230111343,0.0,1.932040737,3.389351031,0.38640463,0.0,0.0,19.893497677000003,0.0,0.034317803,0.025401622,0.070168097,0.0,0.043316318,1.446639596,0.581248039,0.031706104,0.0,0.101850276,0.0,0.545859432,0.0,0.070020258,0.101169286,0.23710596700000003,0.186494734,0.02786623,0.016971307,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,2.3086665589999997,1.702713432,0.851356265,39.16058219,0.851356265,0.0,2.55410292,0.0,5.714092692,3.766069913,0.0,0.0,0.851356265,0.0,4.011413214,3.405447195,12.524329393999999,0.851356265,43.532631619,3.405447195,0.851356265,0.0,0.0,0.0,0.851356265,0.0,4.256782398,0.0,1.702713432,0.0,0.851356265,6.6807161619999995,0.0,0.0,4.256782398,3.405447195,0.0,0.851356265,10.20211431,4.617427080000001,2.914713648,0.0,0.0,2.55410292,0.0,0.0,0.0,17.128096810000002,0.851356265,0.0,0.0,5.714092692,0.851356265,7.286669155,0.0,2.55410292,2.55410292,0.851356265,0.851356265,9.119546059000001,3.160023726,8.989382587,0.0,2.55410292,0.851356265,1.702713432,0.851356265,0.0,12.394823464,0.851356265,0.0,0.0,69.077288529,0.0,1.702713432,29.031861098,0.851356265,0.851356265,0.0,4.256782398,1.702713432,0.0,0.851356265,1.702713432,1.702713432,1.457310294,0.0,0.0,0.851356265,1.457310294,1.702713432,3.766069913,0.0,0.0,0.851356265,8.628831826999999,0.0,1.702713432,1.457310294,0.851356265,1.702713432,0.0,4.011413214,0.0,0.0,0.0,0.0,6.926152349,0.0,0.0,45.17426595,0.0,1.457310294,0.0,0.0,1.702713432,1.457310294,6.810880617,9.365732568,4.617427080000001,0.0,0.851356265,0.0,4.862757489,0.851356265,1.457310294,0.0,1.702713432,6.565464603,2.55410292,0.851356265,2.55410292,22.840306237,0.0,0.093853095,0.025401622,0.07204743,0.0,0.108339982,1.446639596,1.022320573,0.031706104,0.0,0.081520699,0.0,1.135157912,0.0,0.077556373,0.062284109,0.107668996,0.001517518,0.025490249,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,2.385057134,1.855485768,1.855485768,38.03911825,2.783293202,0.92774684,0.0,0.92774684,10.735106453,2.914713648,0.92774684,0.0,0.0,0.0,5.168385096,1.855485768,8.879402659,0.0,46.118494179,0.0,0.0,0.92774684,0.0,0.0,0.92774684,0.0,0.0,0.0,0.0,0.92774684,0.0,5.829359897,0.0,0.0,3.711074802,0.92774684,0.92774684,0.0,10.20211431,5.6980068500000005,2.914713648,0.0,0.0,0.0,1.855485768,0.92774684,0.0,14.57399389,0.0,1.855485768,0.0,2.385057134,0.0,7.286669155,0.0,0.92774684,0.92774684,0.0,0.0,9.807060324999998,4.240603496,7.286669155,0.0,0.92774684,0.0,0.92774684,0.92774684,0.0,14.70876152,5.566591497,0.0,0.0,60.969067559,0.0,0.0,28.486153502,0.0,0.0,0.92774684,0.92774684,3.711074802,0.92774684,0.92774684,0.0,5.566591497,2.385057134,0.0,1.855485768,0.0,1.457310294,0.0,3.8424604880000004,0.92774684,0.0,0.0,10.866330894,0.0,2.783293202,1.457310294,0.0,1.855485768,0.0,3.3127960620000003,0.0,0.0,0.0,0.0,5.299796269,0.0,0.0,46.102012789999996,0.92774684,1.457310294,0.0,0.0,0.0,2.385057134,10.20469399,5.566591497,3.8424604880000004,0.0,0.0,0.0,2.385057134,0.0,1.457310294,0.0,2.783293202,2.385057134,4.638842963,0.0,0.0,23.451517985000002,0.0,0.125387275,0.059593208,0.075404873,0.0,0.129892172,1.446639596,1.185848208,0.031706104,0.0,0.053685409,0.0,1.140079959,0.0,0.051228194,0.060679072,0.107668996,0.02453911,0.06995562899999999,0.0,1.0,1.0,"[[1], [4]]"
