coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODMature2,Endothelial3,ODMature2cells
0x0,1.448612149,2.897265563,1.448612149,0.0,0.0,2.463139613,0.0,2.463139613,0.0,0.0,2.897265563,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,1.448612149,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,27.09312166,0.0,4.345889776,2.463139613,0.0,10.14037987,0.0,4.926250432,0.0,4.926250432,0.0,0.0,0.0,0.0,0.0,22.16861112,2.463139613,1.448612149,0.0,0.0,0.0,5.794539066,1.448612149,1.448612149,0.0,2.463139613,0.0,0.0,0.0,0.0,7.389382581,0.0,0.0,0.0,5.794539066,15.93557709,0.0,46.50634385,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,2.463139613,0.0,1.448612149,0.0,0.0,4.345889776,0.0,5.360405176,4.926250432,0.0,0.0,4.926250432,3.9117517619999997,0.0,0.0,0.0,0.0,123.1366439,0.0,0.0,0.0,1.448612149,4.345889776,2.463139613,0.0,0.0,29.55624616,1.448612149,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,9.851755496,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,2.463139613,1.448612149,0.0,0.0,36.367633306,0.014151885,0.020191263,0.028760432,0.047159932,0.0,0.017684828,1.063478746,0.0,0.0,0.0,0.023007694,0.0,0.187189372,0.0,0.0,0.006769616,0.35428589499999996,0.002089427,0.0,0.0,1.0,1.0,[0]
1x1,2.032145239,0.677374359,1.354778164,2.032145239,0.0,4.495284852,2.032145239,3.140513972,0.0,0.0,0.677374359,1.354778164,0.0,0.677374359,0.0,6.096431255,5.419038788,0.677374359,1.354778164,0.677374359,3.386922882,2.709539501,2.463139613,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,0.677374359,2.709539501,0.0,0.0,2.032145239,0.677374359,0.0,0.677374359,27.770496019000003,0.0,0.677374359,3.140513972,0.0,19.64429232,0.0,5.603624791,0.677374359,6.281028596,0.0,0.677374359,0.0,5.419038788,0.677374359,22.845985479000003,5.172679114,5.419038788,0.0,0.677374359,0.677374359,10.16092012,0.0,2.709539501,0.677374359,2.463139613,4.06430671,0.0,0.0,1.354778164,8.744160745,4.741693427,0.0,0.0,5.419038788,0.0,0.0,40.82770088,1.354778164,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,2.463139613,1.354778164,0.0,0.677374359,1.354778164,2.032145239,0.0,3.140513972,8.313173314,0.0,0.0,5.603624791,2.463139613,0.677374359,1.354778164,1.354778164,0.0,42.67169015,0.0,0.0,0.0,0.0,4.06430671,3.817917777,0.0,1.354778164,33.62055287,1.354778164,1.354778164,0.0,0.0,0.0,21.67775192,2.463139613,0.0,9.851755496,0.0,1.354778164,0.0,0.0,2.463139613,0.677374359,0.0,0.0,3.140513972,0.0,0.0,0.677374359,32.02174353,0.08876186200000001,0.020191263,0.003502826,0.008948038,0.0,0.017684828,1.063478746,0.0,0.0,0.0,0.023007694,0.0,0.0,0.0,0.0,0.006769616,0.188126963,0.249056541,0.0,0.0,1.0,1.0,[1]
2x2,12.91874249,12.91874249,0.0,0.0,0.0,3.755115266,0.0,2.463139613,0.0,0.0,1.291975653,1.291975653,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,1.291975653,0.0,2.463139613,0.0,0.0,0.0,2.583933973,0.0,0.0,0.0,0.0,0.0,5.167938006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.09312166,1.291975653,1.291975653,2.463139613,0.0,0.0,0.0,4.926250432,0.0,4.926250432,0.0,0.0,0.0,0.0,0.0,22.16861112,3.755115266,0.0,0.0,0.0,0.0,7.751852709,3.875958493,0.0,0.0,2.463139613,0.0,0.0,0.0,1.291975653,7.389382581,0.0,0.0,0.0,5.167938006,0.0,0.0,32.02174353,0.0,1.291975653,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,4.926250432,0.0,0.0,4.926250432,3.755115266,0.0,0.0,0.0,0.0,25.84108084,0.0,0.0,0.0,0.0,1.291975653,2.463139613,0.0,0.0,32.140180133,0.0,1.291975653,0.0,0.0,0.0,0.0,2.463139613,0.0,9.851755496,0.0,0.0,0.0,1.291975653,5.047073586,0.0,1.291975653,0.0,2.463139613,3.875958493,0.0,0.0,33.313719183,0.027662496,0.020191263,0.016975632,0.023025896,0.0,0.017684828,1.063478746,0.0,0.0,0.0,0.023007694,0.0,0.111754766,0.0,0.0,0.006769616,0.184924559,0.055006093,0.0,0.0,1.0,1.0,[2]
3x3,5.100283239,7.650475889,1.275097431,1.275097431,1.275097431,2.463139613,0.0,2.463139613,0.0,0.0,7.650475889,0.0,1.275097431,0.0,0.0,0.0,2.55017695,1.275097431,0.0,2.55017695,2.55017695,2.55017695,3.738237044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55017695,3.825252007,0.0,0.0,0.0,0.0,0.0,0.0,27.09312166,0.0,6.375305256,2.463139613,0.0,6.375305256,0.0,4.926250432,0.0,6.201347863,0.0,0.0,0.0,0.0,0.0,22.16861112,2.463139613,0.0,0.0,0.0,0.0,5.100283239,0.0,0.0,0.0,2.463139613,1.275097431,0.0,0.0,1.275097431,7.389382581,0.0,0.0,0.0,14.02449903,14.02449903,0.0,40.947188824,0.0,0.0,0.0,2.55017695,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,2.55017695,0.0,2.463139613,4.926250432,5.100283239,0.0,4.926250432,3.738237044,0.0,0.0,0.0,0.0,113.4721922,3.825252007,0.0,0.0,0.0,2.55017695,2.463139613,0.0,0.0,29.55624616,0.0,1.275097431,0.0,0.0,0.0,0.0,2.463139613,0.0,9.851755496,0.0,1.275097431,0.0,0.0,2.463139613,0.0,0.0,0.0,2.463139613,0.0,1.275097431,0.0,33.296840961,0.005950012,0.028564475,0.02658543,0.044383417,0.0,0.023049452999999998,1.063478746,0.0,0.0,0.0,0.044688419,0.0,0.281297563,0.0,0.0,0.038064825,0.200983052,0.00862308,0.0,0.0,1.0,1.0,[3]
4x4,4.746454866,0.0,0.0,0.0,0.0,2.463139613,2.373261425,2.463139613,0.0,2.373261425,7.119700307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.746454866,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.466383085,0.0,2.373261425,2.463139613,0.0,33.22157552,0.0,4.926250432,0.0,4.926250432,0.0,2.373261425,0.0,0.0,0.0,22.16861112,4.836401038,0.0,0.0,0.0,2.373261425,16.61164813,0.0,9.493007904,0.0,2.463139613,7.119700307,0.0,0.0,0.0,9.762644005999999,0.0,0.0,0.0,4.746454866,0.0,2.373261425,43.88645351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,4.926250432,0.0,0.0,4.926250432,9.58283992,0.0,0.0,0.0,0.0,23.73432141,0.0,0.0,0.0,0.0,4.746454866,2.463139613,0.0,0.0,36.675946467,0.0,0.0,0.0,0.0,0.0,33.22157552,4.836401038,0.0,9.851755496,0.0,0.0,0.0,4.746454866,2.463139613,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,34.395004955000005,0.005950012,0.040223741,0.019091152,0.028401957999999998,0.0,0.022072098999999998,1.074793167,0.0,0.0,0.0,0.023007694,0.0,0.0,0.006760343,0.0,0.03471017,0.238073256,0.019238482,0.0,0.0,1.0,1.0,[4]
5x5,1.448612149,2.897265563,4.781226162,0.833158429,0.0,3.332614013,0.0,0.0,0.0,0.0,3.730423992,0.0,0.833158429,0.0,0.0,1.448612149,0.833158429,0.0,1.666306062,1.448612149,0.0,0.0,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,1.666306062,5.832033701,0.0,0.0,1.448612149,0.0,0.0,0.0,18.32858226,0.833158429,4.345889776,0.0,0.0,10.14037987,1.666306062,0.0,0.0,0.0,0.0,0.0,0.0,0.833158429,0.0,8.331468621,1.666306062,1.448612149,0.0,0.833158429,0.0,5.794539066,1.448612149,3.114918211,0.0,0.0,0.0,0.0,0.0,0.0,4.165709745,0.833158429,0.0,0.0,15.792191746,15.93557709,0.0,31.981545099999998,0.0,0.0,0.0,0.833158429,0.0,1.448612149,0.0,0.0,0.833158429,0.0,3.9480638189999997,0.0,0.0,4.345889776,0.0,2.897265563,0.0,0.0,0.833158429,0.833158429,1.448612149,0.0,0.0,0.833158429,0.0,123.1366439,0.0,0.0,0.0,1.448612149,4.345889776,6.665138386,0.0,0.0,49.15335611,1.448612149,0.0,0.0,0.833158429,0.0,0.833158429,0.0,0.0,2.49945167,0.0,0.0,0.0,0.0,1.666306062,1.666306062,0.0,0.0,0.0,1.448612149,0.833158429,0.0,34.341486376,0.033464201,0.0,0.099902551,0.061877237,0.0,0.0,1.187509763,0.0,0.001753042,0.0,0.017918014,0.0,0.187189372,0.0,0.0,0.025996785,0.5269746959999999,0.003530092,0.016707202,0.0,1.0,1.0,[0]
6x6,2.032145239,0.677374359,4.687392177,2.865303668,0.0,5.364759252000001,2.032145239,0.677374359,0.0,0.0,1.510532788,1.354778164,0.833158429,0.677374359,0.0,6.096431255,6.252197217,0.677374359,3.021084226,0.677374359,3.386922882,2.709539501,0.833158429,0.0,0.0,0.833158429,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,2.343680421,8.541573202,0.0,0.0,2.032145239,0.677374359,0.0,0.677374359,19.005956619000003,0.833158429,0.677374359,0.677374359,0.0,19.64429232,1.666306062,0.677374359,0.677374359,1.354778164,0.0,0.677374359,0.0,6.252197217,0.677374359,9.00884298,4.375845563,5.419038788,0.0,1.510532788,0.677374359,10.16092012,0.0,4.375845563,0.677374359,0.0,4.06430671,0.0,0.0,1.354778164,5.520487909,5.574851856,0.0,0.0,15.416691468,0.0,0.0,26.30290213,1.354778164,0.677374359,0.0,0.833158429,0.0,0.677374359,0.0,0.0,0.833158429,1.354778164,2.49945167,0.677374359,1.354778164,2.032145239,0.0,0.677374359,3.386922882,0.0,0.833158429,1.510532788,0.0,0.677374359,1.354778164,2.187936593,0.0,42.67169015,0.0,0.0,0.0,0.0,4.06430671,8.01991655,0.0,1.354778164,53.21766282,1.354778164,1.354778164,0.0,0.833158429,0.0,22.510910349,0.0,0.0,2.49945167,0.0,1.354778164,0.0,0.0,1.666306062,2.343680421,0.0,0.0,0.677374359,0.0,0.833158429,0.677374359,29.9955966,0.108074178,0.0,0.074644945,0.023665343,0.0,0.0,1.187509763,0.0,0.001753042,0.0,0.017918014,0.0,0.0,0.0,0.0,0.025996785,0.360815764,0.250497206,0.016707202,0.0,1.0,1.0,[1]
7x7,12.91874249,12.91874249,3.332614013,0.833158429,0.0,4.624589666,0.0,0.0,0.0,0.0,2.1251340819999998,1.291975653,0.833158429,0.0,0.0,0.0,2.1251340819999998,0.0,1.666306062,0.0,1.291975653,0.0,0.833158429,0.0,0.0,0.833158429,2.583933973,0.0,0.0,0.0,0.0,0.0,6.834244068,5.832033701,0.0,0.0,0.0,0.0,0.0,0.0,18.32858226,2.1251340819999998,1.291975653,0.0,0.0,0.0,1.666306062,0.0,0.0,0.0,0.0,0.0,0.0,0.833158429,0.0,8.331468621,2.958281715,0.0,0.0,0.833158429,0.0,7.751852709,3.875958493,1.666306062,0.0,0.0,0.0,0.0,0.0,1.291975653,4.165709745,0.833158429,0.0,0.0,15.165590686,0.0,0.0,17.49694478,0.0,1.291975653,0.0,0.833158429,0.0,0.0,0.0,0.0,0.833158429,0.0,2.49945167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833158429,0.833158429,1.291975653,0.0,0.0,0.833158429,0.0,25.84108084,0.0,0.0,0.0,0.0,1.291975653,6.665138386,0.0,0.0,51.737290083,0.0,1.291975653,0.0,0.833158429,0.0,0.833158429,0.0,0.0,2.49945167,0.0,0.0,0.0,1.291975653,4.250240035,1.666306062,1.291975653,0.0,0.0,3.875958493,0.833158429,0.0,31.287572253,0.046974812000000005,0.0,0.08811775100000001,0.037743201,0.0,0.0,1.187509763,0.0,0.001753042,0.0,0.017918014,0.0,0.111754766,0.0,0.0,0.025996785,0.35761336,0.056446758,0.016707202,0.0,1.0,1.0,[2]
8x8,5.100283239,7.650475889,4.607711444,2.10825586,1.275097431,3.332614013,0.0,0.0,0.0,0.0,8.483634318,0.0,2.10825586,0.0,0.0,0.0,3.383335379,1.275097431,1.666306062,2.55017695,2.55017695,2.55017695,2.10825586,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,4.216483012,9.657285708,0.0,0.0,0.0,0.0,0.0,0.0,18.32858226,0.833158429,6.375305256,0.0,0.0,6.375305256,1.666306062,0.0,0.0,1.275097431,0.0,0.0,0.0,0.833158429,0.0,8.331468621,1.666306062,0.0,0.0,0.833158429,0.0,5.100283239,0.0,1.666306062,0.0,0.0,1.275097431,0.0,0.0,1.275097431,4.165709745,0.833158429,0.0,0.0,24.02215171,14.02449903,0.0,26.422390074,0.0,0.0,0.0,3.383335379,0.0,0.0,0.0,0.0,0.833158429,0.0,2.49945167,0.0,0.0,2.55017695,0.0,0.0,0.0,5.100283239,0.833158429,0.833158429,1.275097431,0.0,0.0,0.833158429,0.0,113.4721922,3.825252007,0.0,0.0,0.0,2.55017695,6.665138386,0.0,0.0,49.15335611,0.0,1.275097431,0.0,0.833158429,0.0,0.833158429,0.0,0.0,2.49945167,0.0,1.275097431,0.0,0.0,1.666306062,1.666306062,0.0,0.0,0.0,0.0,2.10825586,0.0,31.270694030999998,0.025262328,0.008373212,0.097727549,0.059100722,0.0,0.005364625,1.187509763,0.0,0.001753042,0.0,0.039598739,0.0,0.281297563,0.0,0.0,0.057291994,0.37367185299999994,0.010063745,0.016707202,0.0,1.0,1.0,[3]
9x9,4.746454866,0.0,3.332614013,0.833158429,0.0,3.332614013,2.373261425,0.0,0.0,2.373261425,7.952858736,0.0,0.833158429,0.0,0.0,0.0,0.833158429,0.0,1.666306062,0.0,0.0,4.746454866,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,4.039567487,5.832033701,0.0,0.0,0.0,0.0,0.0,0.0,20.701843685,0.833158429,2.373261425,0.0,0.0,33.22157552,1.666306062,0.0,0.0,0.0,0.0,2.373261425,0.0,0.833158429,0.0,8.331468621,4.039567487,0.0,0.0,0.833158429,2.373261425,16.61164813,0.0,11.159313966000001,0.0,0.0,7.119700307,0.0,0.0,0.0,6.53897117,0.833158429,0.0,0.0,14.744107545999999,0.0,2.373261425,29.36165476,0.0,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.833158429,0.0,2.49945167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833158429,0.833158429,7.119700307,0.0,0.0,0.833158429,0.0,23.73432141,0.0,0.0,0.0,0.0,4.746454866,6.665138386,0.0,0.0,56.273056417,0.0,0.0,0.0,0.833158429,0.0,34.054733949,2.373261425,0.0,2.49945167,0.0,0.0,0.0,4.746454866,1.666306062,1.666306062,0.0,0.0,0.0,0.0,0.833158429,0.0,32.368858025,0.025262328,0.020032478,0.090233271,0.043119263,0.0,0.004387271,1.198824184,0.0,0.001753042,0.0,0.017918014,0.0,0.0,0.006760343,0.0,0.053937339,0.41076205699999996,0.020679147,0.016707202,0.0,1.0,1.0,[4]
