coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,ODMature2,ODMature4,ODMature2 ODMature4
0x0,0.0,0.0,0.0,2.840696592,0.0,2.463139613,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36232054,0.0,0.0,0.0,0.0,14.20197451,2.463139613,0.0,0.0,0.0,0.0,5.681438881,0.0,2.840696592,0.0,0.0,5.681438881,0.0,0.0,0.0,0.0,2.840696592,0.0,0.0,27.09312166,5.681438881,0.0,2.463139613,2.840696592,0.0,2.840696592,10.607689313,2.840696592,101.515055432,2.840696592,0.0,0.0,2.840696592,2.840696592,22.16861112,5.303836205,0.0,0.0,0.0,0.0,0.0,11.36232054,2.840696592,2.840696592,2.463139613,0.0,0.0,0.0,0.0,7.389382581,31.24779319,0.0,0.0,5.681438881,0.0,0.0,32.02174353,0.0,8.522259222,0.0,2.840696592,2.840696592,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,11.36232054,0.0,13.825460153000002,4.926250432,8.522259222,0.0,4.926250432,8.144578494000001,0.0,0.0,0.0,2.840696592,2.840696592,0.0,0.0,2.840696592,0.0,0.0,10.985398835000002,0.0,0.0,29.55624616,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,9.851755496,0.0,2.840696592,0.0,19.88334196,2.463139613,0.0,0.0,0.0,5.303836205,2.840696592,0.0,0.0,32.02174353,0.005950012,0.020191263,0.003502826,0.029670096,0.0,0.017684828,1.115525401,0.0,0.0,0.0,0.023007694,0.014365337,0.0,0.0,0.0,0.013599738,0.408380494,0.002089427,0.0,0.223626855,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,0.0,0.0,0.0,4.310746273,0.615883328,4.310746273,0.0,0.0,0.615883328,0.0,0.615883328,0.0,0.615883328,0.0,1.231772901,0.0,0.0,0.0,0.0,0.615883328,3.6949125140000003,0.615883328,0.0,0.0,1.231772901,0.0,0.0,0.0,0.615883328,0.0,2.463538344,0.615883328,0.0,0.0,0.615883328,0.0,0.0,0.615883328,47.418659840000004,0.0,2.463538344,3.6949125140000003,0.0,1.231772901,1.231772901,5.54213376,0.0,4.926250432,0.0,1.231772901,0.0,0.0,0.0,39.411768300000006,2.463139613,0.0,0.0,0.0,0.0,4.927069231,0.615883328,0.615883328,0.0,3.6949125140000003,0.0,0.615883328,0.0,0.0,17.860348781,37.56559179,0.0,0.0,2.463538344,0.0,1.231772901,52.347281710000004,1.231772901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.774307136,3.695263824,6.158796218,0.0,0.0,0.0,0.0,3.6949125140000003,6.158023333,0.0,0.0,6.158023333,2.463139613,0.0,0.0,0.0,0.0,1.84760666,0.0,0.615883328,0.0,0.0,1.84760666,79.446150663,0.0,0.0,51.73019266,0.0,0.0,0.0,0.0,0.0,0.615883328,4.310746273,0.0,15.394651236999998,0.0,0.615883328,0.0,0.0,3.079022941,1.231772901,0.0,0.0,3.6949125140000003,0.0,0.0,0.0,42.49270973,0.005950012,0.078681849,0.035791114,0.055290861999999996,0.0,0.053902513,6.428941774,0.0,0.0,0.0,0.042401757,0.0,0.016035073,0.0,0.075905184,0.013627326,0.135287876,0.002089427,0.013587393,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.04872489,0.0,0.0,2.463139613,0.0,0.0,0.0,4.926250432,0.0,4.926250432,0.0,0.0,0.0,0.0,0.0,39.12421435,2.463139613,0.0,0.0,0.0,0.0,0.0,2.825780066,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,10.215162647,39.5601918,0.0,0.0,0.0,0.0,0.0,34.847523596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,5.651659355,0.0,0.0,0.0,0.0,5.288919679,4.926250432,0.0,0.0,7.752030498,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.33232041299999,0.0,0.0,49.33885196,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,12.677535562,0.0,0.0,2.825780066,0.0,2.463139613,0.0,0.0,0.0,8.114798967999999,0.0,0.0,0.0,34.847523596,0.005950012,0.10925676200000001,0.028637681,0.046966313999999995,0.0,0.041449173,5.914746878999999,0.0,0.0,0.0,0.069562557,0.0,0.0,0.0,0.058003246,0.07279611400000001,0.135287876,0.002089427,0.028527718,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,2.867675238,0.0,0.0,3.896968268,1.433828655,3.180059377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716919764,3.584584692,0.716919764,0.716919764,0.716919764,0.716919764,1.433828655,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716919764,0.0,0.0,1.433828655,0.0,0.0,0.0,0.0,33.545416005,0.0,0.0,6.7646546800000005,0.0,0.0,0.0,5.643170196,0.716919764,4.926250432,0.0,0.0,0.0,0.0,0.0,34.3572507,2.463139613,0.716919764,0.0,0.716919764,0.0,0.716919764,0.716919764,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,21.728486861,22.94418173,0.0,0.716919764,2.867675238,0.716919764,0.716919764,32.02174353,0.716919764,2.150793929,0.0,0.0,0.0,0.0,0.0,0.0,6.047724305,3.584584692,10.7543874,0.716919764,0.0,0.0,0.0,3.180059377,4.926250432,0.0,0.0,4.926250432,2.463139613,1.433828655,0.0,0.0,0.0,0.716919764,0.0,0.0,0.0,0.0,0.0,143.696018313,0.0,0.0,30.273165924,0.0,0.0,0.716919764,0.716919764,0.0,0.716919764,6.047724305,0.0,20.606142896,0.716919764,0.0,0.0,1.433828655,3.180059377,0.0,0.716919764,0.0,2.463139613,0.0,0.0,0.0,32.02174353,0.005950012,0.046488123,0.037218259000000004,0.054640554,0.0,0.057432604,5.464178079,0.0,0.0,0.002651482,0.039797539,0.0,0.0,0.00462805,0.0,0.033083018,0.168598751,0.002089427,0.028989635,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,0.0,0.0,0.0,2.463139613,14.21948651,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,14.21948651,0.0,0.0,65.00659529,0.0,4.739446342,2.463139613,0.0,4.739446342,0.0,4.926250432,0.0,14.404771719,0.0,0.0,0.0,14.21948651,0.0,41.12582906,7.202585955,9.478521287,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,2.463139613,0.0,0.0,0.0,0.0,12.128828923,0.0,0.0,0.0,0.0,0.0,0.0,65.19607284,0.0,4.739446342,0.0,0.0,0.0,0.0,4.739446342,0.0,30.900576952999998,0.0,23.69448651,0.0,0.0,0.0,0.0,7.202585955,4.926250432,0.0,4.739446342,14.404771719,2.463139613,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,11.941660899999999,0.0,0.0,67.46971979,0.0,4.739446342,0.0,0.0,0.0,0.0,2.463139613,0.0,24.071242006,0.0,0.0,0.0,4.739446342,2.463139613,0.0,0.0,0.0,2.463139613,0.0,4.739446342,0.0,41.500264817,0.024252489000000002,0.02311336,0.003502826,0.093524063,0.0,0.017684828,1.90641367,0.223855094,0.0,0.0,0.063418849,0.0,1.447597495,0.0,0.102216733,0.006769616,0.18303867299999999,0.097810464,0.0,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,3.332614013,3.673855021,0.0,3.332614013,0.0,0.0,0.0,0.0,0.833158429,0.0,0.833158429,0.0,0.0,0.0,12.195478969,0.0,1.666306062,0.0,0.0,14.20197451,0.833158429,0.0,0.0,0.833158429,0.0,5.681438881,0.0,2.840696592,0.0,0.0,7.347744943,5.832033701,0.0,0.0,0.0,2.840696592,0.0,0.0,18.32858226,6.51459731,0.0,0.0,2.840696592,0.0,4.507002654,5.681438881,2.840696592,96.588805,2.840696592,0.0,0.0,3.673855021,2.840696592,8.331468621,4.507002654,0.0,0.0,0.833158429,0.0,0.0,11.36232054,4.507002654,2.840696592,0.0,0.0,0.0,0.0,0.0,4.165709745,32.080951619,0.0,0.0,15.679091561,0.0,0.0,17.49694478,0.0,8.522259222,0.0,3.673855021,2.840696592,0.0,0.0,0.0,0.833158429,0.0,2.49945167,0.0,0.0,11.36232054,0.0,11.36232054,0.0,8.522259222,0.833158429,0.833158429,5.681438881,0.0,0.0,0.833158429,2.840696592,2.840696592,0.0,0.0,2.840696592,0.0,0.0,15.187397608000001,0.0,0.0,49.15335611,0.0,0.0,0.0,0.833158429,0.0,0.833158429,0.0,0.0,2.49945167,0.0,2.840696592,0.0,19.88334196,1.666306062,1.666306062,0.0,0.0,2.840696592,2.840696592,0.833158429,0.0,29.9955966,0.025262328,0.0,0.074644945,0.044387401,0.0,0.0,1.239556418,0.0,0.001753042,0.0,0.017918014,0.014365337,0.0,0.0,0.0,0.032826907,0.581069295,0.003530092,0.016707202,0.223626855,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,3.332614013,0.833158429,0.0,5.180220673,0.615883328,1.84760666,0.0,0.0,1.449041757,0.0,1.449041757,0.0,0.615883328,0.0,2.0649313300000003,0.0,1.666306062,0.0,0.0,0.615883328,2.0649313300000003,0.615883328,0.0,0.833158429,1.231772901,0.0,0.0,0.0,0.615883328,0.0,4.129844406,6.447917029,0.0,0.0,0.615883328,0.0,0.0,0.615883328,38.65412044,0.833158429,2.463538344,1.231772901,0.0,1.231772901,2.898078963,0.615883328,0.0,0.0,0.0,1.231772901,0.0,0.833158429,0.0,25.574625801000003,1.666306062,0.0,0.0,0.833158429,0.0,4.927069231,0.615883328,2.28218939,0.0,1.231772901,0.0,0.615883328,0.0,0.0,14.636675945,38.398750219,0.0,0.0,12.461191024,0.0,1.231772901,37.82248296,1.231772901,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,5.144325952,3.695263824,8.658247888,0.0,0.0,0.0,0.0,1.231772901,1.231772901,0.0,0.833158429,2.0649313300000003,0.0,0.0,0.0,0.833158429,0.0,1.84760666,0.0,0.615883328,0.0,0.0,1.84760666,83.648149436,0.0,0.0,71.32730261,0.0,0.0,0.0,0.833158429,0.0,1.449041757,1.84760666,0.0,8.042347411,0.0,0.615883328,0.0,0.0,2.28218939,2.898078963,0.0,0.0,1.231772901,0.0,0.833158429,0.0,40.4665628,0.025262328,0.058490586,0.106933233,0.070008167,0.0,0.036217685,6.552972791,0.0,0.001753042,0.0,0.037312077,0.0,0.016035073,0.0,0.075905184,0.032854495000000004,0.307976677,0.003530092,0.030294595,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,3.332614013,0.833158429,0.0,3.332614013,0.0,0.0,0.0,0.0,0.833158429,0.0,0.833158429,0.0,0.0,0.0,0.833158429,0.0,1.666306062,0.0,0.0,0.0,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,1.666306062,5.832033701,0.0,0.0,0.0,0.0,0.0,0.0,35.28418549,0.833158429,0.0,0.0,0.0,0.0,1.666306062,0.0,0.0,0.0,0.0,0.0,0.0,0.833158429,0.0,25.287071851,1.666306062,0.0,0.0,0.833158429,0.0,0.0,2.825780066,1.666306062,0.0,0.0,0.0,0.0,0.0,0.0,6.991489811,40.393350229,0.0,0.0,9.99765268,0.0,0.0,20.322724846,0.0,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.833158429,0.0,8.151111024999999,0.0,0.0,0.0,0.0,2.825780066,0.0,0.0,0.833158429,3.658938495,0.0,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.53431918599999,0.0,0.0,68.93596191,0.0,0.0,0.0,0.833158429,0.0,0.833158429,0.0,0.0,5.325231736,0.0,0.0,2.825780066,0.0,1.666306062,1.666306062,0.0,0.0,5.651659355,0.0,0.833158429,0.0,32.821376666,0.025262328,0.089065499,0.0997798,0.061683618999999995,0.0,0.023764345,6.038777895999999,0.0,0.001753042,0.0,0.064472877,0.0,0.0,0.0,0.058003246,0.09202328300000001,0.307976677,0.003530092,0.04523492,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,6.200289251,0.833158429,0.0,4.766442668,1.433828655,0.716919764,0.0,0.0,0.833158429,0.0,0.833158429,0.0,0.0,0.716919764,4.417743121,0.716919764,2.3832258260000003,0.716919764,0.716919764,1.433828655,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,2.3832258260000003,5.832033701,0.0,1.433828655,0.0,0.0,0.0,0.0,24.780876605000003,0.833158429,0.0,4.301515067,0.0,0.0,1.666306062,0.716919764,0.716919764,0.0,0.0,0.0,0.0,0.833158429,0.0,20.520108201,1.666306062,0.716919764,0.0,1.550078193,0.0,0.716919764,0.716919764,1.666306062,0.0,0.0,0.0,0.0,0.0,0.0,18.504814025,23.777340159,0.0,0.716919764,12.865327918,0.716919764,0.716919764,17.49694478,0.716919764,2.150793929,0.0,0.833158429,0.0,0.0,0.0,0.0,4.417743121,3.584584692,13.253839070000001,0.716919764,0.0,0.0,0.0,0.716919764,0.0,0.0,0.833158429,0.833158429,0.0,1.433828655,0.0,0.833158429,0.0,0.716919764,0.0,0.0,0.0,0.0,0.0,147.89801708599998,0.0,0.0,49.870275874,0.0,0.0,0.716919764,1.550078193,0.0,1.550078193,3.584584692,0.0,13.253839070000001,0.716919764,0.0,0.0,1.433828655,2.3832258260000003,1.666306062,0.716919764,0.0,0.0,0.0,0.833158429,0.0,29.9955966,0.025262328,0.02629686,0.10836037800000001,0.069357859,0.0,0.039747776,5.588209096,0.0,0.001753042,0.002651482,0.034707859,0.0,0.0,0.00462805,0.0,0.052310187,0.341287552,0.003530092,0.045696837000000004,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,3.332614013,0.833158429,0.0,3.332614013,14.21948651,0.0,0.0,0.0,0.833158429,0.0,0.833158429,0.0,0.0,0.0,5.572604771,0.0,1.666306062,0.0,0.0,0.0,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,4.739446342,0.0,1.666306062,5.832033701,0.0,0.0,0.0,14.21948651,0.0,0.0,56.24205589,0.833158429,4.739446342,0.0,0.0,4.739446342,1.666306062,0.0,0.0,9.478521287,0.0,0.0,0.0,15.052644939,0.0,27.288686561,6.405752404,9.478521287,0.0,0.833158429,0.0,0.0,0.0,6.405752404,0.0,0.0,0.0,0.0,0.0,0.0,8.905156087,0.833158429,0.0,0.0,9.99765268,0.0,0.0,50.67127409,0.0,4.739446342,0.0,0.833158429,0.0,0.0,4.739446342,0.0,29.270595769,0.0,26.19393818,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,5.572604771,10.311679716,0.0,0.0,0.0,0.833158429,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,16.143659673,0.0,0.0,87.06682974,0.0,4.739446342,0.0,0.833158429,0.0,0.833158429,0.0,0.0,16.71893818,0.0,0.0,0.0,4.739446342,1.666306062,1.666306062,0.0,0.0,0.0,0.0,5.572604771,0.0,39.474117887,0.043564805,0.002922097,0.074644945,0.108241368,0.0,0.0,2.030444687,0.223855094,0.001753042,0.0,0.058329169,0.0,1.447597495,0.0,0.102216733,0.025996785,0.355727474,0.099251129,0.016707202,0.0,1.0,1.0,"[[1], [4]]"
