coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Pericytes,Ambiguous
0x0,0.0,0.597533596,1.792608143,2.695193299,0.0,0.0,1.792608143,3.737817224,0.0,0.0,4.932914391000001,3.5853237,1.792608143,0.597533596,0.0,0.597533596,7.768190968,6.725462341,1.347581755,7.488114942,2.250124519,7.945583203,0.597533596,0.0,0.0,2.542656302,0.750048159,1.195078217,1.792608143,0.0,1.195078217,0.597533596,8.365694772,1.195078217,0.0,0.0,0.0,5.975414182,0.0,0.0,0.0,0.0,0.597533596,0.0,1.195078217,51.75941847,0.597533596,7.170525693,2.987769065,0.597533596,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,3.1402066339999997,1.347581755,0.597533596,3.5853237,10.195078217,2.542656302,1.195078217,0.0,1.792608143,3.750288648,0.0,0.750048159,2.250124519,0.597533596,2.250124519,0.0,0.0,2.987769065,30.00273442,0.0,4.640282994,11.507142419000001,1.195078217,0.0,0.597533596,1.347581755,0.750048159,0.750048159,0.597533596,4.042732662,1.347581755,0.0,0.0,0.0,4.780428052,0.0,10.15835052,1.195078217,8.96322642,2.390158475,4.3478222440000005,0.597533596,0.0,0.0,0.0,2.390158475,1.195078217,2.542656302,0.0,0.750048159,0.0,0.0,2.390158475,1.195078217,1.500115082,3.292723225,1.195078217,16.72964337,0.0,0.0,0.0,3.000184291,4.335371859,0.0,4.780428052,0.0,0.0,0.597533596,4.780428052,0.0,6.127981854000001,1.792608143,0.0,5.377933695,2.542656302,0.0,2.987769065,0.0,0.066001952,0.042238232,0.002066792,0.037979292,0.0,0.032435668,0.0,0.0,0.0,0.0,0.12875174,0.0,0.241213664,0.0,0.066470876,0.006154792,0.5434492129999999,0.0,0.0,0.071112284,1.0,1.0
1x1,0.0,6.908060806,0.0,1.500115082,0.0,1.726967738,1.726967738,0.750048159,0.0,0.0,0.750048159,0.0,3.453997819,0.0,0.0,0.0,1.726967738,0.750048159,0.750048159,7.9543436960000005,3.977092257,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,13.81494352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.12260145,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.477015897,0.750048159,0.0,0.0,12.453997819,4.204045978,0.0,0.0,0.0,10.658349454,0.0,2.477015897,2.250124519,0.0,3.977092257,0.0,0.0,0.0,38.637696284,0.0,7.431142401,0.750048159,0.0,0.0,1.726967738,2.477015897,0.750048159,0.750048159,3.453997819,3.977092257,2.477015897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.908060806,0.0,8.93130653,0.0,0.0,0.0,0.0,0.0,0.0,2.477015897,0.0,0.750048159,0.0,0.0,0.0,1.726967738,8.408175888,1.500115082,1.726967738,1.726967738,0.0,0.0,0.0,3.000184291,2.477015897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,1.726967738,0.0,0.750048159,0.0,0.0,3.453997819,0.003631538,0.13169750600000002,0.029401593,0.061661399000000006,0.0,0.06822635099999999,0.0,0.0,0.0,0.0,0.144039592,0.0,0.270240164,0.0,0.016546384,0.036513589,0.66651784,0.0,0.019736348,0.0,1.0,1.0
2x2,0.0,0.0,0.0,1.500115082,0.0,18.43121692,0.0,4.436023512,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,3.685975353,0.0,0.750048159,0.750048159,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,11.05868637,3.685975353,0.0,0.0,3.685975353,0.0,0.0,0.0,3.685975353,0.0,0.0,0.0,0.0,51.75941847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05868637,0.0,0.750048159,0.750048159,0.0,0.0,12.685975353,0.750048159,0.0,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,3.685975353,2.250124519,0.0,0.0,0.0,30.00273442,0.0,13.308810889,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,0.0,0.0,0.0,0.0,3.685975353,3.685975353,0.0,0.0,3.750288648,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.750048159,0.0,0.0,0.0,0.0,1.500115082,27.304139202,0.0,0.0,0.0,0.0,0.0,6.686159644,4.436023512,0.0,7.371822272,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.0,0.0,0.750048159,0.0,0.0,29.48596874,0.009705217,0.042238232,0.015108906,0.057294479999999995,0.0,0.032435668,0.512899224,0.0,0.0,0.0,0.047053807,0.0,0.418265382,0.0,0.0,0.0,0.496497269,0.0,0.0,0.0,1.0,1.0
3x3,0.0,1.162867924,1.162867924,3.8258681469999996,0.0,0.0,0.0,4.820188725,0.0,0.0,2.49440133,1.162867924,0.581430098,0.0,0.0,0.0,4.651581567,4.820188725,1.331478257,4.500345877,2.831554617,6.750504986,0.0,0.0,0.0,3.0758012239999997,0.750048159,7.558743282,0.581430098,0.581430098,0.581430098,0.581430098,5.233041235,1.162867924,0.0,0.0,0.0,1.162867924,0.0,0.581430098,13.95546773,0.0,4.070140566,0.0,0.0,51.75941847,0.0,0.0,1.162867924,0.0,0.581430098,0.0,0.0,0.0,0.0,17.44165954,0.0,1.331478257,0.750048159,1.162867924,0.0,13.070140566,4.820188725,0.581430098,0.0,0.0,3.750288648,1.162867924,0.750048159,2.250124519,2.907239205,3.412992443,0.0,0.0,4.651581567,30.00273442,0.0,17.367710659,11.797633189,29.07460971,0.581430098,1.162867924,1.9129160829999998,0.750048159,0.750048159,0.581430098,3.99447769,1.9129160829999998,4.651581567,0.0,0.581430098,6.977374856,0.581430098,9.303861204,2.325753065,0.0,1.162867924,8.983329883,0.581430098,0.0,1.162867924,0.0,0.0,0.0,3.0758012239999997,0.0,1.331478257,0.581430098,0.581430098,6.977374856,0.0,1.500115082,22.433214132,1.162867924,16.28223873,0.0,0.0,0.0,3.000184291,1.331478257,0.581430098,1.162867924,0.0,0.581430098,0.581430098,8.721650414,0.581430098,0.750048159,0.0,0.581430098,4.070140566,1.9129160829999998,0.0,0.0,21.51127016,0.0,0.042238232,0.002066792,0.052867676,0.0,0.032435668,0.897710672,0.0,0.0,0.0,0.12481365500000001,0.0,0.27235184,0.0,0.054986737,0.0,0.555244521,0.0,0.0,0.0,1.0,1.0
4x4,0.0,0.0,0.0,3.350739494,0.0,0.0,0.0,4.451261934,3.701213775,0.0,0.750048159,0.0,0.0,0.0,0.0,0.0,3.701213775,0.750048159,0.750048159,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,21.105069019,0.750048159,0.0,0.0,0.0,0.0,0.0,1.850624412,0.0,0.0,0.0,0.0,5.55179047,0.0,0.0,0.0,0.0,0.0,1.850624412,0.0,51.75941847,0.0,1.850624412,5.55179047,70.31813867,0.0,0.0,1.850624412,1.850624412,0.0,0.0,1.850624412,0.750048159,0.750048159,0.0,0.0,9.0,2.600672571,0.0,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,0.0,2.250124519,0.0,0.0,3.701213775,30.00273442,0.0,4.100748931,0.750048159,0.0,0.0,0.0,10.004206043,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,0.0,1.850624412,3.701213775,0.0,11.10319415,1.850624412,0.0,5.55179047,3.750288648,3.701213775,0.0,0.0,0.0,3.701213775,0.0,2.600672571,0.0,0.750048159,0.0,0.0,0.0,0.0,1.500115082,3.350739494,0.0,1.850624412,0.0,0.0,9.254157884,3.000184291,0.750048159,0.0,0.0,0.0,3.701213775,0.0,11.10319415,0.0,0.750048159,0.0,0.0,3.701213775,0.750048159,0.0,0.0,0.0,0.0,0.042489291,0.002066792,0.029160443,0.0,0.032435668,0.0,0.0,0.0,0.0,0.128704418,0.0,0.218668744,0.0,0.075162232,0.0,1.448624192,0.0,0.0,0.0,1.0,1.0
5x5,0.0,0.597533596,1.792608143,1.195078217,0.0,1.61613409,1.792608143,2.987769065,0.0,0.0,5.799000322,3.5853237,1.792608143,0.597533596,0.0,0.597533596,7.768190968,5.975414182,0.597533596,2.987769065,0.0,4.427412867,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,8.365694772,1.195078217,0.0,0.0,4.848439478,5.975414182,0.0,0.0,0.0,1.61613409,0.597533596,0.0,1.195078217,64.6447502,0.597533596,7.170525693,2.987769065,0.597533596,0.0,0.0,0.0,0.0,0.0,1.195078217,0.597533596,2.390158475,0.597533596,0.597533596,3.5853237,1.195078217,1.792608143,1.195078217,0.0,1.792608143,0.0,0.0,0.0,1.61613409,0.597533596,0.0,0.0,0.0,2.987769065,12.92836054,0.0,8.854817937,12.373228350000002,1.195078217,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,0.0,0.0,0.0,4.780428052,0.0,10.15835052,2.811212307,8.96322642,2.390158475,0.597533596,0.597533596,0.0,0.0,0.0,2.390158475,2.811212307,1.792608143,0.0,0.0,1.61613409,0.0,2.390158475,1.195078217,1.61613409,3.408742233,1.195078217,16.72964337,0.0,0.0,0.0,1.61613409,3.5853237,0.0,4.780428052,0.0,0.0,2.213667686,4.780428052,0.0,5.377933695,1.792608143,0.0,5.377933695,1.792608143,0.0,2.987769065,0.0,0.066001952,0.042137443,0.009193861,0.019922464,0.0,0.025205671,0.0,0.0,0.0,0.0,0.085523378,0.0,0.23006226400000002,0.0,0.066470876,0.006154792,0.551221694,0.0,0.0,0.071112284,1.0,1.0
6x6,0.0,6.908060806,0.0,0.0,0.0,3.343101828,1.726967738,0.0,0.0,0.0,1.61613409,0.0,3.453997819,0.0,0.0,0.0,1.726967738,0.0,0.0,3.453997819,1.726967738,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.453997819,0.0,0.0,18.663382998,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,75.00793318000001,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,3.453997819,3.453997819,0.0,0.0,0.0,6.908060806,0.0,1.726967738,1.61613409,0.0,1.726967738,0.0,0.0,0.0,21.563322403999997,0.0,11.645677344,1.61613409,0.0,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,6.908060806,0.0,5.181017882,0.0,0.0,0.0,0.0,0.0,1.61613409,1.726967738,0.0,0.0,1.61613409,0.0,0.0,1.726967738,8.524194896000001,1.61613409,1.726967738,1.726967738,0.0,0.0,0.0,1.61613409,1.726967738,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,1.726967738,0.0,0.0,0.0,0.0,3.453997819,0.003631538,0.131596717,0.036528661999999996,0.043604571,0.0,0.060996353999999996,0.0,0.0,0.0,0.0,0.10081123,0.0,0.259088764,0.0,0.016546384,0.036513589,0.674290321,0.0,0.019736348,0.0,1.0,1.0
7x7,0.0,0.0,0.0,0.0,0.0,20.04735101,0.0,3.685975353,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,3.685975353,0.0,0.0,0.0,0.0,0.0,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05868637,3.685975353,0.0,0.0,8.534414831,0.0,0.0,0.0,3.685975353,1.61613409,0.0,0.0,0.0,64.6447502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05868637,0.0,0.0,0.0,0.0,0.0,3.685975353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,3.685975353,0.0,0.0,0.0,0.0,12.92836054,0.0,17.523345832,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.685975353,5.302109443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,1.61613409,27.42015821,0.0,0.0,0.0,0.0,0.0,5.302109443,3.685975353,0.0,7.371822272,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.48596874,0.009705217,0.042137443,0.022235974999999998,0.039237652,0.0,0.025205671,0.512899224,0.0,0.0,0.0,0.003825445,0.0,0.40711398200000004,0.0,0.0,0.0,0.50426975,0.0,0.0,0.0,1.0,1.0
8x8,0.0,1.162867924,1.162867924,2.325753065,0.0,1.61613409,0.0,4.070140566,0.0,0.0,3.3604872610000003,1.162867924,0.581430098,0.0,0.0,0.0,4.651581567,4.070140566,0.581430098,0.0,0.581430098,3.23233465,0.0,0.0,0.0,2.325753065,0.0,7.558743282,0.581430098,0.581430098,0.581430098,0.581430098,5.233041235,1.162867924,0.0,0.0,4.848439478,1.162867924,0.0,0.581430098,13.95546773,1.61613409,4.070140566,0.0,0.0,64.6447502,0.0,0.0,1.162867924,0.0,0.581430098,0.0,0.0,0.0,0.0,17.44165954,0.0,0.581430098,0.0,1.162867924,0.0,4.070140566,4.070140566,0.581430098,0.0,0.0,0.0,1.162867924,0.0,1.61613409,2.907239205,1.162867924,0.0,0.0,4.651581567,12.92836054,0.0,21.582245602,12.66371912,29.07460971,0.581430098,1.162867924,1.162867924,0.0,0.0,0.581430098,1.744353171,1.162867924,4.651581567,0.0,0.581430098,6.977374856,0.581430098,9.303861204,3.941887155,0.0,1.162867924,5.233041235,0.581430098,0.0,1.162867924,0.0,0.0,1.61613409,2.325753065,0.0,0.581430098,2.1975641880000003,0.581430098,6.977374856,0.0,1.61613409,22.54923314,1.162867924,16.28223873,0.0,0.0,0.0,1.61613409,0.581430098,0.581430098,1.162867924,0.0,0.581430098,2.1975641880000003,8.721650414,0.581430098,0.0,0.0,0.581430098,4.070140566,1.162867924,0.0,0.0,21.51127016,0.0,0.042137443,0.009193861,0.034810848,0.0,0.025205671,0.897710672,0.0,0.0,0.0,0.081585293,0.0,0.26120044,0.0,0.054986737,0.0,0.563017002,0.0,0.0,0.0,1.0,1.0
9x9,0.0,0.0,0.0,1.850624412,0.0,1.61613409,0.0,3.701213775,3.701213775,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,3.701213775,0.0,0.0,0.0,0.0,3.23233465,0.0,0.0,0.0,20.35502086,0.0,0.0,0.0,0.0,0.0,0.0,1.850624412,0.0,0.0,0.0,4.848439478,5.55179047,0.0,0.0,0.0,1.61613409,0.0,1.850624412,0.0,64.6447502,0.0,1.850624412,5.55179047,70.31813867,0.0,0.0,1.850624412,1.850624412,0.0,0.0,1.850624412,0.0,0.0,0.0,0.0,0.0,1.850624412,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,3.701213775,12.92836054,0.0,8.315283874,1.61613409,0.0,0.0,0.0,9.254157884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.850624412,3.701213775,0.0,11.10319415,3.4667585020000002,0.0,5.55179047,0.0,3.701213775,0.0,0.0,0.0,3.701213775,1.61613409,1.850624412,0.0,0.0,1.61613409,0.0,0.0,0.0,1.61613409,3.4667585020000002,0.0,1.850624412,0.0,0.0,9.254157884,1.61613409,0.0,0.0,0.0,0.0,3.701213775,1.61613409,11.10319415,0.0,0.0,0.0,0.0,3.701213775,0.0,0.0,0.0,0.0,0.0,0.042388501999999995,0.009193861,0.011103615,0.0,0.025205671,0.0,0.0,0.0,0.0,0.085476056,0.0,0.207517344,0.0,0.075162232,0.0,1.456396673,0.0,0.0,0.0,1.0,1.0
