coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Pericytes,Endothelial1
0x0,0.0,0.0,0.0,1.500115082,4.813664962,0.0,0.0,0.750048159,0.0,0.0,5.563713121,0.0,0.0,0.0,0.0,0.0,2.406826369,0.750048159,0.750048159,9.314010839,2.250124519,11.564169948,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,0.0,0.0,2.406826369,0.0,2.406826369,2.406826369,0.0,7.220533434,0.0,0.0,71.01291454,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,49.91794659,5.563713121,0.0,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,2.406826369,2.250124519,2.406826369,0.0,14.44187384,30.00273442,7.220533434,16.691998359,3.156874528,16.84842916,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,4.813664962,0.0,0.0,3.750288648,0.0,0.0,0.0,2.406826369,0.0,28.88133525,0.750048159,0.0,0.750048159,0.0,14.44187384,4.813664962,0.0,1.500115082,1.500115082,0.0,9.626738654,0.0,0.0,0.0,29.472799291,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.042238232,0.002222309,0.026431157,0.0,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.0,0.178221654,0.0,0.0,0.0,0.599613278,0.0,0.0,0.0,1.0,1.0
1x1,1.291870106,0.0,3.875621685,2.791985188,0.0,0.0,0.0,4.625669844,0.0,0.0,2.041918265,0.0,1.291870106,0.0,0.0,0.0,1.291870106,0.750048159,0.750048159,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,1.291870106,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,3.875621685,0.0,0.0,0.0,0.0,2.583686412,0.0,0.0,75.01434704,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333734571,0.750048159,0.0,0.0,41.29660852,0.750048159,0.0,0.0,0.0,5.042158754,1.291870106,0.750048159,3.541994625,0.0,2.250124519,0.0,1.291870106,2.583686412,31.294604526,0.0,50.047897249,0.750048159,1.291870106,0.0,0.0,2.041918265,2.041918265,0.750048159,0.0,2.250124519,0.750048159,0.0,0.0,0.0,0.0,0.0,2.583686412,1.291870106,0.0,0.0,3.750288648,1.291870106,0.0,1.291870106,0.0,0.0,37.46803478,0.750048159,0.0,0.750048159,0.0,6.459333079,0.0,0.0,1.500115082,2.791985188,0.0,0.0,0.0,0.0,0.0,40.46821907100001,0.750048159,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.750048159,1.291870106,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.042238232,0.005346896,0.044510295000000005,0.0,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.0,0.6012383640000001,0.0,0.0,0.0,0.49182857199999996,0.0,0.0,0.0,1.0,1.0
2x2,0.0,0.0,0.0,4.343200169,0.0,0.947690742,0.947690742,3.593133246,0.0,0.947690742,6.436257963,0.947690742,1.895409533,0.0,0.0,5.686209804,13.26921232,0.750048159,0.750048159,6.39575541,3.1978152609999997,8.645914519,0.0,0.0,0.0,8.331682391,0.750048159,0.947690742,0.947690742,0.0,0.0,0.0,3.790821612,1.895409533,0.0,0.0,0.0,0.947690742,0.947690742,0.0,0.0,0.0,0.0,0.0,0.947690742,80.19007837,0.0,3.790821612,0.0,0.0,1.895409533,1.895409533,0.0,0.947690742,0.0,0.0,0.947690742,4.540869771,0.750048159,0.0,0.947690742,31.74652144,1.6977389010000001,5.686209804,0.0,0.0,8.488809975,0.0,0.750048159,2.250124519,0.947690742,2.250124519,0.0,0.947690742,0.947690742,30.00273442,0.0,22.152709609,1.6977389010000001,0.0,0.0,0.0,6.436257963,0.750048159,0.750048159,0.947690742,2.250124519,0.750048159,0.0,0.947690742,0.0,4.738521327,0.0,0.947690742,0.0,0.0,4.738521327,3.750288648,0.0,0.0,3.790821612,0.0,0.0,12.31987042,0.750048159,0.0,0.750048159,0.0,14.2159825,3.790821612,1.895409533,1.500115082,2.447805824,0.0,3.790821612,0.0,0.0,0.0,35.220212741,1.6977389010000001,0.0,0.0,0.0,2.843085087,0.0,8.529278068,0.947690742,0.750048159,0.0,0.0,2.843085087,0.750048159,0.0,0.947690742,0.947690742,0.0,0.067635132,0.002066792,0.025030881,0.0,0.036514474,0.0,0.0,0.0,0.0,0.056648595,0.0,0.7461997810000001,0.0,0.023309486,0.0,0.446724193,0.0,0.0,0.0,1.0,1.0
3x3,0.0,0.0,0.0,1.500115082,0.0,1.762676287,0.0,11.327153899,0.0,0.0,11.327153899,5.288108113,0.0,0.0,0.0,0.0,0.0,2.512724446,2.512724446,4.500345877,2.250124519,8.513181273,1.762676287,3.525431547,0.0,2.512724446,0.750048159,5.288108113,0.0,0.0,0.0,1.762676287,12.33828522,0.0,0.0,0.0,0.0,7.050817835,1.762676287,0.0,0.0,0.0,1.762676287,0.0,1.762676287,67.62494872,0.0,0.0,3.525431547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.750048159,0.0,3.525431547,19.57710574,0.750048159,0.0,0.0,0.0,5.512964935,0.0,0.750048159,2.250124519,0.0,4.0128008059999996,0.0,0.0,10.57710574,30.00273442,1.762676287,14.588409739,2.512724446,15.86553025,0.0,1.762676287,2.512724446,0.750048159,0.750048159,0.0,4.0128008059999996,0.750048159,0.0,0.0,1.762676287,1.762676287,1.762676287,10.57710574,0.0,0.0,1.762676287,7.275720195,0.0,0.0,0.0,0.0,0.0,8.813411269,0.750048159,0.0,0.750048159,0.0,12.33828522,0.0,0.0,1.500115082,5.025546629,0.0,7.050817835,0.0,0.0,0.0,17.100985831000003,4.2754797060000005,3.525431547,1.762676287,0.0,0.0,0.0,12.33828522,1.762676287,0.750048159,0.0,0.0,0.0,0.750048159,0.0,0.0,3.525431547,0.0,0.042238232,0.002066792,0.032246096,0.0,0.032435668,0.0,0.0,0.0,0.0,0.143284607,0.0,0.178221654,0.0,0.0,0.038173646,0.600455049,0.0,0.0,0.001947578,1.0,1.0
4x4,0.0,0.0,2.455651996,3.955767078,0.0,1.227819495,0.0,0.750048159,0.0,0.0,1.9778676540000002,0.0,0.0,1.227819495,0.0,0.0,1.227819495,0.750048159,0.750048159,6.955997872999999,2.250124519,11.661764146,0.0,0.0,0.0,0.750048159,0.750048159,1.227819495,1.227819495,0.0,1.227819495,0.0,1.227819495,3.683494343,0.0,0.0,0.0,1.227819495,0.0,0.0,0.0,0.0,1.227819495,1.227819495,1.227819495,84.91014914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227819495,1.227819495,0.750048159,0.750048159,0.0,0.0,55.65407017,0.750048159,1.227819495,0.0,0.0,22.168087588000002,0.0,0.750048159,2.250124519,0.0,3.477944014,0.0,0.0,6.13920742,30.00273442,1.227819495,45.224532358999994,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,1.227819495,0.0,0.0,0.0,2.455651996,0.0,0.0,0.0,6.205940644,0.0,0.0,1.227819495,0.0,0.0,9.821812375,0.750048159,0.0,0.750048159,0.0,9.821812375,0.0,0.0,1.500115082,10.095005078,0.0,0.0,0.0,0.0,0.0,44.746629041000006,0.750048159,0.0,0.0,0.0,0.0,0.0,1.227819495,0.0,0.750048159,0.0,1.227819495,1.227819495,0.750048159,0.0,0.0,1.227819495,0.0,0.083984612,0.003812799,0.023121945,0.025491347,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.046094696,0.235974007,0.0,0.0,0.291040897,0.42001460599999996,0.0,0.0,0.100167978,1.0,1.0
5x5,0.0,0.0,0.0,0.0,4.813664962,1.61613409,0.0,0.0,0.0,0.0,6.429799052,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,4.813664962,0.0,8.045999612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,0.0,0.0,4.848439478,2.406826369,0.0,2.406826369,2.406826369,1.61613409,7.220533434,0.0,0.0,83.89824627,0.0,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.91794659,4.813664962,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,2.406826369,0.0,2.406826369,0.0,14.44187384,12.92836054,7.220533434,20.906533302,4.022960459,16.84842916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.429799052,0.0,0.0,0.0,0.0,0.0,0.0,2.406826369,0.0,30.49746934,0.0,0.0,0.0,1.61613409,14.44187384,4.813664962,0.0,1.61613409,1.61613409,0.0,9.626738654,0.0,0.0,0.0,28.08874909,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042137443,0.009349378,0.008374329,0.0,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.0,0.167070254,0.0,0.0,0.0,0.607385759,0.0,0.0,0.0,1.0,1.0
6x6,1.291870106,0.0,3.875621685,1.291870106,0.0,1.61613409,0.0,3.875621685,0.0,0.0,2.9080041960000003,0.0,1.291870106,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,1.291870106,0.0,0.0,4.848439478,3.875621685,0.0,0.0,0.0,1.61613409,2.583686412,0.0,0.0,87.89967877000001,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583686412,0.0,0.0,0.0,32.29660852,0.0,0.0,0.0,0.0,1.291870106,1.291870106,0.0,2.9080041960000003,0.0,0.0,0.0,1.291870106,2.583686412,14.220230646,0.0,54.262432192,1.61613409,1.291870106,0.0,0.0,1.291870106,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583686412,2.9080041960000003,0.0,0.0,0.0,1.291870106,0.0,1.291870106,0.0,0.0,39.084168870000006,0.0,0.0,0.0,1.61613409,6.459333079,0.0,0.0,1.61613409,2.9080041960000003,0.0,0.0,0.0,0.0,0.0,39.084168870000006,0.0,0.0,0.0,0.0,0.0,1.61613409,1.291870106,0.0,0.0,1.291870106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042137443,0.012473965,0.026453467,0.0,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.0,0.590086964,0.0,0.0,0.0,0.499601053,0.0,0.0,0.0,1.0,1.0
7x7,0.0,0.0,0.0,2.843085087,0.0,2.563824832,0.947690742,2.843085087,0.0,0.947690742,7.302343894,0.947690742,1.895409533,0.0,0.0,5.686209804,13.26921232,0.0,0.0,1.895409533,0.947690742,5.127744183,0.0,0.0,0.0,7.581634232,0.0,0.947690742,0.947690742,0.0,0.0,0.0,3.790821612,1.895409533,0.0,0.0,4.848439478,0.947690742,0.947690742,0.0,0.0,1.61613409,0.0,0.0,0.947690742,93.0754101,0.0,3.790821612,0.0,0.0,1.895409533,1.895409533,0.0,0.947690742,0.0,0.0,0.947690742,3.790821612,0.0,0.0,0.947690742,22.74652144,0.947690742,5.686209804,0.0,0.0,4.738521327,0.0,0.0,1.61613409,0.947690742,0.0,0.0,0.947690742,0.947690742,12.92836054,0.0,26.367244552,2.563824832,0.0,0.0,0.0,5.686209804,0.0,0.0,0.947690742,0.0,0.0,0.0,0.947690742,0.0,4.738521327,0.0,0.947690742,1.61613409,0.0,4.738521327,0.0,0.0,0.0,3.790821612,0.0,0.0,13.93600451,0.0,0.0,0.0,1.61613409,14.2159825,3.790821612,1.895409533,1.61613409,2.563824832,0.0,3.790821612,0.0,0.0,0.0,33.836162540000004,0.947690742,0.0,0.0,0.0,2.843085087,1.61613409,8.529278068,0.947690742,0.0,0.0,0.0,2.843085087,0.0,0.0,0.947690742,0.947690742,0.0,0.067534343,0.009193861,0.006974053,0.0,0.029284477,0.0,0.0,0.0,0.0,0.013420233,0.0,0.735048381,0.0,0.023309486,0.0,0.454496674,0.0,0.0,0.0,1.0,1.0
8x8,0.0,0.0,0.0,0.0,0.0,3.3788103769999998,0.0,10.57710574,0.0,0.0,12.19323983,5.288108113,0.0,0.0,0.0,0.0,0.0,1.762676287,1.762676287,0.0,0.0,4.995010937,1.762676287,3.525431547,0.0,1.762676287,0.0,5.288108113,0.0,0.0,0.0,1.762676287,12.33828522,0.0,0.0,0.0,4.848439478,7.050817835,1.762676287,0.0,0.0,1.61613409,1.762676287,0.0,1.762676287,80.51028045000001,0.0,0.0,3.525431547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.525431547,10.57710574,0.0,0.0,0.0,0.0,1.762676287,0.0,0.0,1.61613409,0.0,1.762676287,0.0,0.0,10.57710574,12.92836054,1.762676287,18.802944682,3.3788103769999998,15.86553025,0.0,1.762676287,1.762676287,0.0,0.0,0.0,1.762676287,0.0,0.0,0.0,1.762676287,1.762676287,1.762676287,10.57710574,1.61613409,0.0,1.762676287,3.525431547,0.0,0.0,0.0,0.0,0.0,10.429545358999999,0.0,0.0,0.0,1.61613409,12.33828522,0.0,0.0,1.61613409,5.141565637,0.0,7.050817835,0.0,0.0,0.0,15.716935630000002,3.525431547,3.525431547,1.762676287,0.0,0.0,1.61613409,12.33828522,1.762676287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.525431547,0.0,0.042137443,0.009193861,0.014189268000000001,0.0,0.025205671,0.0,0.0,0.0,0.0,0.100056245,0.0,0.167070254,0.0,0.0,0.038173646,0.60822753,0.0,0.0,0.001947578,1.0,1.0
9x9,0.0,0.0,2.455651996,2.455651996,0.0,2.8439535850000004,0.0,0.0,0.0,0.0,2.8439535850000004,0.0,0.0,1.227819495,0.0,0.0,1.227819495,0.0,0.0,2.455651996,0.0,8.14359381,0.0,0.0,0.0,0.0,0.0,1.227819495,1.227819495,0.0,1.227819495,0.0,1.227819495,3.683494343,0.0,0.0,4.848439478,1.227819495,0.0,0.0,0.0,1.61613409,1.227819495,1.227819495,1.227819495,97.79548087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227819495,1.227819495,0.0,0.0,0.0,0.0,46.65407017,0.0,1.227819495,0.0,0.0,18.41779894,0.0,0.0,1.61613409,0.0,1.227819495,0.0,0.0,6.13920742,12.92836054,1.227819495,49.439067302,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227819495,0.0,0.0,0.0,2.455651996,1.61613409,0.0,0.0,2.455651996,0.0,0.0,1.227819495,0.0,0.0,11.437946465,0.0,0.0,0.0,1.61613409,9.821812375,0.0,0.0,1.61613409,10.211024085999998,0.0,0.0,0.0,0.0,0.0,43.362578840000005,0.0,0.0,0.0,0.0,0.0,1.61613409,1.227819495,0.0,0.0,0.0,1.227819495,1.227819495,0.0,0.0,0.0,1.227819495,0.0,0.083883823,0.010939867999999998,0.005065117,0.025491347,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.046094696,0.224822607,0.0,0.0,0.291040897,0.427787087,0.0,0.0,0.100167978,1.0,1.0
