coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Pericytes,Endothelial2,Pericytescells
0x0,0.690985953,1.381990362,14.16701094,4.609624688,0.34548853,8.982975379,2.072981884,2.132038521,0.0,0.0,5.241535667,0.0,8.292017092,0.0,0.0,0.0,3.454920928,1.441034112,0.750048159,5.882336239,2.250124519,8.477975097,0.0,0.34548853,0.34548853,2.47751827,0.750048159,3.109509606,0.34548853,0.34548853,1.0364793,0.0,3.800428439,7.255435717,0.0,0.0,0.34548853,0.0,0.0,0.0,0.690985953,0.0,1.381990362,0.34548853,0.0,56.941859747,0.0,0.0,1.727470111,11.05591008,0.0,0.0,0.0,0.34548853,0.0,0.0,0.690985953,2.132038521,0.750048159,0.0,0.0,21.7847851,2.132038521,0.34548853,0.0,0.34548853,4.7867679480000005,0.34548853,0.750048159,3.6321148809999997,1.0364793,6.396127104,0.0,0.0,21.76669555,36.912616334,0.0,8.469007468000001,2.132038521,0.0,0.34548853,2.764003339,0.750048159,1.7865274590000002,1.095536689,0.0,2.941110472,0.750048159,1.0364793,0.690985953,0.0,0.690985953,1.0364793,3.454920928,0.690985953,13.474381,0.0,6.168744693000001,2.418456045,1.381990362,0.0,0.0,0.690985953,40.77341687,3.859557765,0.34548853,0.750048159,0.690985953,1.0364793,1.0364793,0.34548853,1.8456036120000001,2.882105444,0.34548853,0.0,0.0,0.34548853,0.690985953,17.509762961,2.8230300429999997,4.491487508,2.764003339,0.34548853,0.34548853,0.690985953,0.690985953,1.0364793,1.441034112,1.0364793,2.072981884,0.690985953,1.095536689,0.0,0.0,3.109509606,0.0,0.042238232,0.015335895,0.043872206999999996,0.0,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.0,0.510147357,0.0,0.0,0.0,0.313187483,0.0,0.0,0.0,1.0,1.0,[0]
1x1,0.0,2.599813489,1.299905543,1.500115082,0.0,1.299905543,1.299905543,2.049953702,0.0,0.0,8.549588771,0.0,10.39987266,1.299905543,0.0,0.0,1.299905543,2.049953702,0.750048159,9.700036245,3.550030062,8.050410529,0.0,0.0,0.0,0.750048159,2.049953702,0.0,5.199690368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,51.75941847,0.0,0.0,0.0,1.299905543,0.0,0.0,0.0,5.199690368,0.0,0.0,1.299905543,0.750048159,2.049953702,0.0,0.0,12.899818578,2.049953702,0.0,0.0,0.0,3.750288648,2.599813489,0.750048159,2.250124519,6.499632803,4.8499380080000005,0.0,0.0,5.199690368,30.00273442,0.0,2.250124519,2.049953702,1.299905543,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,4.8499380080000005,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.09309425,0.0,5.050194191,2.599813489,0.0,0.0,0.0,0.0,22.0993628,3.349861648,0.0,0.750048159,0.0,0.0,0.0,0.0,4.099928571,17.099805932,0.0,0.0,0.0,0.0,0.0,3.000184291,2.049953702,0.0,1.299905543,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,5.199690368,1.299905543,0.750048159,0.0,0.0,0.0,0.0,0.08627789999999999,0.007608525,0.023121945,0.0,0.06464552,0.0,0.119185307,0.0,0.0,0.047053807,0.0,0.896011376,0.0,0.0,0.0,0.294404458,0.0,0.0,0.0,1.0,1.0,[1]
2x2,0.0,3.883261708,2.588888782,4.089003864,0.0,0.0,3.883261708,3.338936941,1.294457406,0.0,3.338936941,0.0,15.53484012,0.0,0.0,0.0,1.294457406,0.750048159,2.044505565,14.855682157,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,1.294457406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.588888782,0.0,0.0,0.0,0.0,11.65027597,0.0,0.0,53.053875876,0.0,2.588888782,1.294457406,9.060046775,0.0,1.294457406,1.294457406,1.294457406,0.0,0.0,0.0,8.516624114999999,0.750048159,0.0,0.0,24.53484012,0.750048159,2.588888782,0.0,0.0,7.633550356000001,0.0,0.750048159,4.839013301,2.588888782,4.839013301,0.0,0.0,6.472226021,59.77787178,0.0,3.544581925,0.750048159,0.0,0.0,2.588888782,2.044505565,0.750048159,0.750048159,0.0,3.544581925,3.338936941,0.0,0.0,0.0,0.0,0.0,2.588888782,1.294457406,38.82905479,3.883261708,6.33917743,0.0,1.294457406,3.883261708,0.0,0.0,62.13933449,0.750048159,0.0,0.750048159,1.294457406,0.0,0.0,0.0,1.500115082,1.500115082,0.0,0.0,0.0,0.0,0.0,3.000184291,0.750048159,0.0,6.472226021,0.0,0.0,0.0,3.883261708,1.294457406,0.750048159,1.294457406,2.588888782,0.0,0.750048159,0.0,0.0,5.177745315,0.0,0.067859457,0.002066792,0.055657463000000004,0.0,0.052416945,0.0,0.13991377,0.0,0.0,0.047053807,0.0,1.1938942899999998,0.0,0.0,0.0,0.294404458,0.0,0.0,0.0,1.0,1.0,[2]
3x3,0.0,0.0,0.841280696,4.023986069,0.0,2.523870987,2.523870987,1.591328855,0.0,0.0,4.115206481,0.0,21.03433764,0.0,0.0,0.841280696,1.682563431,1.591328855,0.750048159,5.341626573,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,1.591328855,0.0,0.0,0.0,0.0,0.0,2.523870987,2.523870987,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,0.0,3.365158322,0.0,0.0,51.75941847,0.841280696,0.0,0.0,0.841280696,0.841280696,0.0,0.841280696,0.0,0.0,0.0,0.0,3.273919146,0.750048159,0.0,0.0,15.730187,1.591328855,0.0,0.0,0.841280696,3.750288648,0.0,0.750048159,2.250124519,2.523870987,5.615282841,0.0,0.841280696,10.9371321,30.844015115999998,0.0,4.773995506,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,1.591328855,0.0,0.0,0.0,0.841280696,0.0,0.841280696,0.0,37.8597498,0.0,12.163113983999999,0.841280696,0.0,0.0,0.0,0.0,15.14358557,4.115206481,0.0,0.750048159,0.841280696,0.841280696,2.523870987,0.841280696,2.341395778,4.023986069,0.0,0.841280696,0.0,0.0,0.0,4.682747722,0.750048159,0.841280696,0.0,0.0,0.0,0.0,0.0,0.0,1.591328855,1.682563431,0.0,0.0,1.591328855,0.0,0.0,0.841280696,0.0,0.075775164,0.039320509,0.075185557,0.0,0.08366870300000001,0.0,0.157436037,0.0,0.0,0.047053807,0.0,1.283308415,0.0,0.0,0.0,0.294404458,0.0,0.009163188,0.0,1.0,1.0,[3]
4x4,0.628845904,1.886556084,4.401943034,4.644403766,0.0,5.659628451,0.628845904,2.007767742,0.0,0.0,3.265490668,0.0,18.86552285,0.628845904,0.0,0.0,1.257719583,1.378894063,1.378894063,6.3869019609999995,2.250124519,11.152448020000001,0.628845904,0.0,0.0,1.378894063,0.750048159,0.0,3.144288684,0.0,0.0,0.0,1.886556084,6.288530911,0.0,0.628845904,1.886556084,0.0,0.0,1.257719583,0.628845904,0.628845904,0.628845904,0.0,0.0,74.39683455,0.628845904,0.628845904,0.628845904,6.917352842,0.0,0.0,0.0,1.886556084,0.0,0.628845904,0.0,5.151991193000001,0.750048159,0.0,1.257719583,19.06114282,3.265490668,3.773094139,0.0,0.0,6.265731157,0.0,0.750048159,8.538655429999999,5.030870458,2.250124519,0.0,0.0,18.86552285,58.93227152,1.257719583,11.054049964999999,1.378894063,0.628845904,0.0,5.659628451,2.007767742,0.750048159,0.750048159,0.0,2.250124519,1.378894063,0.0,0.628845904,0.628845904,2.515442509,0.0,1.257719583,1.257719583,12.57688064,1.886556084,8.781159106,0.0,1.886556084,1.257719583,0.0,0.0,84.90135215,9.553973605,0.0,1.378894063,0.0,0.628845904,1.257719583,0.628845904,2.128960986,3.386671166,0.628845904,0.0,0.0,0.0,0.628845904,6.7732784299999995,3.265490668,1.257719583,1.257719583,0.0,0.0,0.0,0.0,0.628845904,0.750048159,0.628845904,3.773094139,0.0,2.007767742,0.0,0.0,2.515442509,0.0,0.062053008,0.002066792,0.071681253,0.0,0.032435668,0.0,0.032514121,0.0,0.0,0.047053807,0.0,0.946904648,0.0,0.028612979,0.009018433,0.294404458,0.0,0.0,0.0,1.0,1.0,[4]
5x5,0.690985953,1.381990362,14.16701094,3.109509606,0.34548853,10.599109469000002,2.072981884,1.381990362,0.0,0.0,6.107621598,0.0,8.292017092,0.0,0.0,0.0,3.454920928,0.690985953,0.0,1.381990362,0.0,4.959804761,0.0,0.34548853,0.34548853,1.727470111,0.0,3.109509606,0.34548853,0.34548853,1.0364793,0.0,3.800428439,7.255435717,0.0,0.0,5.193928008,0.0,0.0,0.0,0.690985953,1.61613409,1.381990362,0.34548853,0.0,69.827191477,0.0,0.0,1.727470111,11.05591008,0.0,0.0,0.0,0.34548853,0.0,0.0,0.690985953,1.381990362,0.0,0.0,0.0,12.7847851,1.381990362,0.34548853,0.0,0.34548853,1.0364793,0.34548853,0.0,2.998124452,1.0364793,4.146002585,0.0,0.0,21.76669555,19.838242454,0.0,12.683542411000001,2.998124452,0.0,0.34548853,2.764003339,0.0,1.0364793,0.34548853,0.0,0.690985953,0.0,1.0364793,0.690985953,0.0,0.690985953,1.0364793,3.454920928,2.3071200430000003,13.474381,0.0,2.418456045,2.418456045,1.381990362,0.0,0.0,0.690985953,42.38955096,3.109509606,0.34548853,0.0,2.3071200430000003,1.0364793,1.0364793,0.34548853,1.96162262,2.998124452,0.34548853,0.0,0.0,0.34548853,0.690985953,16.12571276,2.072981884,4.491487508,2.764003339,0.34548853,0.34548853,2.3071200430000003,0.690985953,1.0364793,0.690985953,1.0364793,2.072981884,0.690985953,0.34548853,0.0,0.0,3.109509606,0.0,0.042137443,0.022462964000000002,0.025815379,0.0,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.0,0.498995957,0.0,0.0,0.0,0.320959964,0.0,0.0,0.0,1.0,1.0,[0]
6x6,0.0,2.599813489,1.299905543,0.0,0.0,2.916039633,1.299905543,1.299905543,0.0,0.0,9.415674702,0.0,10.39987266,1.299905543,0.0,0.0,1.299905543,1.299905543,0.0,5.199690368,1.299905543,4.532240193,0.0,0.0,0.0,0.0,1.299905543,0.0,5.199690368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.848439478,0.0,0.0,0.0,0.0,1.61613409,2.599813489,0.0,0.0,64.6447502,0.0,0.0,0.0,1.299905543,0.0,0.0,0.0,5.199690368,0.0,0.0,1.299905543,0.0,1.299905543,0.0,0.0,3.899818578,1.299905543,0.0,0.0,0.0,0.0,2.599813489,0.0,1.61613409,6.499632803,2.599813489,0.0,0.0,5.199690368,12.92836054,0.0,6.464659462,2.916039633,1.299905543,0.0,0.0,0.0,0.0,0.0,0.0,2.599813489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,74.09309425,0.0,1.299905543,2.599813489,0.0,0.0,0.0,0.0,23.71549689,2.599813489,0.0,0.0,1.61613409,0.0,0.0,0.0,4.215947579,17.21582494,0.0,0.0,0.0,0.0,0.0,1.61613409,1.299905543,0.0,1.299905543,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,5.199690368,1.299905543,0.0,0.0,0.0,0.0,0.0,0.086177111,0.014735594,0.005065117,0.0,0.057415522999999996,0.0,0.119185307,0.0,0.0,0.003825445,0.0,0.884859976,0.0,0.0,0.0,0.302176939,0.0,0.0,0.0,1.0,1.0,[1]
7x7,0.0,3.883261708,2.588888782,2.588888782,0.0,1.61613409,3.883261708,2.588888782,1.294457406,0.0,4.205022872000001,0.0,15.53484012,0.0,0.0,0.0,1.294457406,0.0,1.294457406,10.35533628,0.0,3.23233465,0.0,0.0,0.0,0.0,0.0,1.294457406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.848439478,2.588888782,0.0,0.0,0.0,1.61613409,11.65027597,0.0,0.0,65.93920760600001,0.0,2.588888782,1.294457406,9.060046775,0.0,1.294457406,1.294457406,1.294457406,0.0,0.0,0.0,7.766575956,0.0,0.0,0.0,15.53484012,0.0,2.588888782,0.0,0.0,3.883261708,0.0,0.0,4.205022872000001,2.588888782,2.588888782,0.0,0.0,6.472226021,42.7034979,0.0,7.7591168680000004,1.61613409,0.0,0.0,2.588888782,1.294457406,0.0,0.0,0.0,1.294457406,2.588888782,0.0,0.0,0.0,0.0,0.0,2.588888782,2.9105914960000003,38.82905479,3.883261708,2.588888782,0.0,1.294457406,3.883261708,0.0,0.0,63.755468580000006,0.0,0.0,0.0,2.9105914960000003,0.0,0.0,0.0,1.61613409,1.61613409,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,6.472226021,0.0,0.0,1.61613409,3.883261708,1.294457406,0.0,1.294457406,2.588888782,0.0,0.0,0.0,0.0,5.177745315,0.0,0.067758668,0.009193861,0.037600635,0.0,0.045186948,0.0,0.13991377,0.0,0.0,0.003825445,0.0,1.1827428899999999,0.0,0.0,0.0,0.302176939,0.0,0.0,0.0,1.0,1.0,[2]
8x8,0.0,0.0,0.841280696,2.523870987,0.0,4.140005077,2.523870987,0.841280696,0.0,0.0,4.981292412,0.0,21.03433764,0.0,0.0,0.841280696,1.682563431,0.841280696,0.0,0.841280696,0.0,3.23233465,0.0,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,0.0,0.0,2.523870987,2.523870987,0.0,0.0,4.848439478,0.841280696,0.0,0.0,0.0,1.61613409,3.365158322,0.0,0.0,64.6447502,0.841280696,0.0,0.0,0.841280696,0.841280696,0.0,0.841280696,0.0,0.0,0.0,0.0,2.523870987,0.0,0.0,0.0,6.730187,0.841280696,0.0,0.0,0.841280696,0.0,0.0,0.0,1.61613409,2.523870987,3.365158322,0.0,0.841280696,10.9371321,13.769641236,0.0,8.988530449,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841280696,0.0,0.0,0.0,0.841280696,0.0,0.841280696,1.61613409,37.8597498,0.0,8.412825336,0.841280696,0.0,0.0,0.0,0.0,16.759719660000002,3.365158322,0.0,0.0,2.457414786,0.841280696,2.523870987,0.841280696,2.457414786,4.140005077,0.0,0.841280696,0.0,0.0,0.0,3.2986975210000002,0.0,0.841280696,0.0,0.0,0.0,1.61613409,0.0,0.0,0.841280696,1.682563431,0.0,0.0,0.841280696,0.0,0.0,0.841280696,0.0,0.07567437499999999,0.046447577999999996,0.057128729,0.0,0.076438706,0.0,0.157436037,0.0,0.0,0.003825445,0.0,1.272157015,0.0,0.0,0.0,0.302176939,0.0,0.009163188,0.0,1.0,1.0,[3]
9x9,0.628845904,1.886556084,4.401943034,3.144288684,0.0,7.275762541,0.628845904,1.257719583,0.0,0.0,4.131576599000001,0.0,18.86552285,0.628845904,0.0,0.0,1.257719583,0.628845904,0.628845904,1.886556084,0.0,7.634277684000001,0.628845904,0.0,0.0,0.628845904,0.0,0.0,3.144288684,0.0,0.0,0.0,1.886556084,6.288530911,0.0,0.628845904,6.734995562,0.0,0.0,1.257719583,0.628845904,2.244979994,0.628845904,0.0,0.0,87.28216628000001,0.628845904,0.628845904,0.628845904,6.917352842,0.0,0.0,0.0,1.886556084,0.0,0.628845904,0.0,4.401943034,0.0,0.0,1.257719583,10.06114282,2.515442509,3.773094139,0.0,0.0,2.515442509,0.0,0.0,7.904665001,5.030870458,0.0,0.0,0.0,18.86552285,41.857897640000004,1.257719583,15.268584908,2.244979994,0.628845904,0.0,5.659628451,1.257719583,0.0,0.0,0.0,0.0,0.628845904,0.0,0.628845904,0.628845904,2.515442509,0.0,1.257719583,2.873853673,12.57688064,1.886556084,5.030870458,0.0,1.886556084,1.257719583,0.0,0.0,86.51748624,8.803925446,0.0,0.628845904,1.61613409,0.628845904,1.257719583,0.628845904,2.244979994,3.502690174,0.628845904,0.0,0.0,0.0,0.628845904,5.389228229,2.515442509,1.257719583,1.257719583,0.0,0.0,1.61613409,0.0,0.628845904,0.0,0.628845904,3.773094139,0.0,1.257719583,0.0,0.0,2.515442509,0.0,0.061952218999999996,0.009193861,0.053624425,0.0,0.025205671,0.0,0.032514121,0.0,0.0,0.003825445,0.0,0.9357532479999999,0.0,0.028612979,0.009018433,0.302176939,0.0,0.0,0.0,1.0,1.0,[4]
