coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Pericytes,Endothelial3,permutationTracker
0x0,1.448612149,2.897265563,1.448612149,1.500115082,0.0,0.0,0.0,0.750048159,0.0,0.0,3.647313722,0.0,0.0,0.0,0.0,1.448612149,0.0,0.750048159,0.750048159,5.948958026,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,0.0,4.345889776,0.0,0.0,61.899798340000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.198660308,0.750048159,0.0,0.0,14.794539065999999,2.198660308,1.448612149,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,0.0,2.250124519,0.0,0.0,5.794539066,45.93831151,0.0,16.734724839000002,0.750048159,0.0,0.0,0.0,0.750048159,2.198660308,0.750048159,0.0,2.250124519,0.750048159,1.448612149,0.0,0.0,4.345889776,0.0,2.897265563,0.0,0.0,0.0,3.750288648,1.448612149,0.0,0.0,0.0,0.0,123.1366439,0.750048159,0.0,0.750048159,1.448612149,4.345889776,0.0,0.0,1.500115082,1.500115082,1.448612149,0.0,0.0,0.0,0.0,3.000184291,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.0,0.0,2.198660308,0.0,0.0,4.345889776,0.008201873,0.042238232,0.027324398,0.061333839,0.0,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.0,0.36541102599999997,0.0,0.0,0.0,0.513402477,0.0,0.0,0.0,1.0,1.0,"[[0], [0]]"
1x1,2.032145239,0.677374359,1.354778164,3.532260321,0.0,2.032145239,2.032145239,1.427422518,0.0,0.0,1.427422518,1.354778164,0.0,0.677374359,0.0,6.096431255,5.419038788,1.427422518,2.104826323,5.177720236,5.637047401,9.460044487000001,0.0,0.0,0.0,0.750048159,0.750048159,2.709539501,0.677374359,0.0,0.0,1.354778164,0.677374359,2.709539501,0.0,0.0,2.032145239,0.677374359,0.0,0.677374359,0.677374359,0.0,0.677374359,0.677374359,0.0,71.40371079,0.0,0.677374359,0.677374359,1.354778164,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,6.169086947,0.750048159,0.677374359,0.677374359,19.16092012,0.750048159,2.709539501,0.677374359,0.0,7.814595358,0.0,0.750048159,3.6049026829999997,1.354778164,6.991817946,0.0,0.0,5.419038788,30.00273442,0.0,11.056081869,2.104826323,0.677374359,0.0,0.0,0.750048159,1.427422518,0.750048159,0.0,2.250124519,2.104826323,0.0,0.677374359,1.354778164,2.032145239,0.0,0.677374359,3.386922882,0.0,0.0,4.4276630070000005,0.0,0.677374359,1.354778164,1.354778164,0.0,42.67169015,0.750048159,0.0,0.750048159,0.0,4.06430671,1.354778164,0.0,2.854893246,5.564421792,1.354778164,1.354778164,0.0,0.0,0.0,24.677936211,0.750048159,0.0,0.0,0.0,1.354778164,0.0,0.0,0.0,1.427422518,0.0,0.0,0.677374359,0.750048159,0.0,0.677374359,0.0,0.08281185,0.042238232,0.002066792,0.023121945,0.0,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.0,0.178221654,0.0,0.0,0.0,0.347243545,0.246967114,0.0,0.0,1.0,1.0,"[[0], [1]]"
2x2,12.91874249,12.91874249,0.0,1.500115082,0.0,1.291975653,0.0,0.750048159,0.0,0.0,2.042023812,1.291975653,0.0,0.0,0.0,0.0,1.291975653,0.750048159,0.750048159,4.500345877,3.5421001719999996,6.750504986,0.0,0.0,0.0,0.750048159,3.333982132,0.0,0.0,0.0,0.0,0.0,5.167938006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,1.291975653,0.0,0.0,51.75941847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,0.750048159,0.750048159,0.0,0.0,16.751852708999998,4.626006652,0.0,0.0,0.0,3.750288648,0.0,0.750048159,3.5421001719999996,0.0,2.250124519,0.0,0.0,5.167938006,30.00273442,0.0,2.250124519,0.750048159,1.291975653,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.750288648,1.291975653,0.0,0.0,0.0,0.0,25.84108084,0.750048159,0.0,0.750048159,0.0,1.291975653,0.0,0.0,1.500115082,4.084049055,0.0,1.291975653,0.0,0.0,0.0,3.000184291,0.750048159,0.0,0.0,0.0,0.0,0.0,1.291975653,2.583933973,0.750048159,1.291975653,0.0,0.0,4.626006652,0.0,0.0,1.291975653,0.021712484,0.042238232,0.015539598,0.037199803000000004,0.0,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.0,0.28997642,0.0,0.0,0.0,0.344041141,0.052916666,0.0,0.0,1.0,1.0,"[[0], [2]]"
3x3,5.100283239,7.650475889,1.275097431,2.775212513,1.275097431,0.0,0.0,0.750048159,0.0,0.0,8.400524048,0.0,1.275097431,0.0,0.0,0.0,2.55017695,2.02514559,0.750048159,7.050522827,4.800301469,9.300681936,1.275097431,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,2.55017695,3.825252007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.375305256,0.0,0.0,58.134723726,0.0,0.0,0.0,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,14.100283239,0.750048159,0.0,0.0,0.0,5.0253860790000004,0.0,0.750048159,3.5252219499999997,0.0,2.250124519,0.0,0.0,14.02449903,44.02723345,0.0,11.175569813,0.750048159,0.0,0.0,2.55017695,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,0.0,0.0,2.55017695,0.0,0.0,0.0,5.100283239,0.0,3.750288648,1.275097431,0.0,0.0,0.0,0.0,113.4721922,4.575300166,0.0,0.750048159,0.0,2.55017695,0.0,0.0,1.500115082,1.500115082,0.0,1.275097431,0.0,0.0,0.0,3.000184291,0.750048159,0.0,0.0,0.0,1.275097431,0.0,0.0,0.0,0.750048159,0.0,0.0,0.0,0.750048159,1.275097431,0.0,1.275097431,0.0,0.050611444,0.025149396,0.05855732400000001,0.0,0.037800293,0.0,0.0,0.0,0.0,0.068734532,0.0,0.459519217,0.0,0.0,0.031295209,0.360099634,0.006533653,0.0,0.0,1.0,1.0,"[[0], [3]]"
4x4,4.746454866,0.0,0.0,1.500115082,0.0,0.0,2.373261425,0.750048159,0.0,2.373261425,7.869748466,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.750048159,4.500345877,2.250124519,11.496959852,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,0.0,2.373261425,0.0,0.0,84.98099399,0.0,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,0.0,2.373261425,0.750048159,0.750048159,0.0,2.373261425,25.61164813,0.750048159,9.493007904,0.0,0.0,10.869988955,0.0,0.750048159,2.250124519,2.373261425,2.250124519,0.0,0.0,4.746454866,30.00273442,2.373261425,14.114834499,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.750288648,7.119700307,0.0,0.0,0.0,0.0,23.73432141,0.750048159,0.0,0.750048159,0.0,4.746454866,0.0,0.0,1.500115082,8.619815389,0.0,0.0,0.0,0.0,0.0,36.221759811,3.123309584,0.0,0.0,0.0,0.0,0.0,4.746454866,0.0,0.750048159,0.0,0.0,0.0,0.750048159,0.0,0.0,2.373261425,0.0,0.06227071,0.017655118,0.042575865000000004,0.0,0.036822939,0.011314421,0.0,0.0,0.0,0.047053807,0.0,0.178221654,0.006760343,0.0,0.027940554,0.39718983799999996,0.017149055,0.0,0.0,1.0,1.0,"[[0], [4]]"
5x5,1.448612149,2.897265563,1.448612149,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,4.5133996530000005,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,1.448612149,0.0,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.297051627,0.0,0.0,0.0,0.0,1.61613409,4.345889776,0.0,0.0,74.78513007000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,5.794539066,1.448612149,1.448612149,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,5.794539066,28.863937630000002,0.0,20.949259782,1.61613409,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,4.345889776,0.0,2.897265563,1.61613409,0.0,0.0,0.0,1.448612149,0.0,0.0,0.0,0.0,124.75277799,0.0,0.0,0.0,3.0647462389999998,4.345889776,0.0,0.0,1.61613409,1.61613409,1.448612149,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,1.448612149,0.0,0.0,4.345889776,0.008201873,0.042137443,0.034451467,0.043277011000000004,0.0,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.0,0.354259626,0.0,0.0,0.0,0.521174958,0.0,0.0,0.0,1.0,1.0,"[[1], [0]]"
6x6,2.032145239,0.677374359,1.354778164,2.032145239,0.0,3.648279329,2.032145239,0.677374359,0.0,0.0,2.293508449,1.354778164,0.0,0.677374359,0.0,6.096431255,5.419038788,0.677374359,1.354778164,0.677374359,3.386922882,5.941874151,0.0,0.0,0.0,0.0,0.0,2.709539501,0.677374359,0.0,0.0,1.354778164,0.677374359,2.709539501,0.0,0.0,6.8805847170000005,0.677374359,0.0,0.677374359,0.677374359,1.61613409,0.677374359,0.677374359,0.0,84.28904252000001,0.0,0.677374359,0.677374359,1.354778164,0.0,0.677374359,0.0,5.419038788,0.677374359,0.677374359,2.709539501,5.419038788,0.0,0.677374359,0.677374359,10.16092012,0.0,2.709539501,0.677374359,0.0,4.06430671,0.0,0.0,2.970912254,1.354778164,4.741693427,0.0,0.0,5.419038788,12.92836054,0.0,15.270616812,2.970912254,0.677374359,0.0,0.0,0.0,0.677374359,0.0,0.0,0.0,1.354778164,0.0,0.677374359,1.354778164,2.032145239,0.0,0.677374359,5.0030569719999995,0.0,0.0,0.677374359,0.0,0.677374359,1.354778164,1.354778164,0.0,44.287824240000006,0.0,0.0,0.0,1.61613409,4.06430671,1.354778164,0.0,2.970912254,5.6804408,1.354778164,1.354778164,0.0,0.0,0.0,23.293886009999998,0.0,0.0,0.0,0.0,1.354778164,1.61613409,0.0,0.0,0.677374359,0.0,0.0,0.677374359,0.0,0.0,0.677374359,0.0,0.08281185,0.042137443,0.009193861,0.005065117,0.0,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.0,0.167070254,0.0,0.0,0.0,0.355016026,0.246967114,0.0,0.0,1.0,1.0,"[[1], [1]]"
7x7,12.91874249,12.91874249,0.0,0.0,0.0,2.908109743,0.0,0.0,0.0,0.0,2.908109743,1.291975653,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,1.291975653,3.23233465,0.0,0.0,0.0,0.0,2.583933973,0.0,0.0,0.0,0.0,0.0,5.167938006,0.0,0.0,0.0,4.848439478,0.0,0.0,0.0,0.0,2.908109743,1.291975653,0.0,0.0,64.6447502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,7.751852709,3.875958493,0.0,0.0,0.0,0.0,0.0,0.0,2.908109743,0.0,0.0,0.0,0.0,5.167938006,12.92836054,0.0,6.464659462,1.61613409,1.291975653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,1.291975653,0.0,0.0,0.0,0.0,27.45721493,0.0,0.0,0.0,1.61613409,1.291975653,0.0,0.0,1.61613409,4.200068063,0.0,1.291975653,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,1.61613409,1.291975653,2.583933973,0.0,1.291975653,0.0,0.0,3.875958493,0.0,0.0,1.291975653,0.021712484,0.042137443,0.022666667,0.019142975,0.0,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.0,0.27882502,0.0,0.0,0.0,0.351813622,0.052916666,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,5.100283239,7.650475889,1.275097431,1.275097431,1.275097431,1.61613409,0.0,0.0,0.0,0.0,9.266609979,0.0,1.275097431,0.0,0.0,0.0,2.55017695,1.275097431,0.0,2.55017695,2.55017695,5.782511599999999,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55017695,3.825252007,0.0,0.0,4.848439478,0.0,0.0,0.0,0.0,1.61613409,6.375305256,0.0,0.0,71.02005545600001,0.0,0.0,0.0,1.275097431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.100283239,0.0,0.0,0.0,0.0,1.275097431,0.0,0.0,2.891231521,0.0,0.0,0.0,0.0,14.02449903,26.95285957,0.0,15.390104756,1.61613409,0.0,0.0,2.55017695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55017695,0.0,0.0,1.61613409,5.100283239,0.0,0.0,1.275097431,0.0,0.0,0.0,0.0,115.08832629,3.825252007,0.0,0.0,1.61613409,2.55017695,0.0,0.0,1.61613409,1.61613409,0.0,1.275097431,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,1.275097431,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275097431,0.0,1.275097431,0.0,0.050510654999999995,0.032276465,0.040500496000000004,0.0,0.030570295999999997,0.0,0.0,0.0,0.0,0.02550617,0.0,0.44836781699999995,0.0,0.0,0.031295209,0.36787211499999994,0.006533653,0.0,0.0,1.0,1.0,"[[1], [3]]"
9x9,4.746454866,0.0,0.0,0.0,0.0,1.61613409,2.373261425,0.0,0.0,2.373261425,8.735834397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.978789515999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,4.848439478,0.0,0.0,0.0,2.373261425,1.61613409,2.373261425,0.0,0.0,97.86632572,0.0,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,0.0,2.373261425,0.0,0.0,0.0,2.373261425,16.61164813,0.0,9.493007904,0.0,0.0,7.119700307,0.0,0.0,1.61613409,2.373261425,0.0,0.0,0.0,4.746454866,12.92836054,2.373261425,18.329369442,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,7.119700307,0.0,0.0,0.0,0.0,25.3504555,0.0,0.0,0.0,1.61613409,4.746454866,0.0,0.0,1.61613409,8.735834397,0.0,0.0,0.0,0.0,0.0,34.837709610000005,2.373261425,0.0,0.0,0.0,0.0,1.61613409,4.746454866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373261425,0.0,0.062169920999999996,0.024782186999999997,0.024519037,0.0,0.029592941999999997,0.011314421,0.0,0.0,0.0,0.003825445,0.0,0.167070254,0.006760343,0.0,0.027940554,0.40496231899999996,0.017149055,0.0,0.0,1.0,1.0,"[[1], [4]]"
