coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Pericytes,Excitatory,permutationTracker
0x0,0.0,0.0,0.0,8.221940883,0.0,0.0,10.6439411,1.8703612760000001,0.0,0.560163093,8.031948497,0.560163093,0.0,0.0,0.0,0.560163093,11.76438809,1.310211252,0.750048159,4.500345877,3.370437636,7.310668079,0.560163093,0.560163093,8.962308815,2.990682277,1.310211252,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,1.680464131,1.120313117,0.0,0.0,0.0,0.0,0.560163093,0.0,0.560163093,17.92343619,0.560163093,0.0,51.75941847,0.0,0.560163093,2.240634118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753804409,0.750048159,0.560163093,3.921075182,19.6439411,4.11098704,0.0,0.0,0.0,3.750288648,0.0,1.310211252,2.250124519,1.120313117,2.250124519,0.560163093,0.0,3.921075182,30.00273442,0.0,2.8102876119999998,7.47187396,0.560163093,0.0,0.560163093,0.750048159,0.750048159,0.750048159,0.0,21.294844789,1.310211252,1.120313117,3.921075182,0.0,11.76438809,0.0,10.6439411,1.120313117,0.0,1.120313117,3.750288648,1.120313117,0.0,0.0,0.560163093,0.560163093,0.560163093,1.310211252,0.0,1.8703612760000001,0.0,0.0,16.24249068,0.0,1.500115082,2.620428199,0.0,8.962308815,2.240634118,0.560163093,0.560163093,3.560347384,0.750048159,0.0,0.0,0.0,0.0,0.0,13.44441641,0.0,1.8703612760000001,0.0,0.0,3.921075182,0.750048159,0.560163093,0.0,0.0,0.002912167,0.078725568,0.002066792,0.055350811,0.0,0.032435668,0.0,0.01280025,0.0,0.0,0.12568754399999998,0.0,0.178221654,0.0,0.050427299,0.0,0.590329852,0.0,0.0,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.516421733,2.582036443,11.311964788000001,0.0,0.516421733,3.614875615,17.276741978999997,0.0,0.0,2.299283907,0.0,0.0,1.032825032,0.516421733,15.49301295,5.68051587,1.266469892,1.266469892,4.500345877,3.2829495509999997,6.750504986,0.516421733,0.0,0.0,0.750048159,1.266469892,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,2.582036443,0.516421733,0.0,0.0,1.549235748,0.0,0.0,0.516421733,0.516421733,0.0,0.0,0.0,51.75941847,0.0,7.229813622,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,10.044423526000001,0.750048159,0.0,1.032825032,15.196975098,1.7828731910000002,20.65708495,0.0,1.549235748,3.750288648,0.516421733,2.299283907,2.250124519,0.516421733,2.766546252,0.0,0.0,6.713296038,30.00273442,0.0,3.2829495509999997,0.750048159,1.032825032,0.0,0.0,2.299283907,0.750048159,1.266469892,0.516421733,3.2829495509999997,10.044423526000001,1.032825032,0.0,1.032825032,5.68051587,0.516421733,23.23817965,2.065631854,0.516421733,2.582036443,3.750288648,1.549235748,0.0,11.36232054,0.0,1.549235748,0.0,0.750048159,0.0,0.750048159,0.0,0.0,5.164104604,0.0,2.0165368150000003,1.500115082,0.0,10.32921973,0.0,0.0,0.516421733,3.516606024,1.7828731910000002,0.0,0.516421733,0.516421733,1.032825032,0.0,6.713296038,0.0,0.750048159,0.516421733,2.065631854,3.614875615,0.750048159,0.0,0.0,0.0,0.0,0.042238232,0.002066792,0.031322657000000004,0.016352126,0.032435668,0.117066428,0.0,0.0,0.0,0.110677493,0.0,0.178221654,0.0,0.011299983,0.0,0.643118875,0.0,0.0,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,0.0,1.500115082,0.0,0.0,0.0,6.0297641120000005,0.0,0.0,11.308508839,0.0,0.0,0.0,0.0,10.55846068,5.279715953,0.750048159,6.0297641120000005,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,6.0297641120000005,0.750048159,10.55846068,0.0,0.0,0.0,0.0,10.55846068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.83836813,0.0,0.0,51.75941847,5.279715953,10.55846068,5.279715953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.431399059,0.750048159,0.0,0.0,9.0,16.588416288999998,31.6813509,5.279715953,0.0,3.750288648,0.0,0.750048159,2.250124519,0.0,2.250124519,5.279715953,0.0,10.55846068,30.00273442,0.0,2.250124519,6.0297641120000005,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,11.308508839,0.0,0.0,0.0,15.83836813,0.0,26.39681014,0.0,0.0,5.279715953,3.750288648,0.0,0.0,15.83836813,0.0,0.0,0.0,0.750048159,0.0,0.750048159,5.279715953,0.0,10.55846068,0.0,1.500115082,1.500115082,0.0,42.24142525,0.0,0.0,0.0,3.000184291,0.750048159,0.0,0.0,0.0,0.0,0.0,21.12075776,0.0,0.750048159,5.279715953,5.279715953,0.0,0.750048159,0.0,0.0,0.0,0.0,0.09083617199999999,0.002066792,0.023121945,0.002580838,0.032435668,0.021738598,0.061778678,0.0,0.0,0.10967384200000001,0.298613759,0.178221654,0.0,0.045796057,0.0,0.532091944,0.0,0.002601846,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.0,0.0,2.379388626,0.879273544,1.758608055,5.27581308,0.750048159,0.0,0.0,9.5429184,3.517207078,0.0,0.879273544,0.0,5.27581308,7.913740775,1.629321703,2.508656214,5.379619421,3.129398063,7.62977853,0.879273544,0.0,0.879273544,15.697819499,1.629321703,8.792870241,1.758608055,0.0,0.879273544,0.0,5.27581308,0.879273544,0.0,0.0,1.758608055,0.0,0.0,0.0,0.879273544,0.879273544,0.0,0.879273544,1.758608055,51.75941847,0.0,0.879273544,0.0,0.0,8.792870241,0.0,0.879273544,27.25530502,0.879273544,0.879273544,8.792870241,3.387941819,0.750048159,0.879273544,0.879273544,9.879273544,4.2672552370000005,0.879273544,0.0,2.63789366,3.750288648,0.0,0.750048159,3.129398063,0.0,3.129398063,1.758608055,0.0,0.0,30.00273442,0.879273544,11.923456062,0.750048159,0.879273544,0.0,0.879273544,1.629321703,2.508656214,1.629321703,0.0,4.008732574,2.508656214,0.0,4.396472894,0.879273544,9.673331543,0.0,16.70516588,0.0,0.879273544,4.396472894,3.750288648,0.879273544,0.0,4.396472894,1.758608055,5.27581308,0.0,1.629321703,0.0,0.750048159,0.879273544,0.0,4.396472894,0.0,3.258723137,1.500115082,1.758608055,7.913740775,0.0,0.0,0.0,3.000184291,3.387941819,0.879273544,0.0,0.0,9.673331543,0.0,9.673331543,0.0,0.750048159,0.879273544,2.63789366,0.879273544,0.750048159,3.517207078,0.0,0.0,0.0,0.05241994,0.002066792,0.070091372,0.0,0.032435668,0.0,0.008975219,0.0,0.0,0.109766823,0.0,0.872091356,0.0,0.150238765,0.0,0.553880759,0.0,0.0,0.049909825,1.0,1.0,"[[0], [3]]"
4x4,0.360786525,0.0,0.721591065,32.889298582,1.443149259,0.360786525,2.886332908,8.687423556,0.360786525,0.360786525,2.193197418,1.803948289,0.0,1.082380077,12.98942937,10.46304507,28.14070135,2.193197418,2.914802469,4.861132402,2.610911044,7.472096051,0.360786525,0.0,0.721591065,0.750048159,0.750048159,0.0,0.721591065,0.0,0.360786525,2.525494163,7.576498184,1.443149259,0.0,0.0,0.360786525,9.380063253,0.0,0.0,0.360786525,0.0,0.721591065,0.0,0.360786525,51.75941847,0.360786525,3.968668243,2.886332908,22.36684082,8.298223906,0.721591065,0.0,0.721591065,0.360786525,1.082380077,1.443149259,6.5227194840000005,0.750048159,0.0,0.721591065,13.690232345,3.636381067,6.494281465,3.968668243,0.0,4.471879713,1.082380077,0.750048159,2.250124519,0.0,4.414878829,0.0,0.721591065,0.721591065,30.00273442,0.0,5.136457427,9.770792912000001,0.360786525,0.0,2.16475431,1.110834684,0.750048159,1.110834684,0.0,2.610911044,9.770792912000001,0.360786525,0.721591065,1.443149259,8.298223906,0.721591065,7.937375397,14.43121066,0.0,1.803948289,3.750288648,1.443149259,0.360786525,5.051039668,0.0,0.360786525,0.0,2.553996448,1.082380077,1.110834684,0.0,3.968668243,7.576498184,0.360786525,1.500115082,1.500115082,0.721591065,5.411800485,0.0,0.0,0.0,3.360970816,2.193197418,0.360786525,0.360786525,0.721591065,0.0,1.443149259,7.215802676,0.0,9.048272065,1.082380077,2.886332908,1.803948289,1.110834684,0.721591065,0.0,1.082380077,0.0,0.042966805000000004,0.002066792,0.023121945,0.078810091,0.032435668,0.001710878,0.0,0.0,0.0,0.090905981,0.0,0.178221654,0.0,0.0,0.149637708,0.40826802799999995,0.743130894,0.0,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,0.0,6.721825801,0.0,1.61613409,10.6439411,1.120313117,0.0,0.560163093,8.898034427999999,0.560163093,0.0,0.0,0.0,0.560163093,11.76438809,0.560163093,0.0,0.0,1.120313117,3.7924977429999998,0.560163093,0.560163093,8.962308815,2.240634118,0.560163093,0.560163093,0.0,1.120313117,1.120313117,0.560163093,9.522041249,1.680464131,1.120313117,0.0,4.848439478,0.0,0.0,0.560163093,0.0,2.176297183,17.92343619,0.560163093,0.0,64.6447502,0.0,0.560163093,2.240634118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.00375625,0.0,0.560163093,3.921075182,10.6439411,3.360938881,0.0,0.0,0.0,0.0,0.0,0.560163093,1.61613409,1.120313117,0.0,0.560163093,0.0,3.921075182,12.92836054,0.0,7.024822555,8.337959891,0.560163093,0.0,0.560163093,0.0,0.0,0.0,0.0,19.04472027,0.560163093,1.120313117,3.921075182,0.0,11.76438809,0.0,10.6439411,2.7364472070000003,0.0,1.120313117,0.0,1.120313117,0.0,0.0,0.560163093,0.560163093,2.176297183,0.560163093,0.0,1.120313117,1.61613409,0.0,16.24249068,0.0,1.61613409,2.7364472070000003,0.0,8.962308815,2.240634118,0.560163093,0.560163093,2.176297183,0.0,0.0,0.0,0.0,0.0,1.61613409,13.44441641,0.0,1.120313117,0.0,0.0,3.921075182,0.0,0.560163093,0.0,0.0,0.002912167,0.078624779,0.009193861,0.037293983,0.0,0.025205671,0.0,0.01280025,0.0,0.0,0.08245918199999999,0.0,0.167070254,0.0,0.050427299,0.0,0.5981023329999999,0.0,0.0,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.516421733,2.582036443,9.811849706,0.0,2.132555823,3.614875615,16.52669382,0.0,0.0,3.165369838,0.0,0.0,1.032825032,0.516421733,15.49301295,5.68051587,0.516421733,0.516421733,0.0,1.032825032,3.23233465,0.516421733,0.0,0.0,0.0,0.516421733,2.582036443,0.516421733,0.0,0.0,0.0,5.68051587,2.582036443,0.516421733,0.0,4.848439478,1.549235748,0.0,0.0,0.516421733,2.132555823,0.0,0.0,0.0,64.6447502,0.0,7.229813622,4.131330645,4.131330645,2.065631854,0.516421733,0.516421733,0.0,0.0,1.032825032,1.032825032,9.294375367,0.0,0.0,1.032825032,6.196975098,1.032825032,20.65708495,0.0,1.549235748,0.0,0.516421733,1.549235748,1.61613409,0.516421733,0.516421733,0.0,0.0,6.713296038,12.92836054,0.0,7.497484494,1.61613409,1.032825032,0.0,0.0,1.549235748,0.0,0.516421733,0.516421733,1.032825032,9.294375367,1.032825032,0.0,1.032825032,5.68051587,0.516421733,23.23817965,3.681765944,0.516421733,2.582036443,0.0,1.549235748,0.0,11.36232054,0.0,1.549235748,1.61613409,0.0,0.0,0.0,1.61613409,0.0,5.164104604,0.0,2.132555823,1.61613409,0.0,10.32921973,0.0,0.0,0.516421733,2.132555823,1.032825032,0.0,0.516421733,0.516421733,1.032825032,1.61613409,6.713296038,0.0,0.0,0.516421733,2.065631854,3.614875615,0.0,0.0,0.0,0.0,0.0,0.042137443,0.009193861,0.013265829,0.016352126,0.025205671,0.117066428,0.0,0.0,0.0,0.067449131,0.0,0.167070254,0.0,0.011299983,0.0,0.650891356,0.0,0.0,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,5.279715953,0.0,0.0,12.174594769999999,0.0,0.0,0.0,0.0,10.55846068,5.279715953,0.0,5.279715953,0.0,0.0,3.23233465,0.0,0.0,0.0,5.279715953,0.0,10.55846068,0.0,0.0,0.0,0.0,10.55846068,0.0,0.0,0.0,4.848439478,0.0,0.0,0.0,0.0,1.61613409,15.83836813,0.0,0.0,64.6447502,5.279715953,10.55846068,5.279715953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6813509,0.0,0.0,0.0,0.0,15.83836813,31.6813509,5.279715953,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,5.279715953,0.0,10.55846068,12.92836054,0.0,6.464659462,6.895850043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55846068,0.0,0.0,0.0,15.83836813,0.0,26.39681014,1.61613409,0.0,5.279715953,0.0,0.0,0.0,15.83836813,0.0,0.0,1.61613409,0.0,0.0,0.0,6.895850043,0.0,10.55846068,0.0,1.61613409,1.61613409,0.0,42.24142525,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,1.61613409,21.12075776,0.0,0.0,5.279715953,5.279715953,0.0,0.0,0.0,0.0,0.0,0.0,0.090735383,0.009193861,0.005065117,0.002580838,0.025205671,0.021738598,0.061778678,0.0,0.0,0.06644548,0.298613759,0.167070254,0.0,0.045796057,0.0,0.539864425,0.0,0.002601846,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.0,0.0,0.879273544,0.879273544,3.374742145,5.27581308,0.0,0.0,0.0,10.409004330999998,3.517207078,0.0,0.879273544,0.0,5.27581308,7.913740775,0.879273544,1.758608055,0.879273544,0.879273544,4.1116081939999995,0.879273544,0.0,0.879273544,14.94777134,0.879273544,8.792870241,1.758608055,0.0,0.879273544,0.0,5.27581308,0.879273544,0.0,0.0,6.607047533,0.0,0.0,0.0,0.879273544,2.495407634,0.0,0.879273544,1.758608055,64.6447502,0.0,0.879273544,0.0,0.0,8.792870241,0.0,0.879273544,27.25530502,0.879273544,0.879273544,8.792870241,2.63789366,0.0,0.879273544,0.879273544,0.879273544,3.517207078,0.879273544,0.0,2.63789366,0.0,0.0,0.0,2.495407634,0.0,0.879273544,1.758608055,0.0,0.0,12.92836054,0.879273544,16.137991005,1.61613409,0.879273544,0.0,0.879273544,0.879273544,1.758608055,0.879273544,0.0,1.758608055,1.758608055,0.0,4.396472894,0.879273544,9.673331543,0.0,16.70516588,1.61613409,0.879273544,4.396472894,0.0,0.879273544,0.0,4.396472894,1.758608055,5.27581308,1.61613409,0.879273544,0.0,0.0,2.495407634,0.0,4.396472894,0.0,3.374742145,1.61613409,1.758608055,7.913740775,0.0,0.0,0.0,1.61613409,2.63789366,0.879273544,0.0,0.0,9.673331543,1.61613409,9.673331543,0.0,0.0,0.879273544,2.63789366,0.879273544,0.0,3.517207078,0.0,0.0,0.0,0.052319150999999994,0.009193861,0.052034544,0.0,0.025205671,0.0,0.008975219,0.0,0.0,0.066538461,0.0,0.860939956,0.0,0.150238765,0.0,0.56165324,0.0,0.0,0.049909825,1.0,1.0,"[[1], [3]]"
9x9,0.360786525,0.0,0.721591065,31.3891835,1.443149259,1.976920615,2.886332908,7.937375397,0.360786525,0.360786525,3.059283349,1.803948289,0.0,1.082380077,12.98942937,10.46304507,28.14070135,1.443149259,2.16475431,0.360786525,0.360786525,3.953925715,0.360786525,0.0,0.721591065,0.0,0.0,0.0,0.721591065,0.0,0.360786525,2.525494163,7.576498184,1.443149259,0.0,0.0,5.209226003,9.380063253,0.0,0.0,0.360786525,1.61613409,0.721591065,0.0,0.360786525,64.6447502,0.360786525,3.968668243,2.886332908,22.36684082,8.298223906,0.721591065,0.0,0.721591065,0.360786525,1.082380077,1.443149259,5.772671325,0.0,0.0,0.721591065,4.690232345,2.886332908,6.494281465,3.968668243,0.0,0.721591065,1.082380077,0.0,1.61613409,0.0,2.16475431,0.0,0.721591065,0.721591065,12.92836054,0.0,9.35099237,10.636878843000002,0.360786525,0.0,2.16475431,0.360786525,0.0,0.360786525,0.0,0.360786525,9.020744753,0.360786525,0.721591065,1.443149259,8.298223906,0.721591065,7.937375397,16.04734475,0.0,1.803948289,0.0,1.443149259,0.360786525,5.051039668,0.0,0.360786525,1.61613409,1.803948289,1.082380077,0.360786525,1.61613409,3.968668243,7.576498184,0.360786525,1.61613409,1.61613409,0.721591065,5.411800485,0.0,0.0,0.0,1.976920615,1.443149259,0.360786525,0.360786525,0.721591065,0.0,3.059283349,7.215802676,0.0,8.298223906,1.082380077,2.886332908,1.803948289,0.360786525,0.721591065,0.0,1.082380077,0.0,0.042866016,0.009193861,0.005065117,0.078810091,0.025205671,0.001710878,0.0,0.0,0.0,0.047677619,0.0,0.167070254,0.0,0.0,0.149637708,0.416040509,0.743130894,0.0,0.0,1.0,1.0,"[[1], [4]]"
