coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Pericytes,Microglia,Pericytes Microglia
0x0,0.891907941,0.0,15.16218226,1.500115082,0.0,18.72876956,0.0,2.533860783,0.0,0.0,2.533860783,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,1.6419561,0.750048159,4.500345877,2.250124519,8.53431761,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.891907941,0.0,0.0,0.0,9.811849706,8.919048185,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.0,51.75941847,0.0,0.891907941,1.783812624,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,7.885468556,1.6419561,0.891907941,0.0,12.567620359,1.6419561,0.0,0.0,0.0,4.642196589,0.0,0.750048159,2.250124519,0.0,4.033937143,0.0,0.0,19.62053838,30.00273442,0.0,2.250124519,0.750048159,15.16218226,0.0,0.0,1.6419561,0.750048159,0.750048159,0.0,2.250124519,2.533860783,0.0,0.0,0.0,3.567620359,0.0,2.675784144,1.783812624,0.0,1.783812624,7.317909007000001,0.0,2.675784144,0.0,0.0,0.0,0.0,0.750048159,0.0,0.750048159,46.38053933,0.0,8.027344162,0.891907941,1.500115082,10.419163267,0.0,3.567620359,0.0,0.891907941,0.0,3.000184291,9.669096344,4.459589628,7.135420397,0.0,0.0,0.0,1.783812624,0.0,0.750048159,0.891907941,0.0,0.891907941,0.750048159,0.0,0.891907941,12.48652308,0.02634885,0.047817475,0.026930230000000003,0.063993164,0.0,0.032435668,0.0,0.0,0.0,0.0,0.061291858000000005,0.0,0.207630747,0.0,0.0,0.000762815,0.51015088,0.0,0.0,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,0.0,1.500115082,0.0,6.022148348,0.0,0.750048159,0.0,0.0,0.750048159,6.022148348,0.0,0.0,0.0,0.0,12.04367592,0.750048159,0.750048159,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,6.772196507,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,51.75941847,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.750048159,0.750048159,6.022148348,0.0,9.0,0.750048159,0.0,0.0,6.022148348,3.750288648,0.0,0.750048159,2.250124519,0.0,26.340086309,0.0,0.0,0.0,30.00273442,0.0,2.250124519,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.750288648,0.0,0.0,0.0,6.022148348,12.04367592,0.0,0.750048159,0.0,0.750048159,102.3713052,0.0,0.0,0.0,1.500115082,1.500115082,0.0,6.022148348,0.0,0.0,0.0,3.000184291,6.772196507,0.0,0.0,0.0,0.0,0.0,12.04367592,6.022148348,0.750048159,0.0,0.0,0.0,0.750048159,0.0,0.0,0.0,0.002387402,0.042238232,0.021745381,0.040088803000000006,0.002447184,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.0,0.178221654,0.0,0.0,0.0,0.44890462499999995,0.005567434,0.000391101,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,2.889914001,0.0,4.390029083,0.0,0.0,1.444950101,0.750048159,0.0,0.0,2.19499826,0.0,0.0,0.0,1.444950101,7.224888137,10.11475771,2.19499826,0.750048159,4.500345877,2.250124519,6.750504986,0.0,0.0,1.444950101,0.750048159,2.19499826,1.444950101,1.444950101,0.0,0.0,0.0,2.889914001,2.889914001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.75941847,0.0,0.0,0.0,1.444950101,0.0,0.0,0.0,4.334945658,1.444950101,0.0,0.0,5.084993817,0.750048159,8.669855849,0.0,9.0,0.750048159,2.889914001,0.0,0.0,3.750288648,1.444950101,0.750048159,2.250124519,0.0,2.250124519,0.0,1.444950101,1.444950101,30.00273442,0.0,2.250124519,5.084993817,0.0,0.0,0.0,3.63996216,0.750048159,0.750048159,0.0,2.250124519,2.19499826,0.0,0.0,0.0,5.779848666,0.0,1.444950101,0.0,1.444950101,0.0,5.1952387490000005,0.0,0.0,0.0,0.0,10.11475771,0.0,0.750048159,0.0,0.750048159,65.02372147,0.0,15.89662634,0.0,1.500115082,10.169970931,0.0,2.889914001,0.0,0.0,1.444950101,3.000184291,3.63996216,0.0,1.444950101,0.0,0.0,0.0,4.334945658,0.0,0.750048159,1.444950101,1.444950101,1.444950101,2.19499826,0.0,0.0,0.0,0.0,0.042238232,0.014276038,0.036741546,0.0,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.0,0.46572984300000003,0.0,0.0,0.103260324,0.32380881,0.31084095,0.0,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.0,0.96942751,24.23480772,2.469542592,0.484704415,19.87372704,0.0,2.204191922,0.484704415,0.0,1.719475669,0.484704415,3.392987829,0.96942751,0.0,0.0,1.938799789,1.234752574,0.750048159,4.985050292,2.250124519,8.204648749,0.0,0.484704415,0.0,0.750048159,0.750048159,0.0,2.423576211,0.0,0.0,0.96942751,6.301128633,11.1478662,0.0,0.0,1.454143763,0.484704415,0.0,0.0,0.484704415,0.0,0.0,0.0,0.0,51.75941847,0.0,0.0,1.938799789,0.0,0.0,0.0,0.0,0.0,0.484704415,0.0,0.484704415,3.1736243699999998,0.750048159,0.0,0.0,17.239958061,0.750048159,0.484704415,0.484704415,0.0,4.719716158000001,0.484704415,0.750048159,2.250124519,0.484704415,3.219552029,0.0,0.96942751,33.93011376,30.00273442,0.0,2.250124519,1.719475669,0.0,0.0,0.96942751,0.750048159,0.750048159,1.234752574,0.0,3.704268282,1.234752574,0.484704415,0.484704415,0.0,0.0,0.0,1.938799789,1.938799789,0.484704415,0.0,6.658517621,0.0,5.33184099,0.484704415,0.0,0.484704415,0.0,0.750048159,0.96942751,0.750048159,37.80610014,0.0,5.816477413,0.0,1.500115082,3.4389148709999997,0.96942751,0.484704415,0.0,0.484704415,0.484704415,3.969611801,3.658277132,3.87764288,2.908228973,0.0,0.0,0.0,0.484704415,0.0,0.750048159,0.484704415,2.423576211,1.938799789,0.750048159,0.484704415,0.0,9.693010665,0.0,0.083881473,0.018158717,0.06471721700000001,0.0,0.055492594,0.0,0.085128075,0.0,0.0,0.047053807,0.0,0.819793897,0.0,0.0,0.0,0.304155012,0.0,0.0,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,0.0,1.500115082,1.168652664,2.337336513,0.0,0.750048159,0.0,1.168652664,0.750048159,0.0,0.0,0.0,0.0,0.0,4.674662016,0.750048159,0.750048159,9.175007893,4.587461032,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,3.50598768,0.0,0.0,0.0,0.0,1.168652664,5.843212087,0.0,1.168652664,0.0,1.168652664,0.0,0.0,56.434080486,1.168652664,2.337336513,0.0,0.0,0.0,0.0,0.0,1.168652664,0.0,0.0,0.0,4.256035839,0.750048159,0.0,0.0,16.011982647,0.750048159,0.0,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,1.168652664,6.924786535,0.0,0.0,3.50598768,30.00273442,0.0,3.4187771829999996,1.918700823,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,1.918700823,0.0,1.168652664,0.0,0.0,0.0,2.337336513,1.168652664,0.0,0.0,3.750288648,0.0,0.0,0.0,0.0,1.168652664,26.88046418,0.750048159,0.0,0.750048159,82.96533016,1.168652664,7.011982647,0.0,1.500115082,9.680692558,2.337336513,0.0,0.0,0.0,0.0,6.5061719710000006,14.774547189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.0,0.0,0.750048159,0.0,0.0,0.0,0.01595296,0.042238232,0.035246814,0.08885883800000001,0.0,0.034353094,0.0,0.0,0.0,0.0,0.047053807,0.0,0.5379745739999999,0.0,0.0,0.014984944,0.36821830499999997,0.000742606,0.001060327,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.891907941,0.0,15.16218226,0.0,0.0,20.34490365,0.0,1.783812624,0.0,0.0,3.3999467140000004,0.891907941,0.0,0.0,0.0,0.891907941,1.783812624,0.891907941,0.0,0.0,0.0,5.016147274,0.0,0.0,0.0,0.0,0.0,0.0,0.891907941,0.0,0.0,0.0,9.811849706,8.919048185,0.0,0.0,4.848439478,0.891907941,0.0,0.0,0.0,2.508042031,0.0,0.891907941,0.0,64.6447502,0.0,0.891907941,1.783812624,0.0,0.0,0.0,0.891907941,0.0,0.891907941,0.891907941,0.0,7.135420397,0.891907941,0.891907941,0.0,3.567620359,0.891907941,0.0,0.0,0.0,0.891907941,0.0,0.0,1.61613409,0.0,1.783812624,0.0,0.0,19.62053838,12.92836054,0.0,6.464659462,1.61613409,15.16218226,0.0,0.0,0.891907941,0.0,0.0,0.0,0.0,1.783812624,0.0,0.0,0.0,3.567620359,0.0,2.675784144,3.3999467140000004,0.0,1.783812624,3.567620359,0.0,2.675784144,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,47.99667342,0.0,8.027344162,0.891907941,1.61613409,10.535182275,0.0,3.567620359,0.0,0.891907941,0.0,1.61613409,8.919048185,4.459589628,7.135420397,0.0,0.0,1.61613409,1.783812624,0.0,0.0,0.891907941,0.0,0.891907941,0.0,0.0,0.891907941,12.48652308,0.02634885,0.047716685999999994,0.034057299,0.045936336,0.0,0.025205671,0.0,0.0,0.0,0.0,0.018063496,0.0,0.196479347,0.0,0.0,0.000762815,0.517923361,0.0,0.0,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,0.0,0.0,0.0,7.638282438,0.0,0.0,0.0,0.0,1.61613409,6.022148348,0.0,0.0,0.0,0.0,12.04367592,0.0,0.0,0.0,0.0,3.23233465,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.848439478,0.0,0.0,0.0,0.0,1.61613409,12.04367592,0.0,0.0,64.6447502,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,1.61613409,0.0,24.08996179,0.0,0.0,0.0,12.92836054,0.0,6.464659462,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,6.022148348,12.04367592,1.61613409,0.0,0.0,0.0,103.98743929,0.0,0.0,0.0,1.61613409,1.61613409,0.0,6.022148348,0.0,0.0,0.0,1.61613409,6.022148348,0.0,0.0,0.0,0.0,1.61613409,12.04367592,6.022148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002387402,0.042137443,0.02887245,0.022031975000000002,0.002447184,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.0,0.167070254,0.0,0.0,0.0,0.456677106,0.005567434,0.000391101,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,2.889914001,0.0,2.889914001,0.0,1.61613409,1.444950101,0.0,0.0,0.0,3.061084191,0.0,0.0,0.0,1.444950101,7.224888137,10.11475771,1.444950101,0.0,0.0,0.0,3.23233465,0.0,0.0,1.444950101,0.0,1.444950101,1.444950101,1.444950101,0.0,0.0,0.0,2.889914001,2.889914001,0.0,0.0,4.848439478,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,64.6447502,0.0,0.0,0.0,1.444950101,0.0,0.0,0.0,4.334945658,1.444950101,0.0,0.0,4.334945658,0.0,8.669855849,0.0,0.0,0.0,2.889914001,0.0,0.0,0.0,1.444950101,0.0,1.61613409,0.0,0.0,0.0,1.444950101,1.444950101,12.92836054,0.0,6.464659462,5.951079748,0.0,0.0,0.0,2.889914001,0.0,0.0,0.0,0.0,1.444950101,0.0,0.0,0.0,5.779848666,0.0,1.444950101,1.61613409,1.444950101,0.0,1.444950101,0.0,0.0,0.0,0.0,10.11475771,1.61613409,0.0,0.0,0.0,66.63985556,0.0,15.89662634,0.0,1.61613409,10.285989939,0.0,2.889914001,0.0,0.0,1.444950101,1.61613409,2.889914001,0.0,1.444950101,0.0,0.0,1.61613409,4.334945658,0.0,0.0,1.444950101,1.444950101,1.444950101,1.444950101,0.0,0.0,0.0,0.0,0.042137443,0.021403106999999998,0.018684718,0.0,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.0,0.45457844300000005,0.0,0.0,0.103260324,0.331581291,0.31084095,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.0,0.96942751,24.23480772,0.96942751,0.484704415,21.489861129999998,0.0,1.454143763,0.484704415,0.0,2.5855616,0.484704415,3.392987829,0.96942751,0.0,0.0,1.938799789,0.484704415,0.0,0.484704415,0.0,4.686478413,0.0,0.484704415,0.0,0.0,0.0,0.0,2.423576211,0.0,0.0,0.96942751,6.301128633,11.1478662,0.0,0.0,6.302583241000001,0.484704415,0.0,0.0,0.484704415,1.61613409,0.0,0.0,0.0,64.6447502,0.0,0.0,1.938799789,0.0,0.0,0.0,0.0,0.0,0.484704415,0.0,0.484704415,2.423576211,0.0,0.0,0.0,8.239958061,0.0,0.484704415,0.484704415,0.0,0.96942751,0.484704415,0.0,1.61613409,0.484704415,0.96942751,0.0,0.96942751,33.93011376,12.92836054,0.0,6.464659462,2.5855616,0.0,0.0,0.96942751,0.0,0.0,0.484704415,0.0,1.454143763,0.484704415,0.484704415,0.484704415,0.0,0.0,0.0,1.938799789,3.554933879,0.484704415,0.0,2.908228973,0.0,5.33184099,0.484704415,0.0,0.484704415,1.61613409,0.0,0.96942751,0.0,39.42223423,0.0,5.816477413,0.0,1.61613409,3.554933879,0.96942751,0.484704415,0.0,0.484704415,0.484704415,2.5855616,2.908228973,3.87764288,2.908228973,0.0,0.0,1.61613409,0.484704415,0.0,0.0,0.484704415,2.423576211,1.938799789,0.0,0.484704415,0.0,9.693010665,0.0,0.083780684,0.025285785999999998,0.046660389000000004,0.0,0.048262597,0.0,0.085128075,0.0,0.0,0.003825445,0.0,0.808642497,0.0,0.0,0.0,0.311927493,0.0,0.0,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,0.0,0.0,1.168652664,3.953470603,0.0,0.0,0.0,1.168652664,1.61613409,0.0,0.0,0.0,0.0,0.0,4.674662016,0.0,0.0,4.674662016,2.337336513,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.50598768,0.0,0.0,0.0,4.848439478,1.168652664,5.843212087,0.0,1.168652664,1.61613409,1.168652664,0.0,0.0,69.319412216,1.168652664,2.337336513,0.0,0.0,0.0,0.0,0.0,1.168652664,0.0,0.0,0.0,3.50598768,0.0,0.0,0.0,7.011982647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,1.168652664,4.674662016,0.0,0.0,3.50598768,12.92836054,0.0,7.633312126,2.7847867539999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168652664,0.0,1.168652664,0.0,0.0,0.0,2.337336513,2.7847867539999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168652664,28.49659827,0.0,0.0,0.0,84.58146425,1.168652664,7.011982647,0.0,1.61613409,9.796711565999999,2.337336513,0.0,0.0,0.0,0.0,5.12212177,14.02449903,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01595296,0.042137443,0.042373883,0.07080201,0.0,0.027123097,0.0,0.0,0.0,0.0,0.003825445,0.0,0.526823174,0.0,0.0,0.014984944,0.37599078599999997,0.000742606,0.001060327,0.0,1.0,1.0,"[[1], [4]]"
