coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Pericytes,ODImmature2
0x0,0.0,0.0,1.649354052,3.1494691340000003,0.0,0.824693815,0.0,1.5747419740000002,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.0,1.649354052,0.750048159,1.5747419740000002,4.500345877,2.250124519,38.087525336,4.948123813,0.0,1.649354052,0.750048159,0.750048159,0.0,2.47408148,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,0.0,0.824693815,0.0,0.0,51.75941847,0.0,0.0,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.048776493,0.750048159,0.824693815,0.0,10.649354052,1.5747419740000002,0.0,0.0,0.0,4.574982463,0.824693815,0.750048159,3.0748183339999997,0.0,8.022951793,0.0,26.39050251,13.19384309,30.00273442,0.0,2.250124519,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,0.824693815,0.824693815,1.649354052,0.0,2.47408148,0.0,1.649354052,0.0,5.3996427,0.0,1.649354052,0.824693815,0.0,2.47408148,0.0,0.750048159,0.0,0.750048159,50.30976198,0.0,4.948123813,0.0,2.324808897,13.869148222000002,1.649354052,2.47408148,0.0,0.824693815,0.0,3.000184291,4.873468639,2.47408148,0.0,0.0,0.0,4.948123813,0.0,0.0,0.750048159,0.0,0.0,1.649354052,0.750048159,0.0,0.0,0.824693815,0.025115972,0.042238232,0.033627995,0.05063181,0.00197471,0.032435668,0.0,0.0,0.0,0.0,0.047053807,0.0,0.178221654,0.0,0.0,0.000979608,0.581142082,0.028037602,0.003393076,0.0,1.0,1.0
1x1,0.0,0.0,11.27156635,1.500115082,0.0,22.54507076,0.0,0.750048159,0.0,0.0,6.386103513,0.0,5.636055354,0.0,0.0,0.0,0.0,0.750048159,0.750048159,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,11.27156635,22.54507076,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.75941847,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,9.0,0.750048159,0.0,0.0,0.0,3.750288648,5.636055354,0.750048159,2.250124519,0.0,2.250124519,0.0,11.27156635,16.91018204,30.00273442,0.0,2.250124519,0.750048159,0.0,5.636055354,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,3.750288648,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.750048159,0.0,0.0,0.0,5.636055354,7.136170436,1.500115082,0.0,0.0,0.0,0.0,0.0,3.000184291,0.750048159,5.636055354,11.27156635,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,11.27156635,0.0,0.750048159,0.0,0.0,0.0,0.0,0.042238232,0.004916148,0.026595889,0.0,0.074340375,0.0,0.0,0.0,0.0,0.047053807,0.0,0.6337812780000001,0.0,0.0,0.022361296,0.302292053,0.490390247,0.0,0.0,1.0,1.0
2x2,0.0,0.0,0.85494057,4.919888443,0.0,0.85494057,9.403991771,31.526104729,0.0,0.0,3.3148057289999997,1.709879628,0.85494057,0.0,14.53459731,0.0,5.984575239,0.750048159,2.459927787,6.210225505,10.799390716,6.750504986,2.56475757,0.85494057,0.0,1.604988729,1.604988729,0.85494057,0.0,0.0,0.0,0.85494057,15.38702061,0.85494057,0.0,0.0,0.85494057,2.56475757,0.0,0.0,0.0,0.0,1.709879628,0.0,0.0,51.75941847,0.85494057,7.694407673,0.0,1.709879628,0.0,0.85494057,0.0,0.85494057,0.85494057,1.709879628,0.85494057,8.444455832,0.750048159,0.85494057,0.0,13.274605702999999,7.589577683,7.694407673,0.0,0.85494057,3.750288648,0.0,1.604988729,2.250124519,0.85494057,3.105065089,0.85494057,6.839529524,1.709879628,30.00273442,0.85494057,9.089654043,0.750048159,0.85494057,0.0,0.85494057,25.542937798999997,0.750048159,0.750048159,0.0,3.960004147,0.750048159,0.0,0.0,1.709879628,5.129569872,0.0,9.403991771,7.694407673,27.3595934,2.56475757,3.750288648,0.85494057,0.0,5.984575239,0.0,0.85494057,0.0,2.459927787,1.709879628,0.750048159,0.0,0.0,6.839529524,0.0,3.20999471,2.355055652,0.0,20.5179057,0.0,0.0,0.0,3.000184291,2.459927787,0.0,5.984575239,0.85494057,0.0,0.0,6.839529524,0.85494057,0.750048159,0.0,0.0,1.709879628,4.16982152,0.0,0.0,0.85494057,0.011601815,0.042238232,0.002066792,0.043618869000000005,0.0,0.032435668,0.0,0.0,0.0,0.0,0.123392617,0.0,0.522750116,0.0,0.07065118,0.019910117,0.40034301699999997,0.0,0.0,0.0,1.0,1.0
3x3,0.0,0.0,23.12681533,1.500115082,0.0,37.01018646,0.0,5.375922143,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,5.375922143,4.500345877,34.631175039,11.376378970000001,18.5029362,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.75941847,0.0,4.625873984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,22.87647374,0.750048159,0.0,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,4.625873984,2.250124519,0.0,0.0,55.50670713,30.00273442,0.0,11.501921567,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.750288648,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.750048159,0.0,0.0,0.0,0.0,1.500115082,15.376588822,0.0,0.0,0.0,0.0,0.0,12.251981339,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.0,0.0,0.750048159,0.0,0.0,23.12681533,0.0,0.057131566,0.037194658,0.082968518,0.0,0.062487313,0.0,0.452947761,0.0,0.157891858,0.047053807,0.0,1.077724725,0.013323,0.00895826,0.010417362,0.294404458,0.00943649,0.021645908,0.0,1.0,1.0
4x4,0.0,1.932715942,0.0,9.230833869,0.0,1.932715942,3.865416235,4.615464394,0.0,0.0,0.750048159,0.0,1.932715942,0.0,0.0,0.0,1.932715942,0.750048159,0.750048159,8.365762112,2.250124519,6.750504986,0.0,0.0,5.79813837,2.682764101,2.682764101,0.0,0.0,0.0,0.0,0.0,36.72245942,3.865416235,1.932715942,1.932715942,0.0,3.865416235,0.0,0.0,0.0,17.3950088,1.932715942,0.0,0.0,51.75941847,0.0,1.932715942,0.0,17.3950088,0.0,0.0,0.0,0.0,0.0,21.25871045,11.59505302,2.682764101,0.750048159,0.0,0.0,10.932715942,0.750048159,21.25871045,0.0,3.865416235,5.68300459,0.0,0.750048159,2.250124519,0.0,2.250124519,0.0,9.663505567,1.932715942,30.00273442,0.0,4.182840461,10.413553726,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,2.682764101,0.0,0.0,0.0,11.59505302,0.0,19.32825032,7.730718787,59.91159895,5.79813837,3.750288648,1.932715942,0.0,0.0,0.0,3.865416235,0.0,4.615464394,1.932715942,0.750048159,0.0,0.0,5.79813837,0.0,1.500115082,3.432831024,0.0,0.0,0.0,0.0,0.0,3.000184291,0.750048159,5.79813837,7.730718787,0.0,3.865416235,0.0,1.932715942,3.865416235,0.750048159,3.865416235,0.0,3.865416235,8.480766946,0.0,0.0,0.0,0.0,0.042238232,0.002066792,0.023121945,0.018385249,0.032435668,0.0,0.0,0.183308543,0.0,0.064931976,0.146909104,0.329223447,0.0,0.006120041,0.002926485,0.294404458,0.0,0.001931591,0.0,1.0,1.0
5x5,0.0,0.0,1.649354052,1.649354052,0.0,2.440827905,0.0,0.824693815,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,1.649354052,0.0,0.824693815,0.0,0.0,34.569355,4.948123813,0.0,1.649354052,0.0,0.0,0.0,2.47408148,0.0,0.0,0.0,0.824693815,0.824693815,0.0,0.0,4.848439478,0.824693815,0.824693815,0.0,0.0,1.61613409,0.824693815,0.0,0.0,64.6447502,0.0,0.0,0.0,0.824693815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.298728334,0.0,0.824693815,0.0,1.649354052,0.824693815,0.0,0.0,0.0,0.824693815,0.824693815,0.0,2.440827905,0.0,5.772827274,0.0,26.39050251,13.19384309,12.92836054,0.0,6.464659462,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824693815,0.824693815,1.649354052,0.0,2.47408148,1.61613409,1.649354052,0.0,1.649354052,0.0,1.649354052,0.824693815,0.0,2.47408148,1.61613409,0.0,0.0,0.0,51.92589607,0.0,4.948123813,0.0,2.440827905,13.985167230000002,1.649354052,2.47408148,0.0,0.824693815,0.0,1.61613409,4.12342048,2.47408148,0.0,0.0,0.0,6.564257903,0.0,0.0,0.0,0.0,0.0,1.649354052,0.0,0.0,0.0,0.824693815,0.025115972,0.042137443,0.040755064,0.032574982,0.00197471,0.025205671,0.0,0.0,0.0,0.0,0.003825445,0.0,0.167070254,0.0,0.0,0.000979608,0.588914563,0.028037602,0.003393076,0.0,1.0,1.0
6x6,0.0,0.0,11.27156635,0.0,0.0,24.16120485,0.0,0.0,0.0,0.0,7.252189444,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27156635,22.54507076,0.0,0.0,10.484494832,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,64.6447502,0.0,0.0,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,1.61613409,0.0,0.0,0.0,11.27156635,16.91018204,12.92836054,0.0,6.464659462,1.61613409,0.0,5.636055354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.636055354,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,1.61613409,0.0,0.0,5.636055354,7.252189444,1.61613409,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,5.636055354,11.27156635,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,11.27156635,0.0,0.0,0.0,0.0,0.0,0.0,0.042137443,0.012043216999999998,0.008539061,0.0,0.067110378,0.0,0.0,0.0,0.0,0.003825445,0.0,0.622629878,0.0,0.0,0.022361296,0.310064534,0.490390247,0.0,0.0,1.0,1.0
7x7,0.0,0.0,0.85494057,3.419773361,0.0,2.47107466,9.403991771,30.77605657,0.0,0.0,4.18089166,1.709879628,0.85494057,0.0,14.53459731,0.0,5.984575239,0.0,1.709879628,1.709879628,8.549266197,3.23233465,2.56475757,0.85494057,0.0,0.85494057,0.85494057,0.85494057,0.0,0.0,0.0,0.85494057,15.38702061,0.85494057,0.0,0.0,5.7033800480000005,2.56475757,0.0,0.0,0.0,1.61613409,1.709879628,0.0,0.0,64.6447502,0.85494057,7.694407673,0.0,1.709879628,0.0,0.85494057,0.0,0.85494057,0.85494057,1.709879628,0.85494057,7.694407673,0.0,0.85494057,0.0,4.274605703,6.839529524,7.694407673,0.0,0.85494057,0.0,0.0,0.85494057,1.61613409,0.85494057,0.85494057,0.85494057,6.839529524,1.709879628,12.92836054,0.85494057,13.304188986,1.61613409,0.85494057,0.0,0.85494057,24.79288964,0.0,0.0,0.0,1.709879628,0.0,0.0,0.0,1.709879628,5.129569872,0.0,9.403991771,9.310541763,27.3595934,2.56475757,0.0,0.85494057,0.0,5.984575239,0.0,0.85494057,1.61613409,1.709879628,1.709879628,0.0,1.61613409,0.0,6.839529524,0.0,3.326013718,2.47107466,0.0,20.5179057,0.0,0.0,0.0,1.61613409,1.709879628,0.0,5.984575239,0.85494057,0.0,1.61613409,6.839529524,0.85494057,0.0,0.0,0.0,1.709879628,3.419773361,0.0,0.0,0.85494057,0.011601815,0.042137443,0.009193861,0.025562041,0.0,0.025205671,0.0,0.0,0.0,0.0,0.08016425499999999,0.0,0.511598716,0.0,0.07065118,0.019910117,0.40811549799999997,0.0,0.0,0.0,1.0,1.0
8x8,0.0,0.0,23.12681533,0.0,0.0,38.62632055,0.0,4.625873984,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.625873984,0.0,32.38105052,7.858208634,18.5029362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.848439478,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,64.6447502,0.0,4.625873984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.87647374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,4.625873984,0.0,0.0,0.0,55.50670713,12.92836054,0.0,15.71645651,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,1.61613409,15.49260783,0.0,0.0,0.0,0.0,0.0,10.867931138,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12681533,0.0,0.057030777,0.044321727,0.06491169,0.0,0.055257316,0.0,0.452947761,0.0,0.157891858,0.003825445,0.0,1.066573325,0.013323,0.00895826,0.010417362,0.302176939,0.00943649,0.021645908,0.0,1.0,1.0
9x9,0.0,1.932715942,0.0,7.730718787,0.0,3.548850032,3.865416235,3.865416235,0.0,0.0,1.61613409,0.0,1.932715942,0.0,0.0,0.0,1.932715942,0.0,0.0,3.865416235,0.0,3.23233465,0.0,0.0,5.79813837,1.932715942,1.932715942,0.0,0.0,0.0,0.0,0.0,36.72245942,3.865416235,1.932715942,1.932715942,4.848439478,3.865416235,0.0,0.0,0.0,19.01114289,1.932715942,0.0,0.0,64.6447502,0.0,1.932715942,0.0,17.3950088,0.0,0.0,0.0,0.0,0.0,21.25871045,11.59505302,1.932715942,0.0,0.0,0.0,1.932715942,0.0,21.25871045,0.0,3.865416235,1.932715942,0.0,0.0,1.61613409,0.0,0.0,0.0,9.663505567,1.932715942,12.92836054,0.0,8.397375404,11.279639657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932715942,0.0,0.0,0.0,11.59505302,0.0,19.32825032,9.346852877,59.91159895,5.79813837,0.0,1.932715942,0.0,0.0,0.0,3.865416235,1.61613409,3.865416235,1.932715942,0.0,1.61613409,0.0,5.79813837,0.0,1.61613409,3.548850032,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,5.79813837,7.730718787,0.0,3.865416235,1.61613409,1.932715942,3.865416235,0.0,3.865416235,0.0,3.865416235,7.730718787,0.0,0.0,0.0,0.0,0.042137443,0.009193861,0.005065117,0.018385249,0.025205671,0.0,0.0,0.183308543,0.0,0.021703614,0.146909104,0.318072047,0.0,0.006120041,0.002926485,0.302176939,0.0,0.001931591,0.0,1.0,1.0
