coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Pericytes,ODMature1,Pericytes ODMature1
0x0,0.0,0.0,0.0,4.158252368,1.329056371,1.329056371,1.993574012,2.743622171,0.0,0.664523765,1.414571924,0.0,0.0,0.0,0.0,0.0,7.974287945,0.750048159,0.750048159,4.500345877,2.914648284,11.402216687,0.0,0.0,0.664523765,0.750048159,0.750048159,0.0,0.664523765,0.0,0.0,0.0,2.658137286,0.0,0.664523765,0.0,0.0,0.664523765,0.0,0.0,10.63322157,0.0,1.329056371,0.0,0.0,51.75941847,0.0,1.329056371,0.0,9.967306986,0.0,0.0,0.0,0.664523765,0.0,7.974287945,0.664523765,2.07910453,0.750048159,1.329056371,1.993574012,11.658137286,0.750048159,5.316260017,0.664523765,0.0,3.750288648,0.0,0.750048159,2.250124519,1.329056371,4.243698531,0.0,0.0,5.980716486,30.00273442,0.664523765,9.559913587,1.414571924,4.651711701,0.664523765,0.0,1.414571924,0.750048159,0.750048159,0.0,3.57918089,2.07910453,5.316260017,0.0,0.664523765,4.651711701,0.0,2.658137286,1.329056371,0.664523765,0.0,5.079345019,0.664523765,0.0,1.329056371,0.0,0.664523765,0.0,0.750048159,0.0,0.750048159,0.0,3.987122086,5.316260017,0.0,2.829171453,36.716074932,0.0,1.993574012,0.0,0.0,0.0,3.6647080560000003,1.414571924,0.0,3.322649277,0.0,0.664523765,0.664523765,2.658137286,0.0,0.750048159,0.0,0.0,0.0,2.07910453,0.0,0.0,11.96283521,0.0,0.05330771,0.002066792,0.023121945,0.223201486,0.032435668,0.672283867,0.0,0.013825942,0.0,0.047053807,0.035893242,0.178221654,0.0,0.0,0.197628163,0.335628051,0.0,0.0,0.075526214,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,1.457310294,1.500115082,0.0,0.0,0.0,0.750048159,0.0,0.0,2.207358453,2.914713648,0.0,0.0,0.0,0.0,1.457310294,0.750048159,2.207358453,4.500345877,6.6221739479999995,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,5.829359897,0.0,0.0,0.0,0.0,0.0,0.0,10.20211431,2.914713648,2.914713648,0.0,0.0,51.75941847,0.0,0.0,0.0,14.57399389,0.0,0.0,0.0,1.457310294,0.0,7.286669155,0.0,0.750048159,0.750048159,0.0,0.0,10.457310294,2.207358453,7.286669155,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,7.286669155,2.250124519,0.0,0.0,4.372049429,30.00273442,0.0,27.025203219,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,2.207358453,0.0,0.0,0.0,1.457310294,0.0,2.914713648,0.0,0.0,0.0,8.122338077,0.0,0.0,1.457310294,0.0,0.0,0.0,2.207358453,0.0,0.750048159,0.0,0.0,4.372049429,0.0,1.500115082,46.674381032,0.0,1.457310294,0.0,0.0,0.0,4.457494585,0.750048159,0.0,2.914713648,0.0,0.0,0.0,1.457310294,0.0,2.207358453,0.0,0.0,1.457310294,0.750048159,0.0,0.0,16.02942562,0.0,0.042238232,0.027468414,0.023121945,0.0,0.032435668,1.446639596,0.0,0.031706104,0.0,0.081212055,0.0,0.178221654,0.0,0.0,0.060679072,0.402073454,0.001517518,0.015233641,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,0.0,3.4835048779999997,0.0,2.975117771,0.0,1.741730166,0.0,0.0,0.750048159,1.983389796,0.0,0.0,1.983389796,2.975117771,1.983389796,1.741730166,0.750048159,4.500345877,4.233514315,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,4.958541933,0.0,0.0,0.0,0.0,0.991682007,0.0,0.0,16.86076268,0.0,0.0,0.0,0.0,51.75941847,0.0,1.983389796,0.0,1.983389796,0.0,0.0,0.0,3.966838056,0.0,13.88332619,0.0,6.700291335,0.750048159,0.0,0.0,9.0,1.741730166,7.933671932,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,3.966838056,2.250124519,0.0,0.0,3.966838056,30.00273442,0.0,25.056868419,0.750048159,1.983389796,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,0.991682007,0.0,1.983389796,0.0,3.966838056,0.991682007,0.0,0.0,7.717126704,1.983389796,0.0,0.0,0.0,1.983389796,0.0,1.741730166,0.0,0.750048159,0.0,0.0,2.975117771,0.0,1.500115082,16.374613061999998,0.0,3.966838056,0.0,0.0,0.0,3.000184291,0.750048159,0.0,0.0,0.991682007,0.0,0.0,7.933671932,0.0,0.750048159,0.0,0.991682007,0.991682007,0.750048159,0.0,0.0,15.86553025,0.0,0.042238232,0.044439423,0.026806636000000002,0.0,0.032435668,0.296492474,0.0,0.0,0.0,0.142045943,0.010784794,0.178221654,0.010793173,0.0,0.006690337,0.37045333799999997,0.031361701,0.024389221,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.719174655,0.0,0.0,3.6576633640000003,0.0,0.719174655,0.0,2.188420369,2.157548282,1.43837221,0.750048159,0.0,0.0,0.0,0.0,0.0,5.75351704,0.750048159,0.750048159,5.938718087,2.9692991739999997,7.469679641,0.0,0.0,5.75351704,7.941860597000001,1.469222814,0.719174655,0.0,0.0,0.0,1.43837221,1.43837221,0.0,0.0,0.0,0.0,0.719174655,0.0,0.0,16.54284394,0.0,3.595999788,1.43837221,0.0,51.75941847,0.0,3.595999788,0.0,13.66560555,0.0,0.719174655,0.0,4.315082378,0.719174655,9.349038438,1.43837221,11.536959039000001,0.750048159,0.0,1.43837221,11.157548282,1.469222814,1.43837221,0.0,0.719174655,3.750288648,0.719174655,0.750048159,2.250124519,11.50834928,5.846124307,0.719174655,0.0,0.719174655,30.00273442,0.0,17.352872649,0.750048159,0.0,0.0,1.43837221,1.469222814,0.750048159,0.750048159,0.0,3.6884967289999997,0.750048159,1.43837221,0.0,0.719174655,2.876769678,2.157548282,1.43837221,0.0,0.0,0.0,3.750288648,0.0,0.719174655,0.0,0.0,0.0,1.43837221,0.750048159,0.719174655,0.750048159,0.719174655,0.0,3.595999788,0.0,1.500115082,48.961966302,0.0,6.472742201,1.43837221,0.0,0.0,3.000184291,2.907596441,1.43837221,9.349038438,0.0,0.0,0.0,2.876769678,0.0,0.750048159,0.0,1.43837221,1.43837221,4.346047947,1.43837221,0.0,22.29700002,0.00355112,0.051661706,0.026965628000000002,0.046667084,0.0,0.061669373,1.068473684,0.0,0.0,0.0,0.362642099,0.0,0.475430794,0.0,0.020208882,0.0,0.3389082,0.0,0.002309854,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,5.443769546,1.500115082,0.0,5.443769546,0.0,0.750048159,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.750048159,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,5.443769546,10.88775922,0.0,0.0,0.0,0.0,5.443769546,0.0,10.88775922,0.0,0.0,0.0,0.0,51.75941847,0.0,5.443769546,0.0,0.0,0.0,0.0,0.0,10.88775922,0.0,16.33005735,0.0,6.193817705000001,0.750048159,0.0,0.0,19.88775922,6.193817705000001,0.0,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,0.0,2.250124519,0.0,0.0,0.0,30.00273442,0.0,7.693894065,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,21.77718242,0.0,0.0,0.0,0.0,0.0,21.77718242,0.0,0.0,3.750288648,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.750048159,0.0,0.0,0.0,0.0,1.500115082,17.830172432,0.0,5.443769546,0.0,0.0,0.0,3.000184291,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.193817705000001,0.0,5.443769546,0.0,0.750048159,0.0,0.0,0.0,0.016425846,0.042238232,0.032801737,0.023121945,0.0,0.032435668,0.607792506,0.0,0.0,0.0,0.176576602,0.0,0.178221654,0.0,0.0,0.006989866,0.531715817,0.004916784,0.017870904,0.0,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,0.0,2.658137286,1.329056371,2.945190461,1.993574012,1.993574012,0.0,0.664523765,2.2806578550000003,0.0,0.0,0.0,0.0,0.0,7.974287945,0.0,0.0,0.0,0.664523765,7.884046351,0.0,0.0,0.664523765,0.0,0.0,0.0,0.664523765,0.0,0.0,0.0,2.658137286,0.0,0.664523765,0.0,4.848439478,0.664523765,0.0,0.0,10.63322157,1.61613409,1.329056371,0.0,0.0,64.6447502,0.0,1.329056371,0.0,9.967306986,0.0,0.0,0.0,0.664523765,0.0,7.974287945,0.664523765,1.329056371,0.0,1.329056371,1.993574012,2.658137286,0.0,5.316260017,0.664523765,0.0,0.0,0.0,0.0,1.61613409,1.329056371,1.993574012,0.0,0.0,5.980716486,12.92836054,0.664523765,13.77444853,2.2806578550000003,4.651711701,0.664523765,0.0,0.664523765,0.0,0.0,0.0,1.329056371,1.329056371,5.316260017,0.0,0.664523765,4.651711701,0.0,2.658137286,2.945190461,0.664523765,0.0,1.329056371,0.664523765,0.0,1.329056371,0.0,0.664523765,1.61613409,0.0,0.0,0.0,1.61613409,3.987122086,5.316260017,0.0,2.945190461,36.83209394,0.0,1.993574012,0.0,0.0,0.0,2.2806578550000003,0.664523765,0.0,3.322649277,0.0,0.664523765,2.2806578550000003,2.658137286,0.0,0.0,0.0,0.0,0.0,1.329056371,0.0,0.0,11.96283521,0.0,0.053206921,0.009193861,0.005065117,0.223201486,0.025205671,0.672283867,0.0,0.013825942,0.0,0.003825445,0.035893242,0.167070254,0.0,0.0,0.197628163,0.343400532,0.0,0.0,0.075526214,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,1.457310294,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,3.073444384,2.914713648,0.0,0.0,0.0,0.0,1.457310294,0.0,1.457310294,0.0,4.372049429,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.829359897,0.0,0.0,4.848439478,0.0,0.0,0.0,10.20211431,4.530847738,2.914713648,0.0,0.0,64.6447502,0.0,0.0,0.0,14.57399389,0.0,0.0,0.0,1.457310294,0.0,7.286669155,0.0,0.0,0.0,0.0,0.0,1.457310294,1.457310294,7.286669155,0.0,0.0,0.0,0.0,0.0,1.61613409,7.286669155,0.0,0.0,0.0,4.372049429,12.92836054,0.0,31.239738162000002,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457310294,0.0,0.0,0.0,1.457310294,0.0,2.914713648,1.61613409,0.0,0.0,4.372049429,0.0,0.0,1.457310294,0.0,0.0,1.61613409,1.457310294,0.0,0.0,1.61613409,0.0,4.372049429,0.0,1.61613409,46.79040004,0.0,1.457310294,0.0,0.0,0.0,3.073444384,0.0,0.0,2.914713648,0.0,0.0,1.61613409,1.457310294,0.0,1.457310294,0.0,0.0,1.457310294,0.0,0.0,0.0,16.02942562,0.0,0.042137443,0.034595482999999996,0.005065117,0.0,0.025205671,1.446639596,0.0,0.031706104,0.0,0.037983693,0.0,0.167070254,0.0,0.0,0.060679072,0.409845935,0.001517518,0.015233641,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,0.0,1.983389796,0.0,4.591251861,0.0,0.991682007,0.0,0.0,1.61613409,1.983389796,0.0,0.0,1.983389796,2.975117771,1.983389796,0.991682007,0.0,0.0,1.983389796,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.958541933,0.0,0.0,0.0,4.848439478,0.991682007,0.0,0.0,16.86076268,1.61613409,0.0,0.0,0.0,64.6447502,0.0,1.983389796,0.0,1.983389796,0.0,0.0,0.0,3.966838056,0.0,13.88332619,0.0,5.950243176,0.0,0.0,0.0,0.0,0.991682007,7.933671932,0.0,0.0,0.0,0.0,0.0,1.61613409,3.966838056,0.0,0.0,0.0,3.966838056,12.92836054,0.0,29.271403362,1.61613409,1.983389796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991682007,0.0,1.983389796,0.0,3.966838056,2.607816097,0.0,0.0,3.966838056,1.983389796,0.0,0.0,0.0,1.983389796,1.61613409,0.991682007,0.0,0.0,1.61613409,0.0,2.975117771,0.0,1.61613409,16.49063207,0.0,3.966838056,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.991682007,0.0,1.61613409,7.933671932,0.0,0.0,0.0,0.991682007,0.991682007,0.0,0.0,0.0,15.86553025,0.0,0.042137443,0.051566492,0.008749808,0.0,0.025205671,0.296492474,0.0,0.0,0.0,0.098817581,0.010784794,0.167070254,0.010793173,0.0,0.006690337,0.37822581899999996,0.031361701,0.024389221,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.719174655,0.0,0.0,2.157548282,0.0,2.335308745,0.0,1.43837221,2.157548282,1.43837221,1.61613409,0.0,0.0,0.0,0.0,0.0,5.75351704,0.0,0.0,1.43837221,0.719174655,3.951509305,0.0,0.0,5.75351704,7.191812438,0.719174655,0.719174655,0.0,0.0,0.0,1.43837221,1.43837221,0.0,0.0,0.0,4.848439478,0.719174655,0.0,0.0,16.54284394,1.61613409,3.595999788,1.43837221,0.0,64.6447502,0.0,3.595999788,0.0,13.66560555,0.0,0.719174655,0.0,4.315082378,0.719174655,9.349038438,1.43837221,10.78691088,0.0,0.0,1.43837221,2.157548282,0.719174655,1.43837221,0.0,0.719174655,0.0,0.719174655,0.0,1.61613409,11.50834928,3.595999788,0.719174655,0.0,0.719174655,12.92836054,0.0,21.567407592000002,1.61613409,0.0,0.0,1.43837221,0.719174655,0.0,0.0,0.0,1.43837221,0.0,1.43837221,0.0,0.719174655,2.876769678,2.157548282,1.43837221,1.61613409,0.0,0.0,0.0,0.0,0.719174655,0.0,0.0,0.0,3.0545063,0.0,0.719174655,0.0,2.335308745,0.0,3.595999788,0.0,1.61613409,49.07798531,0.0,6.472742201,1.43837221,0.0,0.0,1.61613409,2.157548282,1.43837221,9.349038438,0.0,0.0,1.61613409,2.876769678,0.0,0.0,0.0,1.43837221,1.43837221,3.595999788,1.43837221,0.0,22.29700002,0.00355112,0.051560917,0.034092697,0.028610256,0.0,0.054439376,1.068473684,0.0,0.0,0.0,0.319413737,0.0,0.46427939399999996,0.0,0.020208882,0.0,0.346680681,0.0,0.002309854,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,5.443769546,0.0,0.0,7.0599036360000005,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443769546,10.88775922,0.0,0.0,4.848439478,0.0,5.443769546,0.0,10.88775922,1.61613409,0.0,0.0,0.0,64.6447502,0.0,5.443769546,0.0,0.0,0.0,0.0,0.0,10.88775922,0.0,16.33005735,0.0,5.443769546,0.0,0.0,0.0,10.88775922,5.443769546,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,12.92836054,0.0,11.908429008,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.77718242,0.0,0.0,0.0,0.0,0.0,23.39331651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,1.61613409,17.94619144,0.0,5.443769546,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,5.443769546,0.0,5.443769546,0.0,0.0,0.0,0.0,0.0,0.016425846,0.042137443,0.039928806,0.005065117,0.0,0.025205671,0.607792506,0.0,0.0,0.0,0.13334824,0.0,0.167070254,0.0,0.0,0.006989866,0.539488298,0.004916784,0.017870904,0.0,1.0,1.0,"[[1], [4]]"
