coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Pericytes,ODMature2
0x0,0.0,0.0,0.0,1.500115082,0.0,2.463139613,0.0,3.213187772,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.750048159,4.500345877,2.250124519,6.750504986,2.463139613,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.09312166,0.0,0.0,2.463139613,0.0,51.75941847,0.0,4.926250432,0.0,4.926250432,0.0,0.0,0.0,0.0,0.0,22.16861112,2.463139613,0.750048159,0.750048159,0.0,0.0,9.0,0.750048159,0.0,0.0,2.463139613,3.750288648,0.0,0.750048159,2.250124519,7.389382581,2.250124519,0.0,0.0,0.0,30.00273442,0.0,34.271868049000005,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,4.713264132,0.750048159,0.0,0.0,0.0,0.0,0.0,2.463139613,4.926250432,0.0,0.0,8.67653908,2.463139613,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.750048159,0.0,0.0,2.463139613,0.0,1.500115082,31.056361242,0.0,0.0,0.0,0.0,0.0,3.000184291,3.213187772,0.0,9.851755496,0.0,0.0,0.0,0.0,2.463139613,0.750048159,0.0,0.0,2.463139613,0.750048159,0.0,0.0,32.02174353,0.005950012,0.062429495,0.005569618,0.032069983,0.0,0.050120496,1.063478746,0.0,0.0,0.0,0.070061501,0.0,0.178221654,0.0,0.0,0.006769616,0.42969233399999995,0.002089427,0.0,0.0,1.0,1.0
1x1,0.0,0.0,3.332614013,2.333273511,0.0,3.332614013,0.0,0.750048159,0.0,0.0,1.583206588,0.0,0.833158429,0.0,0.0,0.0,0.833158429,0.750048159,2.416354221,4.500345877,2.250124519,6.750504986,0.833158429,0.0,0.0,1.583206588,0.750048159,0.0,0.0,0.0,0.0,0.0,1.666306062,5.832033701,0.0,0.0,0.0,0.0,0.0,0.0,18.32858226,0.833158429,0.0,0.0,0.0,51.75941847,1.666306062,0.0,0.0,0.0,0.0,0.0,0.0,0.833158429,0.0,8.331468621,1.666306062,0.750048159,0.750048159,0.833158429,0.0,9.0,0.750048159,1.666306062,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,4.165709745,3.083282948,0.0,0.0,9.99765268,30.00273442,0.0,19.747069299,0.750048159,0.0,0.0,0.833158429,0.750048159,0.750048159,0.750048159,0.0,3.083282948,0.750048159,2.49945167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833158429,4.583447077000001,0.0,0.0,0.0,0.833158429,0.0,0.0,0.750048159,0.0,0.750048159,0.0,0.0,6.665138386,0.0,1.500115082,50.653471192,0.0,0.0,0.0,0.833158429,0.0,3.83334272,0.750048159,0.0,2.49945167,0.0,0.0,0.0,0.0,1.666306062,2.416354221,0.0,0.0,0.0,0.750048159,0.833158429,0.0,29.9955966,0.025262328,0.042238232,0.076711737,0.046787287999999996,0.0,0.032435668,1.187509763,0.0,0.001753042,0.0,0.064971821,0.0,0.178221654,0.0,0.0,0.025996785,0.6023811349999999,0.003530092,0.016707202,0.0,1.0,1.0
2x2,0.0,0.0,0.0,1.500115082,0.0,0.0,9.869260563,0.750048159,0.0,0.0,5.685038275,0.0,0.0,2.467448345,2.467448345,0.0,0.0,0.750048159,3.217496504,4.500345877,2.250124519,6.750504986,0.0,0.0,2.467448345,20.489630198999997,0.750048159,0.0,0.0,0.0,0.0,2.467448345,0.0,0.0,2.467448345,0.0,0.0,0.0,0.0,0.0,34.5467582,0.0,0.0,0.0,0.0,54.226866815,4.934990116,4.934990116,2.467448345,4.934990116,0.0,2.467448345,0.0,0.0,0.0,4.934990116,4.934990116,0.750048159,0.750048159,0.0,2.467448345,13.934990116,0.750048159,7.402528612,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,4.934990116,2.250124519,0.0,0.0,0.0,30.00273442,0.0,54.07031949899999,3.217496504,0.0,0.0,0.0,0.750048159,3.217496504,0.750048159,0.0,2.250124519,0.750048159,2.467448345,0.0,0.0,2.467448345,0.0,4.934990116,0.0,0.0,0.0,8.685278764,0.0,0.0,7.402528612,0.0,0.0,0.0,3.217496504,0.0,0.750048159,0.0,0.0,4.934990116,0.0,1.500115082,107.60271168199999,0.0,12.33828522,0.0,0.0,0.0,3.000184291,0.750048159,0.0,4.934990116,0.0,0.0,0.0,2.467448345,0.0,3.217496504,0.0,0.0,2.467448345,0.750048159,0.0,0.0,44.41507126,0.0,0.13075469,0.002066792,0.089627201,0.0,0.097600944,2.243620227,0.132017133,0.0,0.0,0.047053807,0.0,0.754017677,0.0,0.007229182,0.0,0.294404458,0.0,0.0,0.0,1.0,1.0
3x3,0.0,0.0,0.0,1.500115082,0.0,1.634632228,0.0,4.019380861,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,2.384680387,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,1.634632228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.634632228,0.0,0.0,58.84115951,0.0,3.269332702,0.0,0.0,51.75941847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.634632228,0.0,39.2346289,1.634632228,2.384680387,0.750048159,0.0,0.0,9.0,5.653961851,0.0,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,1.634632228,3.884756747,0.0,0.0,1.634632228,30.00273442,0.0,36.576574779,0.750048159,0.0,0.0,0.0,2.384680387,0.750048159,0.750048159,1.634632228,3.884756747,0.750048159,3.269332702,0.0,0.0,0.0,0.0,1.634632228,1.634632228,0.0,0.0,15.192569498,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.750048159,1.634632228,0.0,8.173393008,0.0,1.500115082,93.03383043199999,0.0,0.0,1.634632228,0.0,0.0,3.000184291,0.750048159,0.0,11.44228085,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,6.538587847,0.0,0.750048159,0.0,0.0,47.40608956,0.0,0.077387549,0.002066792,0.034695576,0.0,0.056185869,1.563716509,0.0,0.0,0.0,0.047053807,0.0,0.773439502,0.0,0.0,0.0,0.345971582,0.0,0.0,0.0,1.0,1.0
4x4,0.0,0.0,1.550997306,1.500115082,0.0,3.10204103,0.0,0.750048159,1.550997306,0.0,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.750048159,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,1.550997306,1.550997306,0.0,0.0,0.0,0.0,0.0,27.92011396,0.0,6.204104435,0.0,0.0,53.310415776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.550997306,0.0,26.36528654,1.550997306,2.301045465,0.750048159,0.0,0.0,12.10204103,2.301045465,1.550997306,0.0,1.550997306,3.750288648,0.0,0.750048159,2.250124519,7.755077605,2.250124519,1.550997306,0.0,0.0,30.00273442,0.0,50.329609859,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,6.903137725,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,1.550997306,0.0,0.0,11.505366253,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.750048159,0.0,0.0,4.653013206,0.0,1.500115082,77.501759522,0.0,0.0,0.0,0.0,0.0,3.000184291,0.750048159,0.0,13.95891175,0.0,0.0,1.550997306,0.0,0.0,0.750048159,0.0,3.10204103,0.0,0.750048159,0.0,0.0,43.43242331,0.0,0.089398125,0.017135641,0.03054341,0.0,0.087449127,0.988932297,0.0,0.0,0.013382966,0.047053807,0.0,0.572084365,0.0,0.0,0.0,0.296554179,0.0,0.004902438,0.0,1.0,1.0
5x5,0.0,0.0,0.0,0.0,0.0,4.079273703,0.0,2.463139613,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23233465,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.848439478,0.0,0.0,0.0,27.09312166,1.61613409,0.0,2.463139613,0.0,64.6447502,0.0,4.926250432,0.0,4.926250432,0.0,0.0,0.0,0.0,0.0,22.16861112,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,1.61613409,7.389382581,0.0,0.0,0.0,0.0,12.92836054,0.0,38.486402992,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,0.0,0.0,0.0,2.463139613,6.542384522,0.0,0.0,4.926250432,2.463139613,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,1.61613409,0.0,2.463139613,0.0,1.61613409,31.17238025,0.0,0.0,0.0,0.0,0.0,1.61613409,2.463139613,0.0,9.851755496,0.0,0.0,1.61613409,0.0,2.463139613,0.0,0.0,0.0,2.463139613,0.0,0.0,0.0,32.02174353,0.005950012,0.062328706,0.012696687,0.014013155,0.0,0.042890499,1.063478746,0.0,0.0,0.0,0.026833139,0.0,0.167070254,0.0,0.0,0.006769616,0.437464815,0.002089427,0.0,0.0,1.0,1.0
6x6,0.0,0.0,3.332614013,0.833158429,0.0,4.948748103,0.0,0.0,0.0,0.0,2.449292519,0.0,0.833158429,0.0,0.0,0.0,0.833158429,0.0,1.666306062,0.0,0.0,3.23233465,0.833158429,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.0,0.0,1.666306062,5.832033701,0.0,0.0,4.848439478,0.0,0.0,0.0,18.32858226,2.449292519,0.0,0.0,0.0,64.6447502,1.666306062,0.0,0.0,0.0,0.0,0.0,0.0,0.833158429,0.0,8.331468621,1.666306062,0.0,0.0,0.833158429,0.0,0.0,0.0,1.666306062,0.0,0.0,0.0,0.0,0.0,1.61613409,4.165709745,0.833158429,0.0,0.0,9.99765268,12.92836054,0.0,23.961604242,1.61613409,0.0,0.0,0.833158429,0.0,0.0,0.0,0.0,0.833158429,0.0,2.49945167,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.833158429,0.833158429,0.0,0.0,0.0,0.833158429,0.0,1.61613409,0.0,0.0,0.0,1.61613409,0.0,6.665138386,0.0,1.61613409,50.7694902,0.0,0.0,0.0,0.833158429,0.0,2.449292519,0.0,0.0,2.49945167,0.0,0.0,1.61613409,0.0,1.666306062,1.666306062,0.0,0.0,0.0,0.0,0.833158429,0.0,29.9955966,0.025262328,0.042137443,0.083838806,0.02873046,0.0,0.025205671,1.187509763,0.0,0.001753042,0.0,0.021743459,0.0,0.167070254,0.0,0.0,0.025996785,0.610153616,0.003530092,0.016707202,0.0,1.0,1.0
7x7,0.0,0.0,0.0,0.0,0.0,1.61613409,9.869260563,0.0,0.0,0.0,6.551124206,0.0,0.0,2.467448345,2.467448345,0.0,0.0,0.0,2.467448345,0.0,0.0,3.23233465,0.0,0.0,2.467448345,19.73958204,0.0,0.0,0.0,0.0,0.0,2.467448345,0.0,0.0,2.467448345,0.0,4.848439478,0.0,0.0,0.0,34.5467582,1.61613409,0.0,0.0,0.0,67.112198545,4.934990116,4.934990116,2.467448345,4.934990116,0.0,2.467448345,0.0,0.0,0.0,4.934990116,4.934990116,0.0,0.0,0.0,2.467448345,4.934990116,0.0,7.402528612,0.0,0.0,0.0,0.0,0.0,1.61613409,4.934990116,0.0,0.0,0.0,0.0,12.92836054,0.0,58.284854442,4.083582435,0.0,0.0,0.0,0.0,2.467448345,0.0,0.0,0.0,0.0,2.467448345,0.0,0.0,2.467448345,0.0,4.934990116,1.61613409,0.0,0.0,4.934990116,0.0,0.0,7.402528612,0.0,0.0,1.61613409,2.467448345,0.0,0.0,1.61613409,0.0,4.934990116,0.0,1.61613409,107.71873069,0.0,12.33828522,0.0,0.0,0.0,1.61613409,0.0,0.0,4.934990116,0.0,0.0,1.61613409,2.467448345,0.0,2.467448345,0.0,0.0,2.467448345,0.0,0.0,0.0,44.41507126,0.0,0.13065390100000002,0.009193861,0.07157037299999999,0.0,0.090370947,2.243620227,0.132017133,0.0,0.0,0.003825445,0.0,0.742866277,0.0,0.007229182,0.0,0.302176939,0.0,0.0,0.0,1.0,1.0
8x8,0.0,0.0,0.0,0.0,0.0,3.250766318,0.0,3.269332702,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.634632228,0.0,0.0,3.23233465,0.0,0.0,0.0,0.0,0.0,1.634632228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.848439478,1.634632228,0.0,0.0,58.84115951,1.61613409,3.269332702,0.0,0.0,64.6447502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.634632228,0.0,39.2346289,1.634632228,1.634632228,0.0,0.0,0.0,0.0,4.903913692,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,1.634632228,1.634632228,0.0,0.0,1.634632228,12.92836054,0.0,40.791109722,1.61613409,0.0,0.0,0.0,1.634632228,0.0,0.0,1.634632228,1.634632228,0.0,3.269332702,0.0,0.0,0.0,0.0,1.634632228,3.250766318,0.0,0.0,11.44228085,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,3.250766318,0.0,8.173393008,0.0,1.61613409,93.14984944,0.0,0.0,1.634632228,0.0,0.0,1.61613409,0.0,0.0,11.44228085,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,6.538587847,0.0,0.0,0.0,0.0,47.40608956,0.0,0.07728676,0.009193861,0.016638748,0.0,0.048955872,1.563716509,0.0,0.0,0.0,0.003825445,0.0,0.762288102,0.0,0.0,0.0,0.353744063,0.0,0.0,0.0,1.0,1.0
9x9,0.0,0.0,1.550997306,0.0,0.0,4.71817512,0.0,0.0,1.550997306,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.550997306,1.550997306,0.0,4.848439478,0.0,0.0,0.0,27.92011396,1.61613409,6.204104435,0.0,0.0,66.195747506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.550997306,0.0,26.36528654,1.550997306,1.550997306,0.0,0.0,0.0,3.10204103,1.550997306,1.550997306,0.0,1.550997306,0.0,0.0,0.0,1.61613409,7.755077605,0.0,1.550997306,0.0,0.0,12.92836054,0.0,54.544144802,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.653013206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1671313960000003,0.0,0.0,7.755077605,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,1.61613409,0.0,4.653013206,0.0,1.61613409,77.61777853000001,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,13.95891175,0.0,0.0,3.1671313960000003,0.0,0.0,0.0,0.0,3.10204103,0.0,0.0,0.0,0.0,43.43242331,0.0,0.089297336,0.02426271,0.012486582,0.0,0.08021913,0.988932297,0.0,0.0,0.013382966,0.003825445,0.0,0.560932965,0.0,0.0,0.0,0.30432665999999997,0.0,0.004902438,0.0,1.0,1.0
