coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Pericytes,ODMature4,Pericytescells,ODMature4cells
0x0,0.0,0.0,0.0,4.340811674,0.0,0.0,0.0,0.750048159,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.0,11.36232054,0.750048159,0.750048159,4.500345877,2.250124519,20.952479496,0.0,0.0,0.0,0.750048159,0.750048159,5.681438881,0.0,2.840696592,0.0,0.0,5.681438881,0.0,0.0,0.0,0.0,2.840696592,0.0,0.0,0.0,5.681438881,0.0,0.0,2.840696592,51.75941847,2.840696592,5.681438881,2.840696592,96.588805,2.840696592,0.0,0.0,2.840696592,2.840696592,0.0,2.840696592,0.750048159,0.750048159,0.0,0.0,9.0,12.112368699000001,2.840696592,2.840696592,0.0,3.750288648,0.0,0.750048159,2.250124519,0.0,33.497917709,0.0,0.0,5.681438881,30.00273442,0.0,2.250124519,0.750048159,8.522259222,0.0,2.840696592,3.590744751,0.750048159,0.750048159,0.0,2.250124519,0.750048159,0.0,0.0,0.0,11.36232054,0.0,11.36232054,0.0,8.522259222,0.0,3.750288648,5.681438881,0.0,0.0,0.0,2.840696592,2.840696592,0.750048159,0.0,3.590744751,0.0,0.0,8.522259222,0.0,1.500115082,1.500115082,0.0,0.0,0.0,0.0,0.0,3.000184291,0.750048159,0.0,0.0,0.0,2.840696592,0.0,19.88334196,0.0,0.750048159,0.0,0.0,2.840696592,3.590744751,0.0,0.0,0.0,0.0,0.042238232,0.002066792,0.043844003000000006,0.0,0.032435668,0.052046655,0.0,0.0,0.0,0.047053807,0.014365337,0.178221654,0.0,0.0,0.006830122,0.567497076,0.0,0.0,0.223626855,1.0,1.0,[0],[0]
1x1,0.0,0.0,0.0,1.500115082,0.0,1.84760666,0.615883328,2.597654819,0.0,0.0,1.365931487,0.0,0.615883328,0.0,0.615883328,0.0,1.231772901,0.750048159,0.750048159,4.500345877,2.250124519,7.366388314,1.231772901,0.615883328,0.0,0.750048159,1.9818210600000001,0.0,0.0,0.0,0.615883328,0.0,2.463538344,0.615883328,0.0,0.0,0.615883328,0.0,0.0,0.615883328,20.32553818,0.0,2.463538344,1.231772901,0.0,52.991191371,1.231772901,0.615883328,0.0,0.0,0.0,1.231772901,0.0,0.0,0.0,17.24315718,0.0,0.750048159,0.750048159,0.0,0.0,13.927069231,1.365931487,0.615883328,0.0,1.231772901,3.750288648,0.615883328,0.750048159,2.250124519,10.4709662,39.815716308999995,0.0,0.0,2.463538344,30.00273442,1.231772901,22.575662699,1.9818210600000001,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,6.561292042,4.445311983,6.158796218,0.0,0.0,0.0,0.0,1.231772901,1.231772901,0.0,0.0,4.982061549,0.0,0.0,0.0,0.0,0.0,1.84760666,0.750048159,0.615883328,0.750048159,0.0,1.84760666,76.98301105,0.0,1.500115082,23.674061582,0.0,0.0,0.0,0.0,0.0,3.616067619,2.597654819,0.0,5.542895741,0.0,0.615883328,0.0,0.0,0.615883328,1.9818210600000001,0.0,0.0,1.231772901,0.750048159,0.0,0.0,10.4709662,0.0,0.100728818,0.034355079999999996,0.069464769,0.0,0.068653353,5.365463028,0.0,0.0,0.0,0.06644787,0.0,0.19425672700000002,0.0,0.075905184,0.00685771,0.294404458,0.0,0.013587393,0.0,1.0,1.0,[0],[1]
2x2,0.0,0.0,0.0,1.500115082,0.0,0.0,0.0,0.750048159,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.750048159,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95560323,0.0,0.0,0.0,0.0,51.75941847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95560323,0.0,0.750048159,0.750048159,0.0,0.0,9.0,3.575828225,0.0,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,2.825780066,41.810316318999995,0.0,0.0,0.0,30.00273442,0.0,5.075904585,0.750048159,0.0,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,5.651659355,0.0,0.0,0.0,0.0,2.825780066,0.0,0.0,0.0,6.576068714,0.0,0.0,0.0,0.0,0.0,0.0,0.750048159,0.0,0.750048159,0.0,0.0,115.8691808,0.0,1.500115082,21.282720882,0.0,0.0,0.0,0.0,0.0,3.000184291,0.750048159,0.0,2.825780066,0.0,0.0,2.825780066,0.0,0.0,0.750048159,0.0,0.0,5.651659355,0.750048159,0.0,0.0,2.825780066,0.0,0.131303731,0.027201647000000002,0.061140220999999995,0.0,0.056200013,4.851268133,0.0,0.0,0.0,0.09360867,0.0,0.178221654,0.0,0.058003246,0.066026498,0.294404458,0.0,0.028527718,0.0,1.0,1.0,[0],[2]
3x3,0.0,0.0,2.867675238,1.500115082,0.0,1.433828655,1.433828655,1.466967923,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.716919764,3.584584692,1.466967923,1.466967923,5.217265641,2.967044283,8.184333641,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,0.0,0.0,0.716919764,0.0,0.0,1.433828655,0.0,0.0,0.0,0.0,6.452294345,0.0,0.0,4.301515067,0.0,51.75941847,0.0,0.716919764,0.716919764,0.0,0.0,0.0,0.0,0.0,0.0,12.18863958,0.0,1.466967923,0.750048159,0.716919764,0.0,9.716919764,1.466967923,0.0,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,14.33910428,25.194306249,0.0,0.716919764,2.867675238,30.719654184,0.716919764,2.250124519,1.466967923,2.150793929,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,5.834709211,4.334632851,10.7543874,0.716919764,0.0,0.0,0.0,0.716919764,0.0,0.0,0.0,3.750288648,0.0,1.433828655,0.0,0.0,0.0,0.716919764,0.750048159,0.0,0.750048159,0.0,0.0,141.2328787,0.0,1.500115082,2.217034846,0.0,0.0,0.716919764,0.716919764,0.0,3.717104055,4.334632851,0.0,10.7543874,0.716919764,0.0,0.0,1.433828655,0.716919764,0.750048159,0.716919764,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.06853509199999999,0.035782225,0.06881446100000001,0.0,0.072183444,4.400699333,0.0,0.0,0.002651482,0.063843652,0.0,0.178221654,0.00462805,0.0,0.026313402,0.327715333,0.0,0.028989635,0.0,1.0,1.0,[0],[3]
4x4,0.0,0.0,0.0,1.500115082,0.0,0.0,14.21948651,0.750048159,0.0,0.0,0.750048159,0.0,0.0,0.0,0.0,0.0,4.739446342,0.750048159,0.750048159,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,14.21948651,0.0,0.0,37.91347363,0.0,4.739446342,0.0,0.0,56.498864812,0.0,0.0,0.0,9.478521287,0.0,0.0,0.0,14.21948651,0.0,18.95721794,4.739446342,10.228569446,0.750048159,0.0,0.0,9.0,0.750048159,4.739446342,0.0,0.0,3.750288648,0.0,0.750048159,2.250124519,4.739446342,2.250124519,0.0,0.0,0.0,30.00273442,0.0,35.424453829,0.750048159,4.739446342,0.0,0.0,0.750048159,0.750048159,5.489494501,0.0,30.687561859,0.750048159,23.69448651,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,4.739446342,13.228809935,0.0,0.0,0.0,0.0,4.739446342,0.0,0.750048159,0.0,0.750048159,0.0,0.0,9.478521287,0.0,1.500115082,39.413588712,0.0,4.739446342,0.0,0.0,0.0,3.000184291,0.750048159,0.0,14.21948651,0.0,0.0,0.0,4.739446342,0.0,0.750048159,0.0,0.0,0.0,0.750048159,4.739446342,0.0,9.478521287,0.018302477,0.045160329,0.002066792,0.10769797,0.0,0.032435668,0.842934924,0.223855094,0.0,0.0,0.08746496200000001,0.0,1.6258191489999998,0.0,0.102216733,0.0,0.342155255,0.095721037,0.0,0.0,1.0,1.0,[0],[4]
5x5,0.0,0.0,0.0,2.840696592,0.0,1.61613409,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,11.36232054,0.0,0.0,0.0,0.0,17.434309159999998,0.0,0.0,0.0,0.0,0.0,5.681438881,0.0,2.840696592,0.0,0.0,5.681438881,0.0,0.0,0.0,4.848439478,2.840696592,0.0,0.0,0.0,7.297572971,0.0,0.0,2.840696592,64.6447502,2.840696592,5.681438881,2.840696592,96.588805,2.840696592,0.0,0.0,2.840696592,2.840696592,0.0,2.840696592,0.0,0.0,0.0,0.0,0.0,11.36232054,2.840696592,2.840696592,0.0,0.0,0.0,0.0,1.61613409,0.0,31.24779319,0.0,0.0,5.681438881,12.92836054,0.0,6.464659462,1.61613409,8.522259222,0.0,2.840696592,2.840696592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36232054,0.0,11.36232054,1.61613409,8.522259222,0.0,0.0,5.681438881,0.0,0.0,0.0,2.840696592,4.456830682,0.0,0.0,2.840696592,1.61613409,0.0,8.522259222,0.0,1.61613409,1.61613409,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,2.840696592,1.61613409,19.88334196,0.0,0.0,0.0,0.0,2.840696592,2.840696592,0.0,0.0,0.0,0.0,0.042137443,0.009193861,0.025787175000000002,0.0,0.025205671,0.052046655,0.0,0.0,0.0,0.003825445,0.014365337,0.167070254,0.0,0.0,0.006830122,0.5752695569999999,0.0,0.0,0.223626855,1.0,1.0,[1],[0]
6x6,0.0,0.0,0.0,0.0,0.0,3.4637407500000004,0.615883328,1.84760666,0.0,0.0,2.232017418,0.0,0.615883328,0.0,0.615883328,0.0,1.231772901,0.0,0.0,0.0,0.0,3.848217978,1.231772901,0.615883328,0.0,0.0,1.231772901,0.0,0.0,0.0,0.615883328,0.0,2.463538344,0.615883328,0.0,0.0,5.464322806,0.0,0.0,0.615883328,20.32553818,1.61613409,2.463538344,1.231772901,0.0,65.876523101,1.231772901,0.615883328,0.0,0.0,0.0,1.231772901,0.0,0.0,0.0,17.24315718,0.0,0.0,0.0,0.0,0.0,4.927069231,0.615883328,0.615883328,0.0,1.231772901,0.0,0.615883328,0.0,1.61613409,10.4709662,37.56559179,0.0,0.0,2.463538344,12.92836054,1.231772901,26.790197642,2.8479069910000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.311167523,3.695263824,6.158796218,0.0,0.0,0.0,0.0,1.231772901,2.8479069910000003,0.0,0.0,1.231772901,0.0,0.0,0.0,0.0,0.0,3.4637407500000004,0.0,0.615883328,0.0,1.61613409,1.84760666,76.98301105,0.0,1.61613409,23.79008059,0.0,0.0,0.0,0.0,0.0,2.232017418,1.84760666,0.0,5.542895741,0.0,0.615883328,1.61613409,0.0,0.615883328,1.231772901,0.0,0.0,1.231772901,0.0,0.0,0.0,10.4709662,0.0,0.100628029,0.041482148999999996,0.051407941,0.0,0.061423356,5.365463028,0.0,0.0,0.0,0.023219508,0.0,0.183105327,0.0,0.075905184,0.00685771,0.302176939,0.0,0.013587393,0.0,1.0,1.0,[1],[1]
7x7,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.848439478,0.0,0.0,0.0,16.95560323,1.61613409,0.0,0.0,0.0,64.6447502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95560323,0.0,0.0,0.0,0.0,0.0,0.0,2.825780066,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,2.825780066,39.5601918,0.0,0.0,0.0,12.92836054,0.0,9.290439528,1.61613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.651659355,0.0,0.0,0.0,0.0,2.825780066,1.61613409,0.0,0.0,2.825780066,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,1.61613409,0.0,115.8691808,0.0,1.61613409,21.398739889999998,0.0,0.0,0.0,0.0,0.0,1.61613409,0.0,0.0,2.825780066,0.0,0.0,4.441914156,0.0,0.0,0.0,0.0,0.0,5.651659355,0.0,0.0,0.0,2.825780066,0.0,0.131202942,0.034328716,0.043083393,0.0,0.048970016,4.851268133,0.0,0.0,0.0,0.050380308,0.0,0.167070254,0.0,0.058003246,0.066026498,0.302176939,0.0,0.028527718,0.0,1.0,1.0,[1],[2]
8x8,0.0,0.0,2.867675238,0.0,0.0,3.049962745,1.433828655,0.716919764,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.716919764,3.584584692,0.716919764,0.716919764,0.716919764,0.716919764,4.6661633049999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716919764,0.0,0.0,1.433828655,4.848439478,0.0,0.0,0.0,6.452294345,1.61613409,0.0,4.301515067,0.0,64.6447502,0.0,0.716919764,0.716919764,0.0,0.0,0.0,0.0,0.0,0.0,12.18863958,0.0,0.716919764,0.0,0.716919764,0.0,0.716919764,0.716919764,0.0,0.0,0.0,0.0,0.0,0.0,1.61613409,14.33910428,22.94418173,0.0,0.716919764,2.867675238,13.645280304,0.716919764,6.464659462,2.333053854,2.150793929,0.0,0.0,0.0,0.0,0.0,0.0,3.584584692,3.584584692,10.7543874,0.716919764,0.0,0.0,0.0,0.716919764,1.61613409,0.0,0.0,0.0,0.0,1.433828655,0.0,0.0,0.0,2.333053854,0.0,0.0,0.0,1.61613409,0.0,141.2328787,0.0,1.61613409,2.333053854,0.0,0.0,0.716919764,0.716919764,0.0,2.333053854,3.584584692,0.0,10.7543874,0.716919764,0.0,1.61613409,1.433828655,0.716919764,0.0,0.716919764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068434303,0.042909294,0.050757633,0.0,0.064953447,4.400699333,0.0,0.0,0.002651482,0.02061529,0.0,0.167070254,0.00462805,0.0,0.026313402,0.335487814,0.0,0.028989635,0.0,1.0,1.0,[1],[3]
9x9,0.0,0.0,0.0,0.0,0.0,1.61613409,14.21948651,0.0,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,3.23233465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,4.848439478,14.21948651,0.0,0.0,37.91347363,1.61613409,4.739446342,0.0,0.0,69.384196542,0.0,0.0,0.0,9.478521287,0.0,0.0,0.0,14.21948651,0.0,18.95721794,4.739446342,9.478521287,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,0.0,0.0,0.0,0.0,1.61613409,4.739446342,0.0,0.0,0.0,0.0,12.92836054,0.0,39.638988772,1.61613409,4.739446342,0.0,0.0,0.0,0.0,4.739446342,0.0,28.43743734,0.0,23.69448651,0.0,0.0,0.0,0.0,4.739446342,1.61613409,0.0,4.739446342,9.478521287,0.0,0.0,0.0,0.0,4.739446342,1.61613409,0.0,0.0,0.0,1.61613409,0.0,9.478521287,0.0,1.61613409,39.52960772,0.0,4.739446342,0.0,0.0,0.0,1.61613409,0.0,0.0,14.21948651,0.0,0.0,1.61613409,4.739446342,0.0,0.0,0.0,0.0,0.0,0.0,4.739446342,0.0,9.478521287,0.018302477,0.045059539999999995,0.009193861,0.089641142,0.0,0.025205671,0.842934924,0.223855094,0.0,0.0,0.044236599999999994,0.0,1.6146677489999999,0.0,0.102216733,0.0,0.349927736,0.095721037,0.0,0.0,1.0,1.0,[1],[4]
