"X"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"duplicated"
"IGFBP4"	0	1.195397092	0.878	0.118	0	"Endothelial Cell"	"IGFBP4"	FALSE
"PERP"	0	1.596286869	0.998	0.411	0	"Epithelial"	"PERP"	FALSE
"DSP"	0	1.565227778	0.99	0.223	0	"Epithelial"	"DSP"	FALSE
"SFN"	0	1.550091038	0.995	0.495	0	"Epithelial"	"SFN"	FALSE
"LGALS7B"	0	1.488630653	0.932	0.08	0	"Epithelial"	"LGALS7B"	FALSE
"DMKN"	0	1.319120431	0.863	0.338	0	"Epithelial"	"DMKN"	FALSE
"CXCL14"	0	1.311498002	0.857	0.22	0	"Epithelial"	"CXCL14"	FALSE
"S100A2"	0	1.267562624	0.951	0.592	0	"Epithelial"	"S100A2"	FALSE
"KRT1"	0	1.239528941	0.813	0.407	0	"Epithelial"	"KRT1"	FALSE
"KRT10"	0	1.039819997	0.956	0.643	0	"Epithelial"	"KRT10"	FALSE
"COL1A2"	0	2.182259305	0.957	0.041	0	"Fibroblast"	"COL1A2"	FALSE
"COL1A1"	0	2.12568931	0.932	0.081	0	"Fibroblast"	"COL1A1"	FALSE
"COL3A1"	0	2.10122384	0.91	0.024	0	"Fibroblast"	"COL3A1"	FALSE
"DCN"	0	1.892310115	0.91	0.247	0	"Fibroblast"	"DCN"	FALSE
"COL6A1"	0	1.792988293	0.958	0.058	0	"Fibroblast"	"COL6A1"	FALSE
"SPARC"	0	1.757917191	0.963	0.172	0	"Fibroblast"	"SPARC"	FALSE
"CD74"	0	1.628401471	1	0.766	0	"Myeloid"	"CD74"	FALSE
"VIM"	0	1.544780814	0.994	0.338	0	"Myeloid"	"VIM"	FALSE
