"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","duplicated"
"CD79A",0,1.92693140837249,0.875,0.009,0,"B_Cells","CD79A",FALSE
"PTPRCAP",0,1.45911486324514,0.801,0.066,0,"B_Cells","PTPRCAP",FALSE
"CXCR4",4.30129375085941e-121,1.15613162857169,0.809,0.243,1.40815754815636e-116,"B_Cells","CXCR4",FALSE
"CYBA",2.09426219943953e-113,1.05830309267255,0.977,0.626,6.85619558852513e-109,"B_Cells","CYBA",FALSE
"IGFBP7",0,1.89727625152774,0.976,0.195,0,"Endothelial Cell","IGFBP7",FALSE
"GNG11",0,1.69410806446255,0.971,0.05,0,"Endothelial Cell","GNG11",FALSE
"RAMP2",0,1.57794420681698,0.958,0.017,0,"Endothelial Cell","RAMP2",FALSE
"CLDN5",0,1.52159145861224,0.808,0.004,0,"Endothelial Cell","CLDN5",FALSE
"ECSCR",0,1.49000303409695,0.949,0.002,0,"Endothelial Cell","ECSCR",FALSE
"VWF",0,1.40577396626033,0.832,0.005,0,"Endothelial Cell","VWF",FALSE
"TM4SF1",0,1.33049523869119,0.925,0.227,0,"Endothelial Cell","TM4SF1",FALSE
"EGFL7",0,1.26774381146252,0.876,0.034,0,"Endothelial Cell","EGFL7",FALSE
"AC011526.1",0,1.22322198124375,0.852,0.002,0,"Endothelial Cell","AC011526.1",FALSE
"IGFBP4",0,1.19539709175094,0.878,0.118,0,"Endothelial Cell","IGFBP4",FALSE
"NNMT",0,1.18766669885522,0.808,0.072,0,"Endothelial Cell","NNMT",FALSE
"HYAL2",0,1.1257515885807,0.821,0.182,0,"Endothelial Cell","HYAL2",FALSE
"ARHGAP29",0,1.09042729138028,0.85,0.115,0,"Endothelial Cell","ARHGAP29",FALSE
"CNN3",0,1.05284494655137,0.876,0.196,0,"Endothelial Cell","CNN3",FALSE
"TGFBR2",0,1.00722155552296,0.812,0.145,0,"Endothelial Cell","TGFBR2",FALSE
"ADIRF",3.4428174207883e-253,1.3226718880229,0.887,0.344,1.12710956721767e-248,"Endothelial Cell","ADIRF",FALSE
"PERP",0,1.59628686908056,0.998,0.411,0,"Epithelial","PERP",FALSE
"DSP",0,1.56522777796863,0.99,0.223,0,"Epithelial","DSP",FALSE
"SFN",0,1.55009103835125,0.995,0.495,0,"Epithelial","SFN",FALSE
"KRT5",0,1.51287320534637,0.985,0.555,0,"Epithelial","KRT5",FALSE
"MIR205HG",0,1.48967432970563,0.977,0.164,0,"Epithelial","MIR205HG",FALSE
"LGALS7B",0,1.48863065345705,0.932,0.08,0,"Epithelial","LGALS7B",FALSE
"S100A14",0,1.48175449518964,0.966,0.205,0,"Epithelial","S100A14",FALSE
"LY6D",0,1.48046447761879,0.933,0.373,0,"Epithelial","LY6D",FALSE
"AQP3",0,1.3910421167401,0.956,0.271,0,"Epithelial","AQP3",FALSE
"FXYD3",0,1.37944550351512,0.981,0.226,0,"Epithelial","FXYD3",FALSE
"DSC3",0,1.36671667162922,0.963,0.092,0,"Epithelial","DSC3",FALSE
"DMKN",0,1.31912043075819,0.863,0.338,0,"Epithelial","DMKN",FALSE
"CXCL14",0,1.31149800230501,0.857,0.22,0,"Epithelial","CXCL14",FALSE
"S100A16",0,1.29666555735212,0.965,0.217,0,"Epithelial","S100A16",FALSE
"S100A2",0,1.26756262360232,0.951,0.592,0,"Epithelial","S100A2",FALSE
"KRT6A",0,1.26137358685407,0.896,0.524,0,"Epithelial","KRT6A",FALSE
"KRT1",0,1.23952894135387,0.813,0.407,0,"Epithelial","KRT1",FALSE
"SERPINB5",0,1.18343976212587,0.908,0.071,0,"Epithelial","SERPINB5",FALSE
"KRT16",0,1.13984469693204,0.915,0.579,0,"Epithelial","KRT16",FALSE
"KRT14",0,1.12545309272823,0.997,0.828,0,"Epithelial","KRT14",FALSE
"MT1X",0,1.11850917400842,0.928,0.359,0,"Epithelial","MT1X",FALSE
"LYPD3",0,1.11571268496834,0.843,0.163,0,"Epithelial","LYPD3",FALSE
"JUP",0,1.10049522997515,0.913,0.117,0,"Epithelial","JUP",FALSE
"CXADR",0,1.0894317724798,0.891,0.087,0,"Epithelial","CXADR",FALSE
"PKP1",0,1.07991827101834,0.849,0.081,0,"Epithelial","PKP1",FALSE
"KLF5",0,1.07866442695214,0.88,0.07,0,"Epithelial","KLF5",FALSE
"KRT10",0,1.03981999689613,0.956,0.643,0,"Epithelial","KRT10",FALSE
"EMP2",0,1.03726082224412,0.864,0.115,0,"Epithelial","EMP2",FALSE
"CLCA2",0,1.02415249866098,0.841,0.051,0,"Epithelial","CLCA2",FALSE
"SDC1",0,1.00975216761311,0.869,0.07,0,"Epithelial","SDC1",FALSE
