"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","cellType"
"Cell1",6918,12085,15120,934,9293,878,"Batch1"
"Cell2",5782,10714,12423,962,9390,963,"Batch1"
"Cell3",10292,15397,24722,1617,16008,1586,"Batch1"
"Cell4",10186,18745,23166,1320,14344,1514,"Batch1"
"Cell5",7505,10821,13920,1312,11382,993,"Batch1"
"Cell6",8823,13124,19004,1097,8947,898,"Batch1"
"Cell7",11833,19604,23579,1602,19488,1258,"Batch1"
"Cell8",7672,14450,18518,1290,12747,1102,"Batch1"
"Cell9",14733,20696,24790,1432,20116,1359,"Batch1"
"Cell10",13428,19601,26762,1908,17041,2183,"Batch1"
"Cell11",12267,14978,25349,1867,19523,1639,"Batch1"
"Cell12",5821,11913,13154,1002,8854,840,"Batch1"
"Cell13",13395,22148,28678,1467,20283,2364,"Batch1"
"Cell14",10032,16698,20488,1357,12338,1150,"Batch1"
"Cell15",10874,14708,26838,1704,25156,2100,"Batch1"
"Cell16",7217,13141,18558,1321,12278,1039,"Batch1"
"Cell17",7041,13929,19504,1133,12990,1535,"Batch1"
"Cell18",13041,16563,34351,2469,21202,1743,"Batch1"
"Cell19",8310,14077,19709,1148,10713,1049,"Batch1"
"Cell20",11490,18939,29824,1654,16628,2046,"Batch1"
"Cell21",7196,13170,13672,1097,13529,999,"Batch1"
"Cell22",14800,19675,31204,2521,22122,1886,"Batch1"
"Cell23",7404,12816,16593,1069,13534,1154,"Batch1"
"Cell24",7658,11389,16812,1259,12244,1119,"Batch1"
"Cell25",10176,19668,20010,1432,14516,1235,"Batch1"
"Cell26",7855,14921,15336,1162,12605,1089,"Batch1"
"Cell27",7793,11134,17846,1262,10351,1222,"Batch1"
"Cell28",9452,15636,19323,1588,13339,1413,"Batch1"
"Cell29",7231,11073,16076,1207,11762,1171,"Batch1"
"Cell30",8327,18364,18814,1632,14510,1415,"Batch1"
"Cell31",6482,12838,14995,1179,9318,844,"Batch1"
"Cell32",8704,13003,17686,1145,13956,1216,"Batch1"
"Cell33",7958,11391,15406,1122,10589,1370,"Batch1"
"Cell34",9301,15710,22800,1569,16321,1476,"Batch1"
"Cell35",10596,12901,10920,1018,14099,787,"Batch1"
"Cell36",8280,12725,18458,1361,12420,1311,"Batch1"
"Cell37",11240,20627,27990,1819,15131,1532,"Batch1"
"Cell38",9484,16183,24202,1325,16476,1455,"Batch1"
"Cell39",8732,22934,19616,1840,18131,1646,"Batch1"
"Cell40",8953,18055,19703,1385,15322,1402,"Batch1"
"Cell41",12885,25995,26854,2358,21622,1930,"Batch1"
"Cell42",12248,20920,25074,2020,23394,1831,"Batch1"
"Cell43",9302,12400,20804,1351,16505,1379,"Batch1"
"Cell44",8371,14754,22111,1286,11600,1562,"Batch1"
"Cell45",10843,19447,22790,1177,18041,1227,"Batch1"
"Cell46",6118,9776,13135,1117,10435,1026,"Batch1"
"Cell47",11666,19266,23492,1839,20462,1655,"Batch1"
"Cell48",8749,17257,15353,1716,12836,1497,"Batch1"
"Cell49",9938,15683,21800,1462,17103,1151,"Batch1"
"Cell50",8570,14298,17238,1315,12849,1512,"Batch1"
"Cell51",8156,12724,21228,1542,16758,1313,"Batch1"
"Cell52",9153,17006,20072,1707,12134,1204,"Batch1"
"Cell53",6136,11903,15764,1354,11305,1147,"Batch1"
"Cell54",9373,10721,21774,1528,17208,1582,"Batch1"
"Cell55",8319,16793,19150,1199,16566,1443,"Batch1"
"Cell56",10674,14039,20919,1547,15483,1089,"Batch1"
"Cell57",9529,11555,19440,1494,15061,1674,"Batch1"
"Cell58",9239,14091,18432,1498,12849,1077,"Batch1"
"Cell59",7637,14833,16753,1271,12889,1235,"Batch1"
"Cell60",7769,12254,15050,1119,11283,1063,"Batch1"
"Cell61",9662,15421,20022,1975,17468,2008,"Batch1"
"Cell62",12494,23515,24221,1894,18230,1610,"Batch1"
"Cell63",7747,11095,21465,1720,13519,1315,"Batch1"
"Cell64",9018,12460,18144,1170,10713,995,"Batch1"
"Cell65",8382,15467,19457,1429,15952,1307,"Batch1"
"Cell66",9535,12767,17928,1419,11470,1255,"Batch1"
"Cell67",7705,10563,18733,1146,9587,1074,"Batch1"
"Cell68",8791,16544,24410,1465,13816,1497,"Batch1"
"Cell69",6956,13658,20131,961,13787,1000,"Batch1"
"Cell70",7677,13897,24580,1270,15171,1631,"Batch1"
"Cell71",11912,15076,20418,1678,19121,1960,"Batch1"
"Cell72",9155,15834,19654,1360,14225,1280,"Batch1"
"Cell73",13229,21998,32351,1799,21503,1773,"Batch1"
"Cell74",5789,8234,12562,952,9313,658,"Batch1"
"Cell75",7410,14978,17171,1532,15965,1314,"Batch1"
"Cell76",5414,10158,16857,897,12447,896,"Batch1"
"Cell77",8972,19272,16852,1163,10297,1451,"Batch1"
"Cell78",7246,13967,20279,1218,12592,1431,"Batch1"
"Cell79",9458,19078,14356,1351,16557,1724,"Batch1"
"Cell80",6444,12798,16592,874,11385,1070,"Batch1"
"Cell81",8395,15688,21951,1555,15577,1433,"Batch1"
"Cell82",7316,13407,13882,1065,14510,1177,"Batch1"
"Cell83",10429,20053,22259,1303,13128,1158,"Batch1"
"Cell84",13010,22033,22634,1754,16620,1479,"Batch1"
"Cell85",6427,11408,15323,1247,14286,1292,"Batch1"
"Cell86",8941,14445,17336,1549,12627,1441,"Batch1"
"Cell87",13028,21982,31173,2137,18869,1540,"Batch1"
"Cell88",6950,9798,13817,1258,14634,1298,"Batch1"
"Cell89",6867,9923,17650,1282,11732,1071,"Batch1"
"Cell90",6809,12085,18390,987,13612,1007,"Batch1"
"Cell91",9017,16133,19365,1066,15088,1175,"Batch1"
"Cell92",9531,13947,21569,1787,13415,1598,"Batch1"
"Cell93",8206,13526,17928,1247,13403,1188,"Batch1"
"Cell94",13008,19159,27150,1703,15705,1585,"Batch1"
"Cell95",10772,15444,20497,2093,17745,1532,"Batch1"
"Cell96",7710,11935,14350,1244,13181,1455,"Batch1"
"Cell97",12015,19463,21074,1833,17132,1614,"Batch1"
"Cell98",8289,14724,16282,1661,14737,1220,"Batch1"
"Cell99",6463,13055,20002,1512,12378,1255,"Batch1"
"Cell100",6870,13561,14633,875,10506,752,"Batch1"
"Cell101",8731,20713,17297,1633,14637,1848,"Batch1"
"Cell102",7930,13752,15266,986,14188,1267,"Batch1"
"Cell103",8795,16403,25753,1665,16357,1517,"Batch1"
"Cell104",9425,13151,21233,1549,17834,1424,"Batch1"
"Cell105",9400,15367,19181,1495,16725,1369,"Batch1"
"Cell106",10615,19186,26527,2260,18073,1988,"Batch1"
"Cell107",7442,11821,16493,1370,11410,1454,"Batch1"
"Cell108",9138,15142,22842,1675,20066,1392,"Batch1"
"Cell109",9578,15228,24047,1776,16890,1581,"Batch1"
"Cell110",10812,16567,20598,1809,15688,1428,"Batch1"
"Cell111",11417,20784,29305,2009,21523,1582,"Batch1"
"Cell112",7535,11399,13952,1141,9303,778,"Batch1"
"Cell113",7687,10760,15898,1324,13406,1165,"Batch1"
"Cell114",6607,10790,17323,1438,10586,984,"Batch1"
"Cell115",8342,13854,14356,1359,12347,1412,"Batch1"
"Cell116",7922,9350,16705,1195,9972,793,"Batch1"
"Cell117",8443,15276,16635,1169,12703,1313,"Batch1"
"Cell118",12395,17701,24928,1868,18097,1592,"Batch1"
"Cell119",11133,17309,20548,1223,14359,1640,"Batch1"
"Cell120",5809,8368,12635,743,10720,1190,"Batch1"
"Cell121",8728,11178,17446,1499,13529,1105,"Batch1"
"Cell122",9306,11695,18666,972,15682,1124,"Batch1"
"Cell123",11420,23491,29258,1632,20457,1458,"Batch1"
"Cell124",8495,12737,19931,1203,12592,947,"Batch1"
"Cell125",7322,11215,16823,929,13695,1204,"Batch1"
"Cell126",11074,18974,25941,1709,17004,2596,"Batch1"
"Cell127",9106,14170,19577,1195,14475,1005,"Batch1"
"Cell128",5376,11683,12928,1078,9966,1147,"Batch1"
"Cell129",12849,21635,30060,1239,20872,2211,"Batch1"
"Cell130",6102,12145,12544,945,12924,790,"Batch1"
"Cell131",10404,15176,19476,1243,15139,1373,"Batch1"
"Cell132",6868,9851,16721,1213,12127,1307,"Batch1"
"Cell133",7474,10540,17082,1169,11733,1310,"Batch1"
"Cell134",7990,10711,19053,1120,12370,1016,"Batch1"
"Cell135",9018,17119,24487,1371,11507,1404,"Batch1"
"Cell136",6003,11594,14727,935,13405,1012,"Batch1"
"Cell137",7858,16181,14434,1366,14155,1443,"Batch1"
"Cell138",4158,8886,10471,928,7879,849,"Batch1"
"Cell139",12874,18713,25846,2170,20060,1744,"Batch1"
"Cell140",8195,15383,19871,1732,13487,1395,"Batch1"
"Cell141",8340,14011,12814,1105,11652,1286,"Batch1"
"Cell142",12104,23735,29597,1687,19556,1687,"Batch1"
"Cell143",7056,12743,18938,1173,11449,838,"Batch1"
"Cell144",9042,15539,16240,1430,14954,1164,"Batch1"
"Cell145",12010,19441,31279,1509,18714,2069,"Batch1"
"Cell146",8293,12925,18507,1119,11745,1162,"Batch1"
"Cell147",8814,15979,20967,1094,16808,1281,"Batch1"
"Cell148",7431,11458,17056,883,9137,985,"Batch1"
"Cell149",9233,13163,20140,1457,13684,1570,"Batch1"
"Cell150",7402,12888,18551,1099,13313,1105,"Batch1"
"Cell151",11869,20358,23395,1706,15019,1675,"Batch1"
"Cell152",11854,16598,17794,1774,14932,1601,"Batch1"
"Cell153",8536,15903,23745,1291,14599,1865,"Batch1"
"Cell154",12350,24154,32388,2232,19304,1583,"Batch1"
"Cell155",9000,15306,21846,1264,16457,1257,"Batch1"
"Cell156",7496,10569,15630,1189,11981,1070,"Batch1"
"Cell157",8340,12787,17535,1369,14298,1374,"Batch1"
"Cell158",10120,18717,26188,1659,21051,1765,"Batch1"
"Cell159",10167,17573,23194,1448,19844,1909,"Batch1"
"Cell160",5222,8194,15987,1139,8548,849,"Batch1"
"Cell161",12618,22415,27295,1826,21740,1835,"Batch1"
"Cell162",9638,12317,20820,1503,16507,1441,"Batch1"
"Cell163",8582,16612,22632,1291,16546,1354,"Batch1"
"Cell164",7275,13230,17079,1436,14066,1301,"Batch1"
"Cell165",11217,15739,20932,1248,16793,1807,"Batch1"
"Cell166",10045,15883,18892,1509,12051,1502,"Batch1"
"Cell167",9205,12812,18940,1410,12514,1422,"Batch1"
"Cell168",8282,17318,24570,1927,14503,1570,"Batch1"
"Cell169",7051,11969,16621,1600,14006,1340,"Batch1"
"Cell170",7750,13369,16095,1338,11640,1304,"Batch1"
"Cell171",6705,11529,19126,1053,12078,1350,"Batch1"
"Cell172",10693,13891,21196,1292,16287,1931,"Batch1"
"Cell173",6944,12106,14632,1321,10058,991,"Batch1"
